date,start,end,11WD8MOOR1C---BT,11WD8MOOR1C---AV
11012019,06:00,07:00,433,622
11012019,07:00,08:00,437,577
11012019,08:00,09:00,439,663
11012019,09:00,10:00,300,602
11012019,10:00,11:00,304,602
11012019,11:00,12:00,301,601
11012019,12:00,13:00,302,661
11012019,13:00,14:00,302,661
11012019,14:00,15:00,302,660
11012019,15:00,16:00,302,661
11012019,16:00,17:00,364,603
11012019,17:00,18:00,390,602
11012019,18:00,19:00,307,603
11012019,19:00,20:00,308,597
11012019,20:00,21:00,409,313
11012019,21:00,22:00,432,303
11012019,22:00,23:00,440,472
11012019,23:00,00:00,439,475
12012019,00:00,01:00,400,309
12012019,01:00,02:00,301,306
12012019,02:00,03:00,301,304
12012019,03:00,04:00,301,304
12012019,04:00,05:00,301,305
12012019,05:00,06:00,304,304
12012019,06:00,07:00,302,305
12012019,07:00,08:00,376,384
12012019,08:00,09:00,304,689
12012019,09:00,10:00,302,701
12012019,10:00,11:00,305,701
12012019,11:00,12:00,304,688
12012019,12:00,13:00,306,302
12012019,13:00,14:00,305,0
12012019,14:00,15:00,305,0
12012019,15:00,16:00,304,0
12012019,16:00,17:00,304,0
12012019,17:00,18:00,302,0
12012019,18:00,19:00,305,0
12012019,19:00,20:00,303,0
12012019,20:00,21:00,296,0
12012019,21:00,22:00,87,0
12012019,22:00,23:00,0,0
12012019,23:00,00:00,0,0
13012019,00:00,01:00,0,0
13012019,01:00,02:00,0,0
13012019,02:00,03:00,0,0
13012019,03:00,04:00,0,0
13012019,04:00,05:00,0,0
13012019,05:00,06:00,0,0
13012019,06:00,07:00,0,0
13012019,07:00,08:00,0,0
13012019,08:00,09:00,0,0
13012019,09:00,10:00,0,0
13012019,10:00,11:00,0,0
13012019,11:00,12:00,0,0
13012019,12:00,13:00,0,0
13012019,13:00,14:00,0,0
13012019,14:00,15:00,0,0
13012019,15:00,16:00,0,0
13012019,16:00,17:00,0,0
13012019,17:00,18:00,0,0
13012019,18:00,19:00,0,0
13012019,19:00,20:00,0,0
13012019,20:00,21:00,0,0
13012019,21:00,22:00,0,0
13012019,22:00,23:00,0,0
13012019,23:00,00:00,0,0
14012019,00:00,01:00,0,0
14012019,01:00,02:00,0,0
14012019,02:00,03:00,0,0
14012019,03:00,04:00,0,0
14012019,04:00,05:00,0,0
14012019,05:00,06:00,0,0
14012019,06:00,07:00,0,267
14012019,07:00,08:00,0,451
14012019,08:00,09:00,0,315
14012019,09:00,10:00,0,303
14012019,10:00,11:00,0,302
14012019,11:00,12:00,0,302
14012019,12:00,13:00,0,302
14012019,13:00,14:00,0,302
