date,start,end,11WD8DRES5X----D
22012020,04:00,05:00,258
22012020,05:00,06:00,258
22012020,06:00,07:00,257
22012020,07:00,08:00,257
22012020,08:00,09:00,257
22012020,09:00,10:00,254
22012020,10:00,11:00,253
22012020,11:00,12:00,253
22012020,12:00,13:00,253
22012020,13:00,14:00,252
22012020,14:00,15:00,253
22012020,15:00,16:00,253
22012020,16:00,17:00,253
22012020,17:00,18:00,253
22012020,18:00,19:00,253
22012020,19:00,20:00,253
22012020,20:00,21:00,253
22012020,21:00,22:00,253
22012020,22:00,23:00,252
22012020,23:00,00:00,253
23012020,00:00,01:00,253
23012020,01:00,02:00,253
23012020,02:00,03:00,253
23012020,03:00,04:00,253
23012020,04:00,05:00,253
23012020,05:00,06:00,253
23012020,06:00,07:00,253
23012020,07:00,08:00,252
23012020,08:00,09:00,252
23012020,09:00,10:00,252
23012020,10:00,11:00,252
23012020,11:00,12:00,252
23012020,12:00,13:00,251
23012020,13:00,14:00,251
23012020,14:00,15:00,251
23012020,15:00,16:00,251
23012020,16:00,17:00,251
23012020,17:00,18:00,251
23012020,18:00,19:00,253
23012020,19:00,20:00,254
23012020,20:00,21:00,254
23012020,21:00,22:00,255
23012020,22:00,23:00,255
23012020,23:00,00:00,255
24012020,00:00,01:00,255
24012020,01:00,02:00,255
24012020,02:00,03:00,256
24012020,03:00,04:00,256
24012020,04:00,05:00,256
24012020,05:00,06:00,256
24012020,06:00,07:00,255
24012020,07:00,08:00,256
24012020,08:00,09:00,256
24012020,09:00,10:00,254
24012020,10:00,11:00,252
24012020,11:00,12:00,250
24012020,12:00,13:00,249
24012020,13:00,14:00,249
24012020,14:00,15:00,249
24012020,15:00,16:00,251
24012020,16:00,17:00,252
24012020,17:00,18:00,253
24012020,18:00,19:00,253
24012020,19:00,20:00,254
24012020,20:00,21:00,254
24012020,21:00,22:00,253
24012020,22:00,23:00,254
24012020,23:00,00:00,254
25012020,00:00,01:00,255
25012020,01:00,02:00,255
25012020,02:00,03:00,255
25012020,03:00,04:00,256
25012020,04:00,05:00,255
25012020,05:00,06:00,256
25012020,06:00,07:00,256
25012020,07:00,08:00,256
25012020,08:00,09:00,255
25012020,09:00,10:00,254
25012020,10:00,11:00,254
25012020,11:00,12:00,253
25012020,12:00,13:00,253
25012020,13:00,14:00,252
25012020,14:00,15:00,252
25012020,15:00,16:00,253
25012020,16:00,17:00,253
25012020,17:00,18:00,253
25012020,18:00,19:00,253
25012020,19:00,20:00,254
25012020,20:00,21:00,254
25012020,21:00,22:00,254
25012020,22:00,23:00,255
25012020,23:00,00:00,255
26012020,00:00,01:00,254
26012020,01:00,02:00,254
26012020,02:00,03:00,255
26012020,03:00,04:00,256
26012020,04:00,05:00,255
26012020,05:00,06:00,255
26012020,06:00,07:00,255
26012020,07:00,08:00,255
26012020,08:00,09:00,255
26012020,09:00,10:00,253
26012020,10:00,11:00,253
26012020,11:00,12:00,252
26012020,12:00,13:00,252
26012020,13:00,14:00,251
26012020,14:00,15:00,252
26012020,15:00,16:00,252
26012020,16:00,17:00,252
26012020,17:00,18:00,252
26012020,18:00,19:00,252
26012020,19:00,20:00,252
26012020,20:00,21:00,252
26012020,21:00,22:00,252
26012020,22:00,23:00,252
26012020,23:00,00:00,252
27012020,00:00,01:00,252
27012020,01:00,02:00,252
27012020,02:00,03:00,252
27012020,03:00,04:00,251
27012020,04:00,05:00,252
27012020,05:00,06:00,251
27012020,06:00,07:00,250
27012020,07:00,08:00,250
27012020,08:00,09:00,250
27012020,09:00,10:00,249
27012020,10:00,11:00,248
27012020,11:00,12:00,246
27012020,12:00,13:00,245
27012020,13:00,14:00,244
27012020,14:00,15:00,244
27012020,15:00,16:00,245
27012020,16:00,17:00,246
27012020,17:00,18:00,246
27012020,18:00,19:00,247
27012020,19:00,20:00,246
27012020,20:00,21:00,246
27012020,21:00,22:00,246
27012020,22:00,23:00,245
27012020,23:00,00:00,245
28012020,00:00,01:00,243
28012020,01:00,02:00,243
28012020,02:00,03:00,244
28012020,03:00,04:00,245
28012020,04:00,05:00,243
28012020,05:00,06:00,243
28012020,06:00,07:00,242
28012020,07:00,08:00,242
28012020,08:00,09:00,241
28012020,09:00,10:00,241
28012020,10:00,11:00,240
28012020,11:00,12:00,240
28012020,12:00,13:00,240
28012020,13:00,14:00,236
28012020,14:00,15:00,241
28012020,15:00,16:00,240
28012020,16:00,17:00,244
28012020,17:00,18:00,244
28012020,18:00,19:00,245
28012020,19:00,20:00,245
28012020,20:00,21:00,245
28012020,21:00,22:00,245
28012020,22:00,23:00,245
28012020,23:00,00:00,245
29012020,00:00,01:00,244
29012020,01:00,02:00,244
29012020,02:00,03:00,244
29012020,03:00,04:00,244
29012020,04:00,05:00,245
29012020,05:00,06:00,246
29012020,06:00,07:00,246
29012020,07:00,08:00,246
29012020,08:00,09:00,246
29012020,09:00,10:00,245
29012020,10:00,11:00,245
29012020,11:00,12:00,245
29012020,12:00,13:00,244
29012020,13:00,14:00,245
29012020,14:00,15:00,245
29012020,15:00,16:00,245
29012020,16:00,17:00,246
29012020,17:00,18:00,246
29012020,18:00,19:00,246
29012020,19:00,20:00,247
29012020,20:00,21:00,248
29012020,21:00,22:00,249
29012020,22:00,23:00,248
29012020,23:00,00:00,248
30012020,00:00,01:00,248
30012020,01:00,02:00,249
30012020,02:00,03:00,248
30012020,03:00,04:00,249
30012020,04:00,05:00,249
30012020,05:00,06:00,248
30012020,06:00,07:00,247
30012020,07:00,08:00,247
30012020,08:00,09:00,246
30012020,09:00,10:00,246
30012020,10:00,11:00,245
30012020,11:00,12:00,245
30012020,12:00,13:00,245
30012020,13:00,14:00,244
30012020,14:00,15:00,244
30012020,15:00,16:00,244
30012020,16:00,17:00,244
30012020,17:00,18:00,245
30012020,18:00,19:00,245
30012020,19:00,20:00,246
30012020,20:00,21:00,244
30012020,21:00,22:00,246
30012020,22:00,23:00,183
30012020,23:00,00:00,150
31012020,00:00,01:00,149
31012020,01:00,02:00,149
31012020,02:00,03:00,149
31012020,03:00,04:00,148
31012020,04:00,05:00,146
31012020,05:00,06:00,175
31012020,06:00,07:00,234
31012020,07:00,08:00,238
31012020,08:00,09:00,239
31012020,09:00,10:00,238
31012020,10:00,11:00,239
31012020,11:00,12:00,238
31012020,12:00,13:00,237
31012020,13:00,14:00,237
31012020,14:00,15:00,235
31012020,15:00,16:00,232
31012020,16:00,17:00,233
31012020,17:00,18:00,239
31012020,18:00,19:00,239
31012020,19:00,20:00,233
31012020,20:00,21:00,233
31012020,21:00,22:00,229
31012020,22:00,23:00,152
31012020,23:00,00:00,120
1022020,00:00,01:00,95
1022020,01:00,02:00,96
1022020,02:00,03:00,96
1022020,03:00,04:00,96
1022020,04:00,05:00,96
1022020,05:00,06:00,95
