date,start,end,11WD2WILH0001255
12.01.2018,19:00,20:00,714.0
12.01.2018,20:00,21:00,714.0
12.01.2018,21:00,22:00,714.0
12.01.2018,22:00,23:00,696.0
12.01.2018,23:00,00:00,572.0
13.01.2018,00:00,01:00,686.0
13.01.2018,01:00,02:00,461.0
13.01.2018,02:00,03:00,244.0
13.01.2018,03:00,04:00,240.0
13.01.2018,04:00,05:00,175.0
13.01.2018,05:00,06:00,191.0
13.01.2018,06:00,07:00,450.0
13.01.2018,07:00,08:00,701.0
13.01.2018,08:00,09:00,708.0
13.01.2018,09:00,10:00,709.0
13.01.2018,10:00,11:00,711.0
13.01.2018,11:00,12:00,711.0
13.01.2018,12:00,13:00,712.0
13.01.2018,13:00,14:00,707.0
13.01.2018,14:00,15:00,517.0
13.01.2018,15:00,16:00,437.0
13.01.2018,16:00,17:00,422.0
13.01.2018,17:00,18:00,281.0
13.01.2018,18:00,19:00,255.0
13.01.2018,19:00,20:00,255.0
13.01.2018,20:00,21:00,256.0
13.01.2018,21:00,22:00,183.0
13.01.2018,22:00,23:00,180.0
13.01.2018,23:00,00:00,178.0
14.01.2018,00:00,01:00,0.0
14.01.2018,01:00,02:00,0.0
14.01.2018,02:00,03:00,0.0
14.01.2018,03:00,04:00,0.0
14.01.2018,04:00,05:00,0.0
14.01.2018,05:00,06:00,0.0
14.01.2018,06:00,07:00,0.0
14.01.2018,07:00,08:00,0.0
14.01.2018,08:00,09:00,0.0
14.01.2018,09:00,10:00,0.0
14.01.2018,10:00,11:00,0.0
14.01.2018,11:00,12:00,0.0
14.01.2018,12:00,13:00,0.0
14.01.2018,13:00,14:00,0.0
14.01.2018,14:00,15:00,0.0
14.01.2018,15:00,16:00,0.0
14.01.2018,16:00,17:00,0.0
14.01.2018,17:00,18:00,0.0
14.01.2018,18:00,19:00,0.0
14.01.2018,19:00,20:00,0.0
14.01.2018,20:00,21:00,0.0
14.01.2018,21:00,22:00,0.0
14.01.2018,22:00,23:00,0.0
14.01.2018,23:00,00:00,0.0
15.01.2018,00:00,01:00,0.0
15.01.2018,01:00,02:00,0.0
15.01.2018,02:00,03:00,0.0
15.01.2018,03:00,04:00,0.0
15.01.2018,04:00,05:00,0.0
15.01.2018,05:00,06:00,0.0
15.01.2018,06:00,07:00,0.0
15.01.2018,07:00,08:00,0.0
15.01.2018,08:00,09:00,0.0
15.01.2018,09:00,10:00,0.0
15.01.2018,10:00,11:00,0.0
15.01.2018,11:00,12:00,0.0
15.01.2018,12:00,13:00,0.0
15.01.2018,13:00,14:00,0.0
15.01.2018,14:00,15:00,0.0
15.01.2018,15:00,16:00,0.0
15.01.2018,16:00,17:00,0.0
15.01.2018,17:00,18:00,0.0
15.01.2018,18:00,19:00,0.0
15.01.2018,19:00,20:00,0.0
15.01.2018,20:00,21:00,0.0
15.01.2018,21:00,22:00,0.0
15.01.2018,22:00,23:00,0.0
15.01.2018,23:00,00:00,0.0
16.01.2018,00:00,01:00,0.0
16.01.2018,01:00,02:00,0.0
16.01.2018,02:00,03:00,0.0
16.01.2018,03:00,04:00,0.0
16.01.2018,04:00,05:00,0.0
16.01.2018,05:00,06:00,0.0
16.01.2018,06:00,07:00,0.0
16.01.2018,07:00,08:00,0.0
16.01.2018,08:00,09:00,0.0
16.01.2018,09:00,10:00,0.0
16.01.2018,10:00,11:00,0.0
16.01.2018,11:00,12:00,0.0
16.01.2018,12:00,13:00,0.0
16.01.2018,13:00,14:00,0.0
16.01.2018,14:00,15:00,0.0
16.01.2018,15:00,16:00,0.0
16.01.2018,16:00,17:00,0.0
16.01.2018,17:00,18:00,0.0
16.01.2018,18:00,19:00,0.0
16.01.2018,19:00,20:00,0.0
16.01.2018,20:00,21:00,0.0
16.01.2018,21:00,22:00,0.0
16.01.2018,22:00,23:00,0.0
16.01.2018,23:00,00:00,0.0
17.01.2018,00:00,01:00,0.0
17.01.2018,01:00,02:00,0.0
17.01.2018,02:00,03:00,0.0
17.01.2018,03:00,04:00,0.0
17.01.2018,04:00,05:00,0.0
17.01.2018,05:00,06:00,0.0
17.01.2018,06:00,07:00,0.0
17.01.2018,07:00,08:00,0.0
17.01.2018,08:00,09:00,0.0
17.01.2018,09:00,10:00,0.0
17.01.2018,10:00,11:00,0.0
17.01.2018,11:00,12:00,0.0
17.01.2018,12:00,13:00,0.0
17.01.2018,13:00,14:00,0.0
17.01.2018,14:00,15:00,0.0
17.01.2018,15:00,16:00,0.0
17.01.2018,16:00,17:00,0.0
17.01.2018,17:00,18:00,0.0
17.01.2018,18:00,19:00,0.0
17.01.2018,19:00,20:00,0.0
17.01.2018,20:00,21:00,0.0
17.01.2018,21:00,22:00,0.0
17.01.2018,22:00,23:00,0.0
17.01.2018,23:00,00:00,0.0
18.01.2018,00:00,01:00,0.0
18.01.2018,01:00,02:00,0.0
18.01.2018,02:00,03:00,0.0
18.01.2018,03:00,04:00,71.0
18.01.2018,04:00,05:00,238.0
18.01.2018,05:00,06:00,301.0
18.01.2018,06:00,07:00,239.0
18.01.2018,07:00,08:00,296.0
18.01.2018,08:00,09:00,312.0
18.01.2018,09:00,10:00,6.0
18.01.2018,10:00,11:00,0.0
18.01.2018,11:00,12:00,0.0
18.01.2018,12:00,13:00,0.0
18.01.2018,13:00,14:00,0.0
18.01.2018,14:00,15:00,0.0
18.01.2018,15:00,16:00,0.0
18.01.2018,16:00,17:00,0.0
18.01.2018,17:00,18:00,0.0
18.01.2018,18:00,19:00,0.0
18.01.2018,19:00,20:00,8.0
18.01.2018,20:00,21:00,240.0
18.01.2018,21:00,22:00,318.0
