date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
2112018,18:00,19:00,105,0,52
2112018,19:00,20:00,105,0,49
2112018,20:00,21:00,96,0,42
2112018,21:00,22:00,88,0,36
2112018,22:00,23:00,88,0,40
2112018,23:00,00:00,92,0,35
3112018,00:00,01:00,86,0,34
3112018,01:00,02:00,69,0,32
3112018,02:00,03:00,68,0,31
3112018,03:00,04:00,68,0,31
3112018,04:00,05:00,79,0,33
3112018,05:00,06:00,85,0,35
3112018,06:00,07:00,89,0,37
3112018,07:00,08:00,93,0,36
3112018,08:00,09:00,106,0,37
3112018,09:00,10:00,107,0,36
3112018,10:00,11:00,110,0,37
3112018,11:00,12:00,110,0,38
3112018,12:00,13:00,109,0,39
3112018,13:00,14:00,101,0,37
3112018,14:00,15:00,101,0,37
3112018,15:00,16:00,101,0,37
3112018,16:00,17:00,110,0,42
3112018,17:00,18:00,110,0,43
3112018,18:00,19:00,111,0,43
3112018,19:00,20:00,108,0,40
3112018,20:00,21:00,77,0,33
3112018,21:00,22:00,63,0,31
3112018,22:00,23:00,63,0,30
3112018,23:00,00:00,58,0,29
4112018,00:00,01:00,56,0,29
4112018,01:00,02:00,56,0,29
4112018,02:00,03:00,56,0,29
4112018,03:00,04:00,56,0,30
4112018,04:00,05:00,64,0,31
4112018,05:00,06:00,84,0,34
4112018,06:00,07:00,80,0,33
4112018,07:00,08:00,66,0,31
4112018,08:00,09:00,78,0,33
4112018,09:00,10:00,102,0,36
4112018,10:00,11:00,107,0,37
4112018,11:00,12:00,110,0,39
4112018,12:00,13:00,110,0,38
4112018,13:00,14:00,109,0,39
4112018,14:00,15:00,109,0,39
4112018,15:00,16:00,109,0,38
4112018,16:00,17:00,109,0,39
4112018,17:00,18:00,109,0,38
4112018,18:00,19:00,109,0,38
4112018,19:00,20:00,107,0,38
4112018,20:00,21:00,107,0,37
4112018,21:00,22:00,100,0,36
4112018,22:00,23:00,87,0,35
4112018,23:00,00:00,87,0,33
5112018,00:00,01:00,88,0,33
5112018,01:00,02:00,89,0,33
5112018,02:00,03:00,88,0,33
5112018,03:00,04:00,83,0,33
5112018,04:00,05:00,78,0,33
5112018,05:00,06:00,107,0,46
5112018,06:00,07:00,111,0,55
5112018,07:00,08:00,111,0,57
5112018,08:00,09:00,110,0,57
5112018,09:00,10:00,110,0,54
5112018,10:00,11:00,109,0,50
5112018,11:00,12:00,107,0,39
5112018,12:00,13:00,94,0,36
5112018,13:00,14:00,79,0,33
5112018,14:00,15:00,84,0,34
5112018,15:00,16:00,96,0,37
5112018,16:00,17:00,94,0,37
5112018,17:00,18:00,96,0,37
5112018,18:00,19:00,105,0,39
5112018,19:00,20:00,105,0,39
5112018,20:00,21:00,105,0,39
5112018,21:00,22:00,107,0,39
5112018,22:00,23:00,100,0,38
5112018,23:00,00:00,79,0,34
6112018,00:00,01:00,78,0,33
6112018,01:00,02:00,86,0,34
6112018,02:00,03:00,88,0,35
6112018,03:00,04:00,88,0,35
6112018,04:00,05:00,96,0,35
6112018,05:00,06:00,106,0,36
6112018,06:00,07:00,108,0,44
6112018,07:00,08:00,107,0,51
6112018,08:00,09:00,103,0,48
6112018,09:00,10:00,99,0,36
6112018,10:00,11:00,90,0,35
6112018,11:00,12:00,89,0,35
6112018,12:00,13:00,98,0,37
6112018,13:00,14:00,98,0,37
6112018,14:00,15:00,95,0,37
6112018,15:00,16:00,83,0,35
6112018,16:00,17:00,87,0,35
6112018,17:00,18:00,103,0,46
6112018,18:00,19:00,103,0,52
6112018,19:00,20:00,103,0,48
6112018,20:00,21:00,105,0,47
6112018,21:00,22:00,107,0,52
6112018,22:00,23:00,107,0,48
6112018,23:00,00:00,107,0,39
7112018,00:00,01:00,99,0,37
7112018,01:00,02:00,99,0,40
7112018,02:00,03:00,99,0,45
7112018,03:00,04:00,99,0,47
7112018,04:00,05:00,107,0,44
7112018,05:00,06:00,111,0,40
7112018,06:00,07:00,111,0,48
7112018,07:00,08:00,111,0,50
7112018,08:00,09:00,111,0,55
7112018,09:00,10:00,110,0,53
7112018,10:00,11:00,108,0,51
7112018,11:00,12:00,107,0,40
7112018,12:00,13:00,106,0,43
7112018,13:00,14:00,104,0,41
7112018,14:00,15:00,100,0,38
7112018,15:00,16:00,96,0,37
7112018,16:00,17:00,105,0,49
7112018,17:00,18:00,106,0,57
7112018,18:00,19:00,108,0,58
7112018,19:00,20:00,109,0,59
7112018,20:00,21:00,109,0,57
7112018,21:00,22:00,109,0,56
7112018,22:00,23:00,110,0,53
7112018,23:00,00:00,111,0,51
8112018,00:00,01:00,111,0,50
8112018,01:00,02:00,111,0,51
8112018,02:00,03:00,111,0,50
8112018,03:00,04:00,111,0,49
8112018,04:00,05:00,111,0,45
8112018,05:00,06:00,111,0,44
8112018,06:00,07:00,111,0,46
8112018,07:00,08:00,111,0,48
8112018,08:00,09:00,111,0,52
8112018,09:00,10:00,110,0,59
8112018,10:00,11:00,104,0,56
8112018,11:00,12:00,97,0,51
8112018,12:00,13:00,107,0,56
8112018,13:00,14:00,105,0,51
8112018,14:00,15:00,107,0,56
8112018,15:00,16:00,107,0,54
8112018,16:00,17:00,108,0,56
8112018,17:00,18:00,109,0,57
8112018,18:00,19:00,109,0,52
8112018,19:00,20:00,110,0,50
8112018,20:00,21:00,111,0,52
8112018,21:00,22:00,111,0,56
8112018,22:00,23:00,110,0,45
8112018,23:00,00:00,108,0,39
9112018,00:00,01:00,94,0,36
9112018,01:00,02:00,95,0,35
9112018,02:00,03:00,94,0,35
9112018,03:00,04:00,88,0,34
9112018,04:00,05:00,89,0,34
9112018,05:00,06:00,111,0,38
9112018,06:00,07:00,111,0,47
9112018,07:00,08:00,105,0,50
9112018,08:00,09:00,111,0,55
9112018,09:00,10:00,111,0,55
9112018,10:00,11:00,111,0,45
9112018,11:00,12:00,108,0,39
9112018,12:00,13:00,106,0,39
9112018,13:00,14:00,101,0,44
9112018,14:00,15:00,106,0,54
9112018,15:00,16:00,109,0,60
9112018,16:00,17:00,109,0,59
9112018,17:00,18:00,110,0,63
9112018,18:00,19:00,110,0,64
9112018,19:00,20:00,111,0,64
9112018,20:00,21:00,111,0,64
9112018,21:00,22:00,111,0,62
9112018,22:00,23:00,111,0,60
9112018,23:00,00:00,111,0,59
10112018,00:00,01:00,112,0,57
10112018,01:00,02:00,112,0,56
10112018,02:00,03:00,112,0,58
10112018,03:00,04:00,112,0,59
10112018,04:00,05:00,112,0,59
10112018,05:00,06:00,112,0,60
10112018,06:00,07:00,112,0,60
10112018,07:00,08:00,113,0,60
10112018,08:00,09:00,113,0,62
10112018,09:00,10:00,112,0,60
10112018,10:00,11:00,112,0,59
10112018,11:00,12:00,110,0,58
10112018,12:00,13:00,108,0,43
10112018,13:00,14:00,107,0,42
10112018,14:00,15:00,107,0,42
10112018,15:00,16:00,107,0,42
10112018,16:00,17:00,109,0,43
10112018,17:00,18:00,110,0,47
10112018,18:00,19:00,110,0,54
10112018,19:00,20:00,110,0,56
10112018,20:00,21:00,111,0,52
10112018,21:00,22:00,111,0,51
10112018,22:00,23:00,111,0,53
10112018,23:00,00:00,112,0,51
11112018,00:00,01:00,112,0,52
11112018,01:00,02:00,112,0,54
11112018,02:00,03:00,112,0,53
11112018,03:00,04:00,112,0,52
11112018,04:00,05:00,112,0,52
11112018,05:00,06:00,112,0,55
11112018,06:00,07:00,112,0,56
11112018,07:00,08:00,113,0,56
11112018,08:00,09:00,113,0,55
11112018,09:00,10:00,112,0,55
11112018,10:00,11:00,111,0,48
11112018,11:00,12:00,110,0,44
11112018,12:00,13:00,109,0,42
11112018,13:00,14:00,107,0,44
11112018,14:00,15:00,106,0,47
11112018,15:00,16:00,106,0,48
11112018,16:00,17:00,107,0,51
11112018,17:00,18:00,108,0,59
11112018,18:00,19:00,108,0,60
11112018,19:00,20:00,109,0,60
11112018,20:00,21:00,110,0,61
11112018,21:00,22:00,111,0,62
11112018,22:00,23:00,111,0,61
11112018,23:00,00:00,112,0,57
12112018,00:00,01:00,112,0,55
12112018,01:00,02:00,113,0,57
12112018,02:00,03:00,113,0,57
12112018,03:00,04:00,113,0,58
12112018,04:00,05:00,114,0,62
12112018,05:00,06:00,114,0,63
12112018,06:00,07:00,114,0,60
12112018,07:00,08:00,114,0,61
12112018,08:00,09:00,113,0,60
12112018,09:00,10:00,111,0,57
12112018,10:00,11:00,109,0,48
12112018,11:00,12:00,107,0,44
12112018,12:00,13:00,107,0,39
12112018,13:00,14:00,106,0,37
12112018,14:00,15:00,105,0,37
12112018,15:00,16:00,106,0,39
12112018,16:00,17:00,107,0,42
12112018,17:00,18:00,109,0,49
12112018,18:00,19:00,110,0,49
12112018,19:00,20:00,111,0,50
12112018,20:00,21:00,112,0,46
12112018,21:00,22:00,112,0,45
12112018,22:00,23:00,113,0,49
12112018,23:00,00:00,113,0,56
13112018,00:00,01:00,113,0,51
13112018,01:00,02:00,113,0,50
13112018,02:00,03:00,114,0,50
13112018,03:00,04:00,114,0,47
13112018,04:00,05:00,114,0,50
13112018,05:00,06:00,113,0,53
13112018,06:00,07:00,113,0,56
13112018,07:00,08:00,114,0,57
13112018,08:00,09:00,113,0,55
13112018,09:00,10:00,111,0,39
13112018,10:00,11:00,109,0,39
13112018,11:00,12:00,110,0,39
13112018,12:00,13:00,111,0,40
13112018,13:00,14:00,111,0,39
13112018,14:00,15:00,110,0,43
13112018,15:00,16:00,111,0,45
13112018,16:00,17:00,111,0,50
13112018,17:00,18:00,111,0,52
13112018,18:00,19:00,111,0,51
13112018,19:00,20:00,112,0,47
13112018,20:00,21:00,113,0,48
13112018,21:00,22:00,114,0,48
13112018,22:00,23:00,114,0,50
13112018,23:00,00:00,115,0,46
14112018,00:00,01:00,116,0,49
14112018,01:00,02:00,116,0,52
14112018,02:00,03:00,116,0,54
14112018,03:00,04:00,116,0,58
14112018,04:00,05:00,116,0,57
14112018,05:00,06:00,116,0,57
14112018,06:00,07:00,116,0,60
14112018,07:00,08:00,116,0,60
14112018,08:00,09:00,115,0,60
14112018,09:00,10:00,115,0,61
14112018,10:00,11:00,115,0,59
14112018,11:00,12:00,114,0,58
14112018,12:00,13:00,113,0,58
14112018,13:00,14:00,114,0,61
14112018,14:00,15:00,114,0,61
14112018,15:00,16:00,113,0,60
14112018,16:00,17:00,114,0,60
14112018,17:00,18:00,114,0,59
14112018,18:00,19:00,114,0,59
14112018,19:00,20:00,114,0,60
14112018,20:00,21:00,114,0,58
14112018,21:00,22:00,114,0,58
14112018,22:00,23:00,114,0,50
14112018,23:00,00:00,115,0,43
15112018,00:00,01:00,115,0,41
15112018,01:00,02:00,115,0,42
15112018,02:00,03:00,115,0,45
15112018,03:00,04:00,115,0,48
15112018,04:00,05:00,115,0,52
15112018,05:00,06:00,115,0,54
15112018,06:00,07:00,115,0,59
15112018,07:00,08:00,115,0,61
15112018,08:00,09:00,115,0,62
15112018,09:00,10:00,115,0,62
15112018,10:00,11:00,114,0,61
15112018,11:00,12:00,114,8,60
15112018,12:00,13:00,113,32,53
15112018,13:00,14:00,82,83,65
15112018,14:00,15:00,67,116,72
15112018,15:00,16:00,106,116,79
15112018,16:00,17:00,110,116,91
15112018,17:00,18:00,113,116,97
15112018,18:00,19:00,113,116,104
15112018,19:00,20:00,113,116,100
15112018,20:00,21:00,113,116,92
15112018,21:00,22:00,113,116,97
15112018,22:00,23:00,112,116,89
15112018,23:00,00:00,113,115,59
16112018,00:00,01:00,110,113,0
16112018,01:00,02:00,113,116,0
16112018,02:00,03:00,111,114,47
16112018,03:00,04:00,112,114,60
16112018,04:00,05:00,114,116,55
16112018,05:00,06:00,114,116,53
16112018,06:00,07:00,114,116,52
16112018,07:00,08:00,113,116,69
16112018,08:00,09:00,113,116,80
16112018,09:00,10:00,113,116,82
16112018,10:00,11:00,113,116,88
16112018,11:00,12:00,113,116,88
16112018,12:00,13:00,114,116,78
16112018,13:00,14:00,114,116,77
16112018,14:00,15:00,111,113,77
16112018,15:00,16:00,108,109,78
16112018,16:00,17:00,112,113,80
16112018,17:00,18:00,104,104,79
16112018,18:00,19:00,102,103,86
16112018,19:00,20:00,105,106,98
16112018,20:00,21:00,100,99,78
16112018,21:00,22:00,97,98,74
16112018,22:00,23:00,98,99,74
16112018,23:00,00:00,112,109,88
17112018,00:00,01:00,114,109,94
17112018,01:00,02:00,113,109,96
17112018,02:00,03:00,113,115,99
17112018,03:00,04:00,113,115,100
17112018,04:00,05:00,113,116,100
17112018,05:00,06:00,113,115,100
17112018,06:00,07:00,113,116,100
17112018,07:00,08:00,113,116,99
17112018,08:00,09:00,113,115,97
17112018,09:00,10:00,113,115,97
17112018,10:00,11:00,113,116,96
17112018,11:00,12:00,112,115,99
17112018,12:00,13:00,111,114,104
17112018,13:00,14:00,111,113,107
17112018,14:00,15:00,111,114,100
17112018,15:00,16:00,113,115,88
17112018,16:00,17:00,114,116,87
17112018,17:00,18:00,114,116,97
17112018,18:00,19:00,114,116,101
17112018,19:00,20:00,114,116,100
17112018,20:00,21:00,112,111,97
17112018,21:00,22:00,111,115,93
17112018,22:00,23:00,112,116,98
17112018,23:00,00:00,112,116,91
18112018,00:00,01:00,112,116,96
18112018,01:00,02:00,111,115,97
18112018,02:00,03:00,112,117,97
18112018,03:00,04:00,112,117,96
18112018,04:00,05:00,113,116,96
18112018,05:00,06:00,113,116,96
18112018,06:00,07:00,113,116,104
18112018,07:00,08:00,113,116,108
18112018,08:00,09:00,114,116,109
18112018,09:00,10:00,113,115,113
18112018,10:00,11:00,114,115,93
18112018,11:00,12:00,114,115,83
18112018,12:00,13:00,106,107,76
18112018,13:00,14:00,97,98,75
18112018,14:00,15:00,96,96,86
18112018,15:00,16:00,112,115,95
18112018,16:00,17:00,112,115,113
18112018,17:00,18:00,112,115,111
18112018,18:00,19:00,112,115,109
18112018,19:00,20:00,112,115,108
18112018,20:00,21:00,112,113,107
18112018,21:00,22:00,112,114,114
18112018,22:00,23:00,112,115,111
18112018,23:00,00:00,112,113,111
19112018,00:00,01:00,110,111,108
19112018,01:00,02:00,110,112,106
19112018,02:00,03:00,111,106,101
19112018,03:00,04:00,111,109,92
19112018,04:00,05:00,111,112,91
19112018,05:00,06:00,111,111,91
19112018,06:00,07:00,110,110,87
19112018,07:00,08:00,109,111,94
19112018,08:00,09:00,109,110,94
19112018,09:00,10:00,109,110,88
19112018,10:00,11:00,109,110,85
19112018,11:00,12:00,109,110,84
19112018,12:00,13:00,109,110,84
19112018,13:00,14:00,109,110,91
19112018,14:00,15:00,109,110,104
19112018,15:00,16:00,109,111,104
19112018,16:00,17:00,108,110,107
19112018,17:00,18:00,107,110,115
19112018,18:00,19:00,107,110,115
19112018,19:00,20:00,107,110,109
19112018,20:00,21:00,108,110,104
19112018,21:00,22:00,109,108,107
19112018,22:00,23:00,110,108,106
19112018,23:00,00:00,110,107,100
20112018,00:00,01:00,110,101,86
20112018,01:00,02:00,103,102,72
20112018,02:00,03:00,107,100,73
20112018,03:00,04:00,107,100,71
20112018,04:00,05:00,112,113,86
20112018,05:00,06:00,110,111,93
20112018,06:00,07:00,109,108,91
20112018,07:00,08:00,110,110,95
20112018,08:00,09:00,111,109,99
20112018,09:00,10:00,111,108,99
20112018,10:00,11:00,112,108,89
20112018,11:00,12:00,112,108,81
20112018,12:00,13:00,111,107,80
20112018,13:00,14:00,111,107,81
20112018,14:00,15:00,110,107,80
20112018,15:00,16:00,111,107,78
20112018,16:00,17:00,111,107,87
20112018,17:00,18:00,111,107,101
20112018,18:00,19:00,111,108,106
20112018,19:00,20:00,111,108,105
20112018,20:00,21:00,111,106,102
20112018,21:00,22:00,111,93,92
20112018,22:00,23:00,112,108,94
20112018,23:00,00:00,103,104,87
21112018,00:00,01:00,111,110,89
21112018,01:00,02:00,113,110,91
21112018,02:00,03:00,113,110,92
21112018,03:00,04:00,113,110,93
21112018,04:00,05:00,113,110,96
21112018,05:00,06:00,112,110,111
