date,start,end,11WD8KLIN5G--13E
26012020,16:00,17:00,153
26012020,17:00,18:00,153
26012020,18:00,19:00,153
26012020,19:00,20:00,153
26012020,20:00,21:00,153
26012020,21:00,22:00,153
26012020,22:00,23:00,152
26012020,23:00,00:00,150
27012020,00:00,01:00,132
27012020,01:00,02:00,131
27012020,02:00,03:00,132
27012020,03:00,04:00,133
27012020,04:00,05:00,134
27012020,05:00,06:00,134
27012020,06:00,07:00,134
27012020,07:00,08:00,134
27012020,08:00,09:00,134
27012020,09:00,10:00,134
27012020,10:00,11:00,134
27012020,11:00,12:00,133
27012020,12:00,13:00,133
27012020,13:00,14:00,134
27012020,14:00,15:00,134
27012020,15:00,16:00,134
27012020,16:00,17:00,134
27012020,17:00,18:00,134
27012020,18:00,19:00,134
27012020,19:00,20:00,134
27012020,20:00,21:00,134
27012020,21:00,22:00,134
27012020,22:00,23:00,134
27012020,23:00,00:00,129
28012020,00:00,01:00,128
28012020,01:00,02:00,128
28012020,02:00,03:00,128
28012020,03:00,04:00,128
28012020,04:00,05:00,128
28012020,05:00,06:00,129
28012020,06:00,07:00,129
28012020,07:00,08:00,128
28012020,08:00,09:00,128
28012020,09:00,10:00,129
28012020,10:00,11:00,128
28012020,11:00,12:00,129
28012020,12:00,13:00,129
28012020,13:00,14:00,129
28012020,14:00,15:00,129
28012020,15:00,16:00,129
28012020,16:00,17:00,129
28012020,17:00,18:00,128
28012020,18:00,19:00,128
28012020,19:00,20:00,129
28012020,20:00,21:00,128
28012020,21:00,22:00,128
28012020,22:00,23:00,129
28012020,23:00,00:00,129
29012020,00:00,01:00,129
29012020,01:00,02:00,133
29012020,02:00,03:00,133
29012020,03:00,04:00,133
29012020,04:00,05:00,133
29012020,05:00,06:00,134
29012020,06:00,07:00,134
29012020,07:00,08:00,134
29012020,08:00,09:00,134
29012020,09:00,10:00,134
29012020,10:00,11:00,134
29012020,11:00,12:00,134
29012020,12:00,13:00,134
29012020,13:00,14:00,134
29012020,14:00,15:00,134
29012020,15:00,16:00,134
29012020,16:00,17:00,134
29012020,17:00,18:00,134
29012020,18:00,19:00,134
29012020,19:00,20:00,134
29012020,20:00,21:00,134
29012020,21:00,22:00,134
29012020,22:00,23:00,134
29012020,23:00,00:00,134
30012020,00:00,01:00,134
30012020,01:00,02:00,134
30012020,02:00,03:00,134
30012020,03:00,04:00,134
30012020,04:00,05:00,134
30012020,05:00,06:00,134
30012020,06:00,07:00,134
30012020,07:00,08:00,134
30012020,08:00,09:00,134
30012020,09:00,10:00,134
30012020,10:00,11:00,134
30012020,11:00,12:00,134
30012020,12:00,13:00,134
30012020,13:00,14:00,134
30012020,14:00,15:00,134
30012020,15:00,16:00,134
30012020,16:00,17:00,134
30012020,17:00,18:00,134
30012020,18:00,19:00,134
30012020,19:00,20:00,134
30012020,20:00,21:00,134
30012020,21:00,22:00,134
30012020,22:00,23:00,134
30012020,23:00,00:00,116
31012020,00:00,01:00,96
31012020,01:00,02:00,95
31012020,02:00,03:00,95
31012020,03:00,04:00,95
31012020,04:00,05:00,95
31012020,05:00,06:00,103
31012020,06:00,07:00,115
31012020,07:00,08:00,109
31012020,08:00,09:00,95
31012020,09:00,10:00,91
31012020,10:00,11:00,78
31012020,11:00,12:00,77
31012020,12:00,13:00,77
31012020,13:00,14:00,77
31012020,14:00,15:00,77
31012020,15:00,16:00,77
31012020,16:00,17:00,77
31012020,17:00,18:00,78
31012020,18:00,19:00,86
31012020,19:00,20:00,94
31012020,20:00,21:00,96
31012020,21:00,22:00,108
31012020,22:00,23:00,110
31012020,23:00,00:00,110
1022020,00:00,01:00,92
1022020,01:00,02:00,81
1022020,02:00,03:00,72
1022020,03:00,04:00,71
1022020,04:00,05:00,71
1022020,05:00,06:00,72
1022020,06:00,07:00,73
1022020,07:00,08:00,72
1022020,08:00,09:00,76
1022020,09:00,10:00,92
1022020,10:00,11:00,100
1022020,11:00,12:00,100
1022020,12:00,13:00,101
1022020,13:00,14:00,100
1022020,14:00,15:00,100
1022020,15:00,16:00,101
1022020,16:00,17:00,100
1022020,17:00,18:00,100
