date,start,end,11WD7VOER1S--A-1,11WD7VOER1S--B-Z
11.01.2017,10:00,11:00,649.0,702.0
11.01.2017,11:00,12:00,649.0,703.0
11.01.2017,12:00,13:00,648.0,703.0
11.01.2017,13:00,14:00,648.0,693.0
11.01.2017,14:00,15:00,648.0,701.0
11.01.2017,15:00,16:00,649.0,705.0
11.01.2017,16:00,17:00,648.0,671.0
11.01.2017,17:00,18:00,648.0,704.0
11.01.2017,18:00,19:00,647.0,705.0
11.01.2017,19:00,20:00,469.0,539.0
11.01.2017,20:00,21:00,261.0,321.0
11.01.2017,21:00,22:00,0.0,205.0
11.01.2017,22:00,23:00,0.0,0.0
11.01.2017,23:00,00:00,0.0,0.0
12.01.2017,00:00,01:00,0.0,0.0
12.01.2017,01:00,02:00,0.0,0.0
12.01.2017,02:00,03:00,0.0,0.0
12.01.2017,03:00,04:00,0.0,0.0
12.01.2017,04:00,05:00,0.0,0.0
12.01.2017,05:00,06:00,0.0,0.0
12.01.2017,06:00,07:00,0.0,0.0
12.01.2017,07:00,08:00,116.0,0.0
12.01.2017,08:00,09:00,323.0,0.0
12.01.2017,09:00,10:00,423.0,0.0
12.01.2017,10:00,11:00,591.0,0.0
12.01.2017,11:00,12:00,563.0,0.0
12.01.2017,12:00,13:00,423.0,0.0
12.01.2017,13:00,14:00,424.0,0.0
12.01.2017,14:00,15:00,474.0,267.0
12.01.2017,15:00,16:00,653.0,344.0
12.01.2017,16:00,17:00,648.0,496.0
12.01.2017,17:00,18:00,648.0,675.0
12.01.2017,18:00,19:00,649.0,700.0
12.01.2017,19:00,20:00,646.0,702.0
12.01.2017,20:00,21:00,646.0,704.0
12.01.2017,21:00,22:00,645.0,705.0
12.01.2017,22:00,23:00,644.0,683.0
12.01.2017,23:00,00:00,352.0,340.0
13.01.2017,00:00,01:00,170.0,176.0
13.01.2017,01:00,02:00,133.0,166.0
13.01.2017,02:00,03:00,129.0,168.0
13.01.2017,03:00,04:00,126.0,170.0
13.01.2017,04:00,05:00,126.0,171.0
13.01.2017,05:00,06:00,130.0,170.0
13.01.2017,06:00,07:00,175.0,243.0
13.01.2017,07:00,08:00,376.0,465.0
13.01.2017,08:00,09:00,635.0,689.0
13.01.2017,09:00,10:00,643.0,700.0
13.01.2017,10:00,11:00,638.0,696.0
13.01.2017,11:00,12:00,494.0,557.0
13.01.2017,12:00,13:00,346.0,480.0
13.01.2017,13:00,14:00,348.0,481.0
13.01.2017,14:00,15:00,348.0,481.0
13.01.2017,15:00,16:00,348.0,481.0
13.01.2017,16:00,17:00,347.0,481.0
13.01.2017,17:00,18:00,345.0,475.0
13.01.2017,18:00,19:00,326.0,245.0
13.01.2017,19:00,20:00,328.0,0.0
13.01.2017,20:00,21:00,250.0,0.0
13.01.2017,21:00,22:00,80.0,0.0
13.01.2017,22:00,23:00,0.0,0.0
13.01.2017,23:00,00:00,0.0,0.0
14.01.2017,00:00,01:00,0.0,0.0
14.01.2017,01:00,02:00,0.0,0.0
14.01.2017,02:00,03:00,0.0,0.0
14.01.2017,03:00,04:00,0.0,0.0
14.01.2017,04:00,05:00,0.0,0.0
14.01.2017,05:00,06:00,0.0,0.0
14.01.2017,06:00,07:00,0.0,0.0
14.01.2017,07:00,08:00,0.0,0.0
14.01.2017,08:00,09:00,0.0,0.0
14.01.2017,09:00,10:00,0.0,0.0
14.01.2017,10:00,11:00,0.0,0.0
14.01.2017,11:00,12:00,0.0,0.0
14.01.2017,12:00,13:00,0.0,0.0
14.01.2017,13:00,14:00,0.0,0.0
14.01.2017,14:00,15:00,0.0,0.0
14.01.2017,15:00,16:00,0.0,0.0
14.01.2017,16:00,17:00,0.0,0.0
14.01.2017,17:00,18:00,0.0,0.0
14.01.2017,18:00,19:00,0.0,0.0
14.01.2017,19:00,20:00,0.0,0.0
14.01.2017,20:00,21:00,0.0,0.0
14.01.2017,21:00,22:00,0.0,0.0
14.01.2017,22:00,23:00,0.0,0.0
14.01.2017,23:00,00:00,0.0,0.0
15.01.2017,00:00,01:00,0.0,0.0
15.01.2017,01:00,02:00,0.0,0.0
15.01.2017,02:00,03:00,0.0,0.0
15.01.2017,03:00,04:00,0.0,0.0
15.01.2017,04:00,05:00,0.0,0.0
15.01.2017,05:00,06:00,0.0,0.0
15.01.2017,06:00,07:00,0.0,0.0
15.01.2017,07:00,08:00,0.0,0.0
15.01.2017,08:00,09:00,0.0,0.0
15.01.2017,09:00,10:00,0.0,0.0
15.01.2017,10:00,11:00,0.0,0.0
15.01.2017,11:00,12:00,0.0,0.0
15.01.2017,12:00,13:00,0.0,0.0
