date,start,end,11WD2NOR20001055
14012018,12:00,13:00,204
14012018,13:00,14:00,204
14012018,14:00,15:00,205
14012018,15:00,16:00,203
14012018,16:00,17:00,202
14012018,17:00,18:00,204
14012018,18:00,19:00,203
14012018,19:00,20:00,204
14012018,20:00,21:00,205
14012018,21:00,22:00,203
14012018,22:00,23:00,203
14012018,23:00,00:00,191
15012018,00:00,01:00,189
15012018,01:00,02:00,192
15012018,02:00,03:00,195
15012018,03:00,04:00,199
15012018,04:00,05:00,203
15012018,05:00,06:00,203
15012018,06:00,07:00,204
15012018,07:00,08:00,202
15012018,08:00,09:00,202
15012018,09:00,10:00,196
15012018,10:00,11:00,201
15012018,11:00,12:00,202
15012018,12:00,13:00,190
15012018,13:00,14:00,193
15012018,14:00,15:00,192
15012018,15:00,16:00,195
15012018,16:00,17:00,202
15012018,17:00,18:00,205
15012018,18:00,19:00,206
15012018,19:00,20:00,205
15012018,20:00,21:00,205
15012018,21:00,22:00,204
15012018,22:00,23:00,202
15012018,23:00,00:00,173
16012018,00:00,01:00,143
16012018,01:00,02:00,136
16012018,02:00,03:00,126
16012018,03:00,04:00,135
16012018,04:00,05:00,132
16012018,05:00,06:00,175
16012018,06:00,07:00,197
16012018,07:00,08:00,217
16012018,08:00,09:00,219
16012018,09:00,10:00,224
16012018,10:00,11:00,231
16012018,11:00,12:00,237
16012018,12:00,13:00,238
16012018,13:00,14:00,230
16012018,14:00,15:00,225
16012018,15:00,16:00,210
16012018,16:00,17:00,203
16012018,17:00,18:00,202
16012018,18:00,19:00,203
16012018,19:00,20:00,204
16012018,20:00,21:00,201
16012018,21:00,22:00,202
16012018,22:00,23:00,202
16012018,23:00,00:00,197
17012018,00:00,01:00,174
17012018,01:00,02:00,156
17012018,02:00,03:00,157
17012018,03:00,04:00,165
17012018,04:00,05:00,175
17012018,05:00,06:00,198
17012018,06:00,07:00,203
17012018,07:00,08:00,201
17012018,08:00,09:00,200
17012018,09:00,10:00,207
