date,start,end,11WD2HEY40000638
13012020,10:00,11:00,0
13012020,11:00,12:00,0
13012020,12:00,13:00,0
13012020,13:00,14:00,0
13012020,14:00,15:00,0
13012020,15:00,16:00,0
13012020,16:00,17:00,0
13012020,17:00,18:00,0
13012020,18:00,19:00,0
13012020,19:00,20:00,0
13012020,20:00,21:00,0
13012020,21:00,22:00,0
13012020,22:00,23:00,0
13012020,23:00,00:00,0
14012020,00:00,01:00,0
14012020,01:00,02:00,0
14012020,02:00,03:00,0
14012020,03:00,04:00,0
14012020,04:00,05:00,0
14012020,05:00,06:00,0
14012020,06:00,07:00,0
14012020,07:00,08:00,0
14012020,08:00,09:00,0
14012020,09:00,10:00,0
14012020,10:00,11:00,0
14012020,11:00,12:00,0
14012020,12:00,13:00,0
14012020,13:00,14:00,0
14012020,14:00,15:00,0
14012020,15:00,16:00,0
14012020,16:00,17:00,0
14012020,17:00,18:00,0
14012020,18:00,19:00,0
14012020,19:00,20:00,0
14012020,20:00,21:00,0
14012020,21:00,22:00,0
14012020,22:00,23:00,0
14012020,23:00,00:00,0
15012020,00:00,01:00,0
15012020,01:00,02:00,0
15012020,02:00,03:00,0
15012020,03:00,04:00,0
15012020,04:00,05:00,0
15012020,05:00,06:00,0
15012020,06:00,07:00,0
15012020,07:00,08:00,0
15012020,08:00,09:00,0
15012020,09:00,10:00,0
15012020,10:00,11:00,0
15012020,11:00,12:00,0
15012020,12:00,13:00,0
15012020,13:00,14:00,0
15012020,14:00,15:00,0
15012020,15:00,16:00,0
15012020,16:00,17:00,0
15012020,17:00,18:00,0
15012020,18:00,19:00,0
15012020,19:00,20:00,0
15012020,20:00,21:00,0
15012020,21:00,22:00,0
15012020,22:00,23:00,0
15012020,23:00,00:00,0
16012020,00:00,01:00,0
16012020,01:00,02:00,0
16012020,02:00,03:00,0
16012020,03:00,04:00,0
16012020,04:00,05:00,0
16012020,05:00,06:00,0
16012020,06:00,07:00,0
16012020,07:00,08:00,0
16012020,08:00,09:00,0
16012020,09:00,10:00,0
16012020,10:00,11:00,0
16012020,11:00,12:00,0
16012020,12:00,13:00,0
16012020,13:00,14:00,0
16012020,14:00,15:00,0
16012020,15:00,16:00,0
16012020,16:00,17:00,0
16012020,17:00,18:00,0
16012020,18:00,19:00,0
16012020,19:00,20:00,0
16012020,20:00,21:00,0
16012020,21:00,22:00,0
16012020,22:00,23:00,0
16012020,23:00,00:00,0
17012020,00:00,01:00,0
17012020,01:00,02:00,0
17012020,02:00,03:00,0
17012020,03:00,04:00,0
17012020,04:00,05:00,0
17012020,05:00,06:00,0
17012020,06:00,07:00,0
17012020,07:00,08:00,0
17012020,08:00,09:00,0
17012020,09:00,10:00,0
17012020,10:00,11:00,0
17012020,11:00,12:00,0
17012020,12:00,13:00,0
17012020,13:00,14:00,0
17012020,14:00,15:00,0
17012020,15:00,16:00,0
17012020,16:00,17:00,0
17012020,17:00,18:00,0
17012020,18:00,19:00,0
17012020,19:00,20:00,0
17012020,20:00,21:00,0
17012020,21:00,22:00,0
17012020,22:00,23:00,0
17012020,23:00,00:00,0
18012020,00:00,01:00,0
18012020,01:00,02:00,0
18012020,02:00,03:00,0
18012020,03:00,04:00,0
18012020,04:00,05:00,0
18012020,05:00,06:00,0
18012020,06:00,07:00,0
18012020,07:00,08:00,0
18012020,08:00,09:00,0
18012020,09:00,10:00,0
18012020,10:00,11:00,0
18012020,11:00,12:00,0
18012020,12:00,13:00,0
18012020,13:00,14:00,0
18012020,14:00,15:00,0
18012020,15:00,16:00,0
18012020,16:00,17:00,0
18012020,17:00,18:00,0
18012020,18:00,19:00,0
18012020,19:00,20:00,0
18012020,20:00,21:00,0
18012020,21:00,22:00,0
18012020,22:00,23:00,0
18012020,23:00,00:00,0
19012020,00:00,01:00,0
19012020,01:00,02:00,0
19012020,02:00,03:00,0
19012020,03:00,04:00,0
19012020,04:00,05:00,0
19012020,05:00,06:00,0
19012020,06:00,07:00,0
19012020,07:00,08:00,0
19012020,08:00,09:00,0
19012020,09:00,10:00,0
19012020,10:00,11:00,0
19012020,11:00,12:00,0
19012020,12:00,13:00,0
19012020,13:00,14:00,0
19012020,14:00,15:00,0
19012020,15:00,16:00,0
19012020,16:00,17:00,0
19012020,17:00,18:00,0
19012020,18:00,19:00,0
19012020,19:00,20:00,0
19012020,20:00,21:00,0
19012020,21:00,22:00,0
19012020,22:00,23:00,0
19012020,23:00,00:00,0
20012020,00:00,01:00,79
20012020,01:00,02:00,157
20012020,02:00,03:00,199
20012020,03:00,04:00,223
20012020,04:00,05:00,252
20012020,05:00,06:00,332
20012020,06:00,07:00,609
20012020,07:00,08:00,844
20012020,08:00,09:00,851
20012020,09:00,10:00,856
20012020,10:00,11:00,860
20012020,11:00,12:00,864
20012020,12:00,13:00,860
20012020,13:00,14:00,860
20012020,14:00,15:00,860
20012020,15:00,16:00,864
20012020,16:00,17:00,867
20012020,17:00,18:00,864
20012020,18:00,19:00,866
20012020,19:00,20:00,868
20012020,20:00,21:00,868
20012020,21:00,22:00,744
20012020,22:00,23:00,459
20012020,23:00,00:00,230
21012020,00:00,01:00,189
21012020,01:00,02:00,186
21012020,02:00,03:00,199
21012020,03:00,04:00,182
21012020,04:00,05:00,197
21012020,05:00,06:00,248
21012020,06:00,07:00,595
21012020,07:00,08:00,852
21012020,08:00,09:00,867
21012020,09:00,10:00,864
21012020,10:00,11:00,640
21012020,11:00,12:00,373
21012020,12:00,13:00,349
21012020,13:00,14:00,633
21012020,14:00,15:00,663
21012020,15:00,16:00,856
21012020,16:00,17:00,860
21012020,17:00,18:00,864
21012020,18:00,19:00,866
21012020,19:00,20:00,863
21012020,20:00,21:00,720
21012020,21:00,22:00,444
21012020,22:00,23:00,278
21012020,23:00,00:00,190
22012020,00:00,01:00,181
22012020,01:00,02:00,180
22012020,02:00,03:00,180
22012020,03:00,04:00,185
22012020,04:00,05:00,237
22012020,05:00,06:00,362
22012020,06:00,07:00,488
22012020,07:00,08:00,802
22012020,08:00,09:00,862
22012020,09:00,10:00,869
22012020,10:00,11:00,870
22012020,11:00,12:00,870
22012020,12:00,13:00,871
22012020,13:00,14:00,869
22012020,14:00,15:00,871
22012020,15:00,16:00,871
22012020,16:00,17:00,870
22012020,17:00,18:00,870
22012020,18:00,19:00,872
22012020,19:00,20:00,873
22012020,20:00,21:00,866
22012020,21:00,22:00,867
22012020,22:00,23:00,868
22012020,23:00,00:00,870
23012020,00:00,01:00,771
23012020,01:00,02:00,414
23012020,02:00,03:00,205
23012020,03:00,04:00,201
23012020,04:00,05:00,254
23012020,05:00,06:00,631
23012020,06:00,07:00,866
