date,start,end,11WD8LEIP5X----6
31012019,12:00,13:00,149
31012019,13:00,14:00,148
31012019,14:00,15:00,148
31012019,15:00,16:00,151
31012019,16:00,17:00,160
31012019,17:00,18:00,162
31012019,18:00,19:00,163
31012019,19:00,20:00,163
31012019,20:00,21:00,155
31012019,21:00,22:00,150
31012019,22:00,23:00,149
31012019,23:00,00:00,142
1022019,00:00,01:00,135
1022019,01:00,02:00,100
1022019,02:00,03:00,68
1022019,03:00,04:00,76
1022019,04:00,05:00,109
1022019,05:00,06:00,148
1022019,06:00,07:00,149
1022019,07:00,08:00,156
1022019,08:00,09:00,161
1022019,09:00,10:00,162
1022019,10:00,11:00,152
1022019,11:00,12:00,148
1022019,12:00,13:00,148
1022019,13:00,14:00,147
1022019,14:00,15:00,127
1022019,15:00,16:00,146
1022019,16:00,17:00,147
1022019,17:00,18:00,147
1022019,18:00,19:00,148
1022019,19:00,20:00,147
1022019,20:00,21:00,148
1022019,21:00,22:00,147
1022019,22:00,23:00,147
1022019,23:00,00:00,144
2022019,00:00,01:00,135
2022019,01:00,02:00,113
2022019,02:00,03:00,92
2022019,03:00,04:00,92
2022019,04:00,05:00,119
2022019,05:00,06:00,146
2022019,06:00,07:00,147
2022019,07:00,08:00,148
2022019,08:00,09:00,149
2022019,09:00,10:00,149
2022019,10:00,11:00,149
2022019,11:00,12:00,149
2022019,12:00,13:00,149
2022019,13:00,14:00,149
2022019,14:00,15:00,149
2022019,15:00,16:00,149
2022019,16:00,17:00,149
2022019,17:00,18:00,149
2022019,18:00,19:00,149
2022019,19:00,20:00,149
2022019,20:00,21:00,149
2022019,21:00,22:00,149
2022019,22:00,23:00,149
2022019,23:00,00:00,149
3022019,00:00,01:00,148
3022019,01:00,02:00,106
3022019,02:00,03:00,63
3022019,03:00,04:00,63
3022019,04:00,05:00,63
3022019,05:00,06:00,63
3022019,06:00,07:00,73
3022019,07:00,08:00,118
3022019,08:00,09:00,150
3022019,09:00,10:00,150
3022019,10:00,11:00,150
3022019,11:00,12:00,150
3022019,12:00,13:00,149
3022019,13:00,14:00,150
3022019,14:00,15:00,150
3022019,15:00,16:00,150
3022019,16:00,17:00,151
