date,start,end,11WD8SWPU1L---AK,11WD8SWPU1L---BI
21012022,07:00,08:00,497.0,607.0
21012022,08:00,09:00,359.0,478.0
21012022,09:00,10:00,375.0,491.0
21012022,10:00,11:00,383.0,485.0
21012022,11:00,12:00,343.0,453.0
21012022,12:00,13:00,419.0,445.0
21012022,13:00,14:00,540.0,493.0
21012022,14:00,15:00,629.0,649.0
21012022,15:00,16:00,644.0,677.0
21012022,16:00,17:00,684.0,696.0
21012022,17:00,18:00,594.0,616.0
21012022,18:00,19:00,415.0,455.0
21012022,19:00,20:00,479.0,527.0
21012022,20:00,21:00,348.0,398.0
21012022,21:00,22:00,300.0,341.0
21012022,22:00,23:00,306.0,377.0
21012022,23:00,00:00,450.0,589.0
22012022,00:00,01:00,396.0,551.0
22012022,01:00,02:00,328.0,434.0
22012022,02:00,03:00,415.0,512.0
22012022,03:00,04:00,527.0,591.0
22012022,04:00,05:00,432.0,497.0
22012022,05:00,06:00,381.0,428.0
22012022,06:00,07:00,495.0,502.0
22012022,07:00,08:00,499.0,505.0
22012022,08:00,09:00,599.0,615.0
22012022,09:00,10:00,617.0,641.0
22012022,10:00,11:00,614.0,641.0
22012022,11:00,12:00,598.0,609.0
22012022,12:00,13:00,592.0,604.0
22012022,13:00,14:00,608.0,612.0
22012022,14:00,15:00,601.0,613.0
22012022,15:00,16:00,606.0,617.0
22012022,16:00,17:00,611.0,618.0
22012022,17:00,18:00,610.0,615.0
22012022,18:00,19:00,612.0,615.0
22012022,19:00,20:00,621.0,621.0
22012022,20:00,21:00,612.0,614.0
22012022,21:00,22:00,594.0,610.0
22012022,22:00,23:00,588.0,617.0
22012022,23:00,00:00,597.0,625.0
23012022,00:00,01:00,710.0,739.0
23012022,01:00,02:00,714.0,732.0
23012022,02:00,03:00,713.0,735.0
23012022,03:00,04:00,714.0,731.0
23012022,04:00,05:00,714.0,737.0
23012022,05:00,06:00,737.0,736.0
23012022,06:00,07:00,719.0,722.0
23012022,07:00,08:00,721.0,723.0
23012022,08:00,09:00,719.0,720.0
23012022,09:00,10:00,734.0,739.0
23012022,10:00,11:00,733.0,741.0
23012022,11:00,12:00,735.0,738.0
23012022,12:00,13:00,733.0,741.0
23012022,13:00,14:00,734.0,737.0
23012022,14:00,15:00,735.0,724.0
23012022,15:00,16:00,744.0,734.0
23012022,16:00,17:00,748.0,740.0
23012022,17:00,18:00,751.0,743.0
23012022,18:00,19:00,749.0,740.0
23012022,19:00,20:00,753.0,737.0
23012022,20:00,21:00,749.0,741.0
23012022,21:00,22:00,752.0,741.0
23012022,22:00,23:00,750.0,739.0
