date,start,end,11WD2BURG000145R
23012019,11:00,12:00,
23012019,12:00,13:00,
23012019,13:00,14:00,
23012019,14:00,15:00,
23012019,15:00,16:00,
23012019,16:00,17:00,
23012019,17:00,18:00,
23012019,18:00,19:00,
23012019,19:00,20:00,
23012019,20:00,21:00,
23012019,21:00,22:00,
23012019,22:00,23:00,
23012019,23:00,00:00,
24012019,00:00,01:00,
24012019,01:00,02:00,
24012019,02:00,03:00,
24012019,03:00,04:00,
24012019,04:00,05:00,
24012019,05:00,06:00,
24012019,06:00,07:00,
24012019,07:00,08:00,
24012019,08:00,09:00,
24012019,09:00,10:00,
24012019,10:00,11:00,
24012019,11:00,12:00,
24012019,12:00,13:00,
24012019,13:00,14:00,
24012019,14:00,15:00,
24012019,15:00,16:00,
24012019,16:00,17:00,
24012019,17:00,18:00,
24012019,18:00,19:00,
24012019,19:00,20:00,
24012019,20:00,21:00,
24012019,21:00,22:00,
24012019,22:00,23:00,
24012019,23:00,00:00,
25012019,00:00,01:00,
25012019,01:00,02:00,
25012019,02:00,03:00,
25012019,03:00,04:00,
25012019,04:00,05:00,
25012019,05:00,06:00,
25012019,06:00,07:00,
25012019,07:00,08:00,
25012019,08:00,09:00,
25012019,09:00,10:00,
25012019,10:00,11:00,
25012019,11:00,12:00,
25012019,12:00,13:00,
25012019,13:00,14:00,
25012019,14:00,15:00,
25012019,15:00,16:00,
25012019,16:00,17:00,
25012019,17:00,18:00,
25012019,18:00,19:00,
25012019,19:00,20:00,
25012019,20:00,21:00,
25012019,21:00,22:00,
25012019,22:00,23:00,
25012019,23:00,00:00,
26012019,00:00,01:00,
26012019,01:00,02:00,
26012019,02:00,03:00,
26012019,03:00,04:00,
26012019,04:00,05:00,
26012019,05:00,06:00,
26012019,06:00,07:00,
26012019,07:00,08:00,
26012019,08:00,09:00,
26012019,09:00,10:00,
26012019,10:00,11:00,
26012019,11:00,12:00,
26012019,12:00,13:00,
26012019,13:00,14:00,
26012019,14:00,15:00,
26012019,15:00,16:00,
26012019,16:00,17:00,
26012019,17:00,18:00,
26012019,18:00,19:00,
26012019,19:00,20:00,
26012019,20:00,21:00,
26012019,21:00,22:00,
26012019,22:00,23:00,
26012019,23:00,00:00,
27012019,00:00,01:00,
27012019,01:00,02:00,
27012019,02:00,03:00,
27012019,03:00,04:00,
27012019,04:00,05:00,
27012019,05:00,06:00,
27012019,06:00,07:00,
27012019,07:00,08:00,
27012019,08:00,09:00,
27012019,09:00,10:00,
27012019,10:00,11:00,
27012019,11:00,12:00,
27012019,12:00,13:00,
27012019,13:00,14:00,
27012019,14:00,15:00,
27012019,15:00,16:00,
27012019,16:00,17:00,
27012019,17:00,18:00,
27012019,18:00,19:00,
27012019,19:00,20:00,
27012019,20:00,21:00,
27012019,21:00,22:00,
27012019,22:00,23:00,
27012019,23:00,00:00,
28012019,00:00,01:00,
28012019,01:00,02:00,
28012019,02:00,03:00,
28012019,03:00,04:00,
28012019,04:00,05:00,
28012019,05:00,06:00,
28012019,06:00,07:00,
28012019,07:00,08:00,
28012019,08:00,09:00,
28012019,09:00,10:00,
28012019,10:00,11:00,
28012019,11:00,12:00,
28012019,12:00,13:00,
28012019,13:00,14:00,
28012019,14:00,15:00,
28012019,15:00,16:00,
28012019,16:00,17:00,
28012019,17:00,18:00,
28012019,18:00,19:00,
28012019,19:00,20:00,
28012019,20:00,21:00,
28012019,21:00,22:00,
28012019,22:00,23:00,
28012019,23:00,00:00,
29012019,00:00,01:00,
29012019,01:00,02:00,
29012019,02:00,03:00,
29012019,03:00,04:00,
29012019,04:00,05:00,
29012019,05:00,06:00,
29012019,06:00,07:00,
29012019,07:00,08:00,
29012019,08:00,09:00,
29012019,09:00,10:00,
29012019,10:00,11:00,
29012019,11:00,12:00,
29012019,12:00,13:00,
29012019,13:00,14:00,
29012019,14:00,15:00,
29012019,15:00,16:00,
29012019,16:00,17:00,
29012019,17:00,18:00,
29012019,18:00,19:00,
29012019,19:00,20:00,
29012019,20:00,21:00,
29012019,21:00,22:00,
29012019,22:00,23:00,
29012019,23:00,00:00,
30012019,00:00,01:00,
30012019,01:00,02:00,
30012019,02:00,03:00,
30012019,03:00,04:00,
30012019,04:00,05:00,
30012019,05:00,06:00,
30012019,06:00,07:00,
30012019,07:00,08:00,
30012019,08:00,09:00,
30012019,09:00,10:00,
30012019,10:00,11:00,
30012019,11:00,12:00,
30012019,12:00,13:00,
30012019,13:00,14:00,
30012019,14:00,15:00,
30012019,15:00,16:00,
30012019,16:00,17:00,
30012019,17:00,18:00,
30012019,18:00,19:00,
30012019,19:00,20:00,
30012019,20:00,21:00,
30012019,21:00,22:00,
30012019,22:00,23:00,
30012019,23:00,00:00,
31012019,00:00,01:00,
31012019,01:00,02:00,
31012019,02:00,03:00,
31012019,03:00,04:00,
31012019,04:00,05:00,
31012019,05:00,06:00,
31012019,06:00,07:00,
31012019,07:00,08:00,
31012019,08:00,09:00,
31012019,09:00,10:00,
31012019,10:00,11:00,
31012019,11:00,12:00,
31012019,12:00,13:00,
31012019,13:00,14:00,
31012019,14:00,15:00,
31012019,15:00,16:00,
31012019,16:00,17:00,
31012019,17:00,18:00,
31012019,18:00,19:00,
31012019,19:00,20:00,
31012019,20:00,21:00,
31012019,21:00,22:00,
31012019,22:00,23:00,
31012019,23:00,00:00,
1022019,00:00,01:00,
1022019,01:00,02:00,
1022019,02:00,03:00,
1022019,03:00,04:00,
1022019,04:00,05:00,
1022019,05:00,06:00,
1022019,06:00,07:00,
1022019,07:00,08:00,
1022019,08:00,09:00,
1022019,09:00,10:00,
1022019,10:00,11:00,
1022019,11:00,12:00,
