date,start,end,11WD2BUSD0000386
2022016,15:00,16:00,307
2022016,16:00,17:00,350
2022016,17:00,18:00,348
2022016,18:00,19:00,344
2022016,19:00,20:00,318
2022016,20:00,21:00,349
2022016,21:00,22:00,338
2022016,22:00,23:00,245
2022016,23:00,00:00,223
3022016,00:00,01:00,223
3022016,01:00,02:00,221
3022016,02:00,03:00,222
3022016,03:00,04:00,223
3022016,04:00,05:00,223
3022016,05:00,06:00,227
3022016,06:00,07:00,285
3022016,07:00,08:00,347
3022016,08:00,09:00,351
3022016,09:00,10:00,350
3022016,10:00,11:00,350
3022016,11:00,12:00,336
3022016,12:00,13:00,239
3022016,13:00,14:00,222
3022016,14:00,15:00,222
3022016,15:00,16:00,221
3022016,16:00,17:00,238
3022016,17:00,18:00,327
3022016,18:00,19:00,346
3022016,19:00,20:00,348
3022016,20:00,21:00,350
3022016,21:00,22:00,308
3022016,22:00,23:00,246
3022016,23:00,00:00,315
4022016,00:00,01:00,223
4022016,01:00,02:00,223
4022016,02:00,03:00,222
4022016,03:00,04:00,223
4022016,04:00,05:00,223
4022016,05:00,06:00,227
4022016,06:00,07:00,286
4022016,07:00,08:00,339
4022016,08:00,09:00,334
4022016,09:00,10:00,334
4022016,10:00,11:00,334
4022016,11:00,12:00,334
4022016,12:00,13:00,334
4022016,13:00,14:00,332
4022016,14:00,15:00,334
4022016,15:00,16:00,331
4022016,16:00,17:00,325
4022016,17:00,18:00,326
4022016,18:00,19:00,328
4022016,19:00,20:00,291
4022016,20:00,21:00,223
4022016,21:00,22:00,33
4022016,22:00,23:00,0
4022016,23:00,00:00,0
5022016,00:00,01:00,0
5022016,01:00,02:00,0
5022016,02:00,03:00,0
5022016,03:00,04:00,0
5022016,04:00,05:00,0
5022016,05:00,06:00,0
5022016,06:00,07:00,0
5022016,07:00,08:00,0
5022016,08:00,09:00,0
5022016,09:00,10:00,0
5022016,10:00,11:00,0
5022016,11:00,12:00,0
5022016,12:00,13:00,0
5022016,13:00,14:00,0
5022016,14:00,15:00,0
5022016,15:00,16:00,0
5022016,16:00,17:00,0
5022016,17:00,18:00,0
5022016,18:00,19:00,0
5022016,19:00,20:00,0
5022016,20:00,21:00,0
5022016,21:00,22:00,0
5022016,22:00,23:00,0
5022016,23:00,00:00,0
6022016,00:00,01:00,0
6022016,01:00,02:00,0
6022016,02:00,03:00,0
6022016,03:00,04:00,0
6022016,04:00,05:00,0
6022016,05:00,06:00,0
6022016,06:00,07:00,0
6022016,07:00,08:00,0
6022016,08:00,09:00,0
6022016,09:00,10:00,0
6022016,10:00,11:00,0
6022016,11:00,12:00,0
6022016,12:00,13:00,0
6022016,13:00,14:00,0
6022016,14:00,15:00,0
6022016,15:00,16:00,0
6022016,16:00,17:00,0
6022016,17:00,18:00,0
6022016,18:00,19:00,0
6022016,19:00,20:00,0
6022016,20:00,21:00,0
6022016,21:00,22:00,0
6022016,22:00,23:00,0
6022016,23:00,00:00,0
7022016,00:00,01:00,0
7022016,01:00,02:00,0
7022016,02:00,03:00,0
7022016,03:00,04:00,0
7022016,04:00,05:00,0
7022016,05:00,06:00,0
7022016,06:00,07:00,0
7022016,07:00,08:00,0
7022016,08:00,09:00,0
7022016,09:00,10:00,0
7022016,10:00,11:00,0
7022016,11:00,12:00,0
7022016,12:00,13:00,0
7022016,13:00,14:00,0
7022016,14:00,15:00,0
7022016,15:00,16:00,0
7022016,16:00,17:00,0
7022016,17:00,18:00,0
7022016,18:00,19:00,0
7022016,19:00,20:00,0
7022016,20:00,21:00,0
7022016,21:00,22:00,0
7022016,22:00,23:00,0
7022016,23:00,00:00,0
8022016,00:00,01:00,0
8022016,01:00,02:00,0
8022016,02:00,03:00,0
8022016,03:00,04:00,0
8022016,04:00,05:00,0
8022016,05:00,06:00,0
8022016,06:00,07:00,0
8022016,07:00,08:00,0
8022016,08:00,09:00,0
8022016,09:00,10:00,0
8022016,10:00,11:00,0
8022016,11:00,12:00,0
8022016,12:00,13:00,0
8022016,13:00,14:00,0
8022016,14:00,15:00,0
8022016,15:00,16:00,0
8022016,16:00,17:00,0
8022016,17:00,18:00,0
8022016,18:00,19:00,0
8022016,19:00,20:00,0
8022016,20:00,21:00,0
8022016,21:00,22:00,0
8022016,22:00,23:00,0
8022016,23:00,00:00,0
9022016,00:00,01:00,0
9022016,01:00,02:00,0
9022016,02:00,03:00,0
9022016,03:00,04:00,0
9022016,04:00,05:00,0
9022016,05:00,06:00,0
9022016,06:00,07:00,32
9022016,07:00,08:00,193
9022016,08:00,09:00,210
9022016,09:00,10:00,276
9022016,10:00,11:00,345
9022016,11:00,12:00,350
9022016,12:00,13:00,349
9022016,13:00,14:00,351
9022016,14:00,15:00,350
9022016,15:00,16:00,350
9022016,16:00,17:00,350
9022016,17:00,18:00,348
9022016,18:00,19:00,348
9022016,19:00,20:00,348
9022016,20:00,21:00,334
9022016,21:00,22:00,237
9022016,22:00,23:00,221
9022016,23:00,00:00,221
10022016,00:00,01:00,222
10022016,01:00,02:00,120
10022016,02:00,03:00,141
10022016,03:00,04:00,223
10022016,04:00,05:00,224
10022016,05:00,06:00,229
10022016,06:00,07:00,287
10022016,07:00,08:00,347
10022016,08:00,09:00,346
10022016,09:00,10:00,348
10022016,10:00,11:00,348
10022016,11:00,12:00,348
10022016,12:00,13:00,346
10022016,13:00,14:00,348
10022016,14:00,15:00,349
10022016,15:00,16:00,346
10022016,16:00,17:00,351
10022016,17:00,18:00,346
10022016,18:00,19:00,347
10022016,19:00,20:00,348
10022016,20:00,21:00,344
10022016,21:00,22:00,346
10022016,22:00,23:00,330
10022016,23:00,00:00,301
11022016,00:00,01:00,238
11022016,01:00,02:00,223
11022016,02:00,03:00,223
11022016,03:00,04:00,222
11022016,04:00,05:00,222
11022016,05:00,06:00,238
11022016,06:00,07:00,327
11022016,07:00,08:00,346
11022016,08:00,09:00,343
11022016,09:00,10:00,345
11022016,10:00,11:00,346
11022016,11:00,12:00,350
