date,start,end,11WD7VOLK5S-HKVM
24012019,16:00,17:00,152.0
24012019,17:00,18:00,175.0
24012019,18:00,19:00,175.0
24012019,19:00,20:00,175.0
24012019,20:00,21:00,176.0
24012019,21:00,22:00,177.0
24012019,22:00,23:00,177.0
24012019,23:00,00:00,176.0
25012019,00:00,01:00,140.0
25012019,01:00,02:00,157.0
25012019,02:00,03:00,121.0
25012019,03:00,04:00,119.0
25012019,04:00,05:00,121.0
25012019,05:00,06:00,159.0
25012019,06:00,07:00,172.0
25012019,07:00,08:00,178.0
25012019,08:00,09:00,178.0
25012019,09:00,10:00,178.0
25012019,10:00,11:00,177.0
25012019,11:00,12:00,176.0
25012019,12:00,13:00,176.0
25012019,13:00,14:00,176.0
25012019,14:00,15:00,177.0
25012019,15:00,16:00,176.0
25012019,16:00,17:00,176.0
25012019,17:00,18:00,159.0
25012019,18:00,19:00,143.0
25012019,19:00,20:00,120.0
25012019,20:00,21:00,22.0
25012019,21:00,22:00,0.0
25012019,22:00,23:00,0.0
25012019,23:00,00:00,0.0
26012019,00:00,01:00,0.0
26012019,01:00,02:00,0.0
26012019,02:00,03:00,0.0
26012019,03:00,04:00,0.0
26012019,04:00,05:00,0.0
26012019,05:00,06:00,0.0
26012019,06:00,07:00,0.0
26012019,07:00,08:00,0.0
26012019,08:00,09:00,0.0
26012019,09:00,10:00,0.0
26012019,10:00,11:00,0.0
26012019,11:00,12:00,0.0
26012019,12:00,13:00,0.0
26012019,13:00,14:00,0.0
26012019,14:00,15:00,0.0
26012019,15:00,16:00,0.0
26012019,16:00,17:00,0.0
26012019,17:00,18:00,0.0
26012019,18:00,19:00,0.0
26012019,19:00,20:00,0.0
26012019,20:00,21:00,0.0
26012019,21:00,22:00,0.0
26012019,22:00,23:00,0.0
26012019,23:00,00:00,0.0
27012019,00:00,01:00,0.0
27012019,01:00,02:00,0.0
27012019,02:00,03:00,0.0
27012019,03:00,04:00,0.0
27012019,04:00,05:00,0.0
27012019,05:00,06:00,0.0
27012019,06:00,07:00,0.0
27012019,07:00,08:00,0.0
27012019,08:00,09:00,0.0
27012019,09:00,10:00,0.0
27012019,10:00,11:00,0.0
27012019,11:00,12:00,0.0
27012019,12:00,13:00,0.0
27012019,13:00,14:00,0.0
27012019,14:00,15:00,0.0
27012019,15:00,16:00,0.0
27012019,16:00,17:00,0.0
27012019,17:00,18:00,0.0
27012019,18:00,19:00,0.0
27012019,19:00,20:00,0.0
27012019,20:00,21:00,0.0
27012019,21:00,22:00,0.0
27012019,22:00,23:00,0.0
27012019,23:00,00:00,0.0
28012019,00:00,01:00,0.0
28012019,01:00,02:00,0.0
28012019,02:00,03:00,0.0
28012019,03:00,04:00,0.0
28012019,04:00,05:00,0.0
28012019,05:00,06:00,0.0
28012019,06:00,07:00,0.0
28012019,07:00,08:00,0.0
28012019,08:00,09:00,0.0
28012019,09:00,10:00,0.0
28012019,10:00,11:00,0.0
28012019,11:00,12:00,0.0
28012019,12:00,13:00,0.0
28012019,13:00,14:00,0.0
28012019,14:00,15:00,0.0
28012019,15:00,16:00,0.0
28012019,16:00,17:00,0.0
28012019,17:00,18:00,0.0
28012019,18:00,19:00,0.0
28012019,19:00,20:00,0.0
28012019,20:00,21:00,0.0
28012019,21:00,22:00,0.0
28012019,22:00,23:00,0.0
28012019,23:00,00:00,0.0
29012019,00:00,01:00,0.0
29012019,01:00,02:00,0.0
29012019,02:00,03:00,0.0
29012019,03:00,04:00,0.0
29012019,04:00,05:00,0.0
29012019,05:00,06:00,0.0
29012019,06:00,07:00,0.0
29012019,07:00,08:00,0.0
29012019,08:00,09:00,0.0
29012019,09:00,10:00,0.0
29012019,10:00,11:00,0.0
