date,start,end,11WD7IBBE2S--B-P
17012017,20:00,21:00,784.0
17012017,21:00,22:00,786.0
17012017,22:00,23:00,785.0
17012017,23:00,00:00,786.0
18012017,00:00,01:00,784.0
18012017,01:00,02:00,784.0
18012017,02:00,03:00,785.0
18012017,03:00,04:00,785.0
18012017,04:00,05:00,783.0
18012017,05:00,06:00,789.0
18012017,06:00,07:00,784.0
18012017,07:00,08:00,784.0
18012017,08:00,09:00,786.0
18012017,09:00,10:00,780.0
18012017,10:00,11:00,787.0
18012017,11:00,12:00,787.0
18012017,12:00,13:00,783.0
18012017,13:00,14:00,788.0
18012017,14:00,15:00,779.0
18012017,15:00,16:00,787.0
18012017,16:00,17:00,786.0
18012017,17:00,18:00,785.0
18012017,18:00,19:00,787.0
18012017,19:00,20:00,787.0
18012017,20:00,21:00,785.0
18012017,21:00,22:00,784.0
18012017,22:00,23:00,786.0
18012017,23:00,00:00,786.0
19012017,00:00,01:00,787.0
19012017,01:00,02:00,785.0
19012017,02:00,03:00,766.0
19012017,03:00,04:00,783.0
19012017,04:00,05:00,785.0
19012017,05:00,06:00,720.0
19012017,06:00,07:00,785.0
19012017,07:00,08:00,786.0
19012017,08:00,09:00,785.0
19012017,09:00,10:00,787.0
19012017,10:00,11:00,785.0
19012017,11:00,12:00,787.0
19012017,12:00,13:00,788.0
19012017,13:00,14:00,782.0
19012017,14:00,15:00,790.0
19012017,15:00,16:00,782.0
19012017,16:00,17:00,786.0
19012017,17:00,18:00,785.0
19012017,18:00,19:00,783.0
19012017,19:00,20:00,791.0
19012017,20:00,21:00,779.0
19012017,21:00,22:00,788.0
19012017,22:00,23:00,784.0
19012017,23:00,00:00,784.0
20012017,00:00,01:00,787.0
20012017,01:00,02:00,785.0
20012017,02:00,03:00,781.0
20012017,03:00,04:00,786.0
20012017,04:00,05:00,786.0
20012017,05:00,06:00,787.0
20012017,06:00,07:00,785.0
20012017,07:00,08:00,786.0
20012017,08:00,09:00,785.0
20012017,09:00,10:00,785.0
20012017,10:00,11:00,787.0
20012017,11:00,12:00,787.0
20012017,12:00,13:00,787.0
20012017,13:00,14:00,789.0
20012017,14:00,15:00,786.0
20012017,15:00,16:00,787.0
20012017,16:00,17:00,786.0
20012017,17:00,18:00,785.0
20012017,18:00,19:00,786.0
20012017,19:00,20:00,787.0
20012017,20:00,21:00,788.0
20012017,21:00,22:00,787.0
20012017,22:00,23:00,785.0
20012017,23:00,00:00,786.0
21012017,00:00,01:00,785.0
21012017,01:00,02:00,787.0
21012017,02:00,03:00,772.0
21012017,03:00,04:00,786.0
21012017,04:00,05:00,784.0
21012017,05:00,06:00,786.0
21012017,06:00,07:00,785.0
21012017,07:00,08:00,784.0
21012017,08:00,09:00,786.0
21012017,09:00,10:00,787.0
21012017,10:00,11:00,785.0
21012017,11:00,12:00,785.0
21012017,12:00,13:00,786.0
21012017,13:00,14:00,785.0
21012017,14:00,15:00,784.0
21012017,15:00,16:00,783.0
21012017,16:00,17:00,789.0
21012017,17:00,18:00,780.0
21012017,18:00,19:00,789.0
21012017,19:00,20:00,785.0
21012017,20:00,21:00,786.0
21012017,21:00,22:00,788.0
21012017,22:00,23:00,783.0
21012017,23:00,00:00,786.0
22012017,00:00,01:00,786.0
22012017,01:00,02:00,782.0
22012017,02:00,03:00,782.0
22012017,03:00,04:00,783.0
22012017,04:00,05:00,786.0
22012017,05:00,06:00,786.0
22012017,06:00,07:00,786.0
22012017,07:00,08:00,786.0
22012017,08:00,09:00,786.0
22012017,09:00,10:00,786.0
22012017,10:00,11:00,787.0
22012017,11:00,12:00,785.0
22012017,12:00,13:00,786.0
22012017,13:00,14:00,786.0
22012017,14:00,15:00,784.0
22012017,15:00,16:00,787.0
22012017,16:00,17:00,786.0
22012017,17:00,18:00,785.0
22012017,18:00,19:00,786.0
22012017,19:00,20:00,785.0
22012017,20:00,21:00,788.0
22012017,21:00,22:00,786.0
22012017,22:00,23:00,785.0
22012017,23:00,00:00,784.0
23012017,00:00,01:00,785.0
23012017,01:00,02:00,784.0
23012017,02:00,03:00,773.0
23012017,03:00,04:00,783.0
23012017,04:00,05:00,784.0
23012017,05:00,06:00,787.0
23012017,06:00,07:00,785.0
23012017,07:00,08:00,785.0
23012017,08:00,09:00,784.0
23012017,09:00,10:00,783.0
23012017,10:00,11:00,784.0
23012017,11:00,12:00,787.0
23012017,12:00,13:00,783.0
23012017,13:00,14:00,782.0
23012017,14:00,15:00,781.0
23012017,15:00,16:00,780.0
23012017,16:00,17:00,790.0
23012017,17:00,18:00,778.0
23012017,18:00,19:00,783.0
23012017,19:00,20:00,780.0
23012017,20:00,21:00,781.0
23012017,21:00,22:00,782.0
23012017,22:00,23:00,784.0
23012017,23:00,00:00,784.0
24012017,00:00,01:00,782.0
24012017,01:00,02:00,784.0
24012017,02:00,03:00,782.0
24012017,03:00,04:00,787.0
24012017,04:00,05:00,785.0
24012017,05:00,06:00,782.0
24012017,06:00,07:00,783.0
24012017,07:00,08:00,785.0
24012017,08:00,09:00,782.0
24012017,09:00,10:00,784.0
24012017,10:00,11:00,784.0
24012017,11:00,12:00,781.0
24012017,12:00,13:00,785.0
24012017,13:00,14:00,784.0
24012017,14:00,15:00,783.0
24012017,15:00,16:00,781.0
24012017,16:00,17:00,784.0
24012017,17:00,18:00,786.0
24012017,18:00,19:00,783.0
24012017,19:00,20:00,784.0
24012017,20:00,21:00,785.0
24012017,21:00,22:00,785.0
24012017,22:00,23:00,785.0
24012017,23:00,00:00,785.0
25012017,00:00,01:00,784.0
25012017,01:00,02:00,784.0
25012017,02:00,03:00,785.0
25012017,03:00,04:00,783.0
25012017,04:00,05:00,782.0
25012017,05:00,06:00,787.0
25012017,06:00,07:00,784.0
25012017,07:00,08:00,782.0
