date,start,end,11WD8ROST1C----K
26012019,11:00,12:00,492
26012019,12:00,13:00,493
26012019,13:00,14:00,494
26012019,14:00,15:00,495
26012019,15:00,16:00,496
26012019,16:00,17:00,494
26012019,17:00,18:00,495
26012019,18:00,19:00,494
26012019,19:00,20:00,479
26012019,20:00,21:00,117
26012019,21:00,22:00,0
26012019,22:00,23:00,0
26012019,23:00,00:00,0
27012019,00:00,01:00,0
27012019,01:00,02:00,0
27012019,02:00,03:00,0
27012019,03:00,04:00,0
27012019,04:00,05:00,0
27012019,05:00,06:00,0
27012019,06:00,07:00,0
27012019,07:00,08:00,0
27012019,08:00,09:00,0
27012019,09:00,10:00,0
27012019,10:00,11:00,0
27012019,11:00,12:00,0
27012019,12:00,13:00,0
27012019,13:00,14:00,0
27012019,14:00,15:00,0
27012019,15:00,16:00,0
27012019,16:00,17:00,0
27012019,17:00,18:00,0
27012019,18:00,19:00,0
27012019,19:00,20:00,0
27012019,20:00,21:00,0
27012019,21:00,22:00,0
27012019,22:00,23:00,0
27012019,23:00,00:00,0
28012019,00:00,01:00,0
28012019,01:00,02:00,0
28012019,02:00,03:00,0
28012019,03:00,04:00,0
28012019,04:00,05:00,0
28012019,05:00,06:00,119
28012019,06:00,07:00,314
28012019,07:00,08:00,428
28012019,08:00,09:00,470
28012019,09:00,10:00,491
28012019,10:00,11:00,494
28012019,11:00,12:00,500
28012019,12:00,13:00,500
28012019,13:00,14:00,501
28012019,14:00,15:00,501
28012019,15:00,16:00,501
28012019,16:00,17:00,500
28012019,17:00,18:00,500
28012019,18:00,19:00,502
28012019,19:00,20:00,502
28012019,20:00,21:00,503
28012019,21:00,22:00,501
28012019,22:00,23:00,496
28012019,23:00,00:00,498
29012019,00:00,01:00,498
29012019,01:00,02:00,498
29012019,02:00,03:00,499
29012019,03:00,04:00,498
29012019,04:00,05:00,496
29012019,05:00,06:00,493
29012019,06:00,07:00,498
29012019,07:00,08:00,496
29012019,08:00,09:00,492
29012019,09:00,10:00,492
29012019,10:00,11:00,497
29012019,11:00,12:00,501
29012019,12:00,13:00,505
29012019,13:00,14:00,504
29012019,14:00,15:00,503
