date,start,end,11WD2BRE4000115K
16012020,04:00,05:00,91
16012020,05:00,06:00,98
16012020,06:00,07:00,88
16012020,07:00,08:00,108
16012020,08:00,09:00,110
16012020,09:00,10:00,117
16012020,10:00,11:00,118
16012020,11:00,12:00,103
16012020,12:00,13:00,104
16012020,13:00,14:00,115
16012020,14:00,15:00,105
16012020,15:00,16:00,58
16012020,16:00,17:00,56
16012020,17:00,18:00,56
16012020,18:00,19:00,57
16012020,19:00,20:00,112
16012020,20:00,21:00,118
16012020,21:00,22:00,115
16012020,22:00,23:00,113
16012020,23:00,00:00,0
17012020,00:00,01:00,101
17012020,01:00,02:00,118
17012020,02:00,03:00,130
17012020,03:00,04:00,139
17012020,04:00,05:00,126
17012020,05:00,06:00,121
17012020,06:00,07:00,110
17012020,07:00,08:00,124
17012020,08:00,09:00,143
17012020,09:00,10:00,153
17012020,10:00,11:00,155
17012020,11:00,12:00,137
17012020,12:00,13:00,136
17012020,13:00,14:00,114
17012020,14:00,15:00,101
17012020,15:00,16:00,104
17012020,16:00,17:00,58
17012020,17:00,18:00,57
17012020,18:00,19:00,60
17012020,19:00,20:00,89
17012020,20:00,21:00,110
17012020,21:00,22:00,110
17012020,22:00,23:00,111
17012020,23:00,00:00,0
18012020,00:00,01:00,110
18012020,01:00,02:00,98
18012020,02:00,03:00,118
18012020,03:00,04:00,114
18012020,04:00,05:00,106
18012020,05:00,06:00,121
18012020,06:00,07:00,110
18012020,07:00,08:00,119
18012020,08:00,09:00,101
18012020,09:00,10:00,110
18012020,10:00,11:00,99
18012020,11:00,12:00,47
18012020,12:00,13:00,42
18012020,13:00,14:00,42
18012020,14:00,15:00,50
18012020,15:00,16:00,108
18012020,16:00,17:00,117
18012020,17:00,18:00,106
18012020,18:00,19:00,110
18012020,19:00,20:00,123
18012020,20:00,21:00,126
18012020,21:00,22:00,89
18012020,22:00,23:00,96
18012020,23:00,00:00,0
19012020,00:00,01:00,87
19012020,01:00,02:00,80
19012020,02:00,03:00,82
19012020,03:00,04:00,107
19012020,04:00,05:00,114
19012020,05:00,06:00,108
19012020,06:00,07:00,115
19012020,07:00,08:00,119
19012020,08:00,09:00,129
19012020,09:00,10:00,130
19012020,10:00,11:00,129
19012020,11:00,12:00,142
19012020,12:00,13:00,117
19012020,13:00,14:00,126
19012020,14:00,15:00,120
19012020,15:00,16:00,103
19012020,16:00,17:00,117
19012020,17:00,18:00,115
19012020,18:00,19:00,100
19012020,19:00,20:00,104
19012020,20:00,21:00,111
19012020,21:00,22:00,110
19012020,22:00,23:00,113
19012020,23:00,00:00,0
20012020,00:00,01:00,123
20012020,01:00,02:00,111
20012020,02:00,03:00,105
20012020,03:00,04:00,74
20012020,04:00,05:00,72
20012020,05:00,06:00,69
20012020,06:00,07:00,69
20012020,07:00,08:00,70
20012020,08:00,09:00,71
20012020,09:00,10:00,80
20012020,10:00,11:00,102
20012020,11:00,12:00,98
20012020,12:00,13:00,98
20012020,13:00,14:00,98
20012020,14:00,15:00,98
20012020,15:00,16:00,107
20012020,16:00,17:00,113
20012020,17:00,18:00,114
20012020,18:00,19:00,116
20012020,19:00,20:00,117
20012020,20:00,21:00,114
20012020,21:00,22:00,108
20012020,22:00,23:00,100
20012020,23:00,00:00,0
21012020,00:00,01:00,110
21012020,01:00,02:00,108
21012020,02:00,03:00,94
21012020,03:00,04:00,61
