Timestamp,11WD7NEUR1B--G-I,11WD7NEUR1B--F-L,11WD7NEUR2B--A-T,11WD7NEUR1B--B-X,11WD7NEUR1B--C-U,11WD7NEUR1B--D-R,11WD7NEUR1B--E-O
2021-01-04 22:00:00,1038,1031,0,294,,594,625
2021-01-04 23:00:00,1037,1026,0,290,,568,620
2021-01-05 00:00:00,1046,1029,0,161,,317,493
2021-01-05 01:00:00,1041,1032,0,140,,273,396
2021-01-05 02:00:00,1039,1023,0,140,,271,404
2021-01-05 03:00:00,1036,1029,0,140,,279,555
2021-01-05 04:00:00,1031,1023,0,142,,386,625
2021-01-05 05:00:00,1036,1026,0,246,,573,624
2021-01-05 06:00:00,1038,1026,0,293,,610,623
2021-01-05 07:00:00,1037,1025,0,293,,607,624
2021-01-05 08:00:00,1033,1028,0,292,,609,606
2021-01-05 09:00:00,1034,1026,0,298,,609,606
2021-01-05 10:00:00,1033,1028,0,298,,619,620
2021-01-05 11:00:00,1033,1027,0,297,,612,609
2021-01-05 12:00:00,1031,1025,0,298,,608,619
2021-01-05 13:00:00,1033,1027,0,298,,609,620
2021-01-05 14:00:00,1014,1028,0,297,,608,621
2021-01-05 15:00:00,976,1029,0,293,,610,621
2021-01-05 16:00:00,766,1026,0,292,,600,623
2021-01-05 17:00:00,709,1028,0,295,,605,627
2021-01-05 18:00:00,712,1030,0,300,,607,627
2021-01-05 19:00:00,711,1028,0,301,,607,628
2021-01-05 20:00:00,712,1027,0,301,,607,627
2021-01-05 21:00:00,711,1030,0,301,,607,627
2021-01-05 22:00:00,711,1029,0,297,,605,626
2021-01-05 23:00:00,712,1025,0,295,,599,620
2021-01-06 00:00:00,710,772,0,296,,528,491
2021-01-06 01:00:00,711,725,0,295,,539,485
2021-01-06 02:00:00,710,516,0,295,,604,485
2021-01-06 03:00:00,710,489,0,296,,604,484
2021-01-06 04:00:00,731,488,0,298,,603,488
2021-01-06 05:00:00,736,486,0,301,,605,612
2021-01-06 06:00:00,821,493,0,301,,604,625
2021-01-06 07:00:00,848,750,0,301,,604,621
2021-01-06 08:00:00,1021,931,0,300,,605,627
2021-01-06 09:00:00,1037,1019,0,296,,606,625
2021-01-06 10:00:00,1022,1024,0,296,,605,625
2021-01-06 11:00:00,1038,1028,0,297,,606,626
2021-01-06 12:00:00,1031,1028,0,298,,605,627
2021-01-06 13:00:00,1035,1026,0,300,,604,626
2021-01-06 14:00:00,1032,1028,0,301,,605,626
2021-01-06 15:00:00,1027,1027,0,305,,607,627
2021-01-06 16:00:00,1032,1027,0,305,,608,628
2021-01-06 17:00:00,1033,1029,0,303,,607,627
2021-01-06 18:00:00,1035,1030,0,300,,608,629
2021-01-06 19:00:00,1037,1029,0,301,,608,629
2021-01-06 20:00:00,1029,1030,0,300,,608,629
2021-01-06 21:00:00,1033,1030,0,301,,609,629
2021-01-06 22:00:00,1037,1028,0,301,,607,628
2021-01-06 23:00:00,1037,1029,0,300,,607,628
2021-01-07 00:00:00,1033,1028,0,300,,607,628
2021-01-07 01:00:00,900,1014,0,297,,610,631
2021-01-07 02:00:00,744,784,0,299,,607,627
2021-01-07 03:00:00,743,778,0,299,,606,627
2021-01-07 04:00:00,731,777,0,299,,608,627
2021-01-07 05:00:00,776,778,0,303,,606,627
2021-01-07 06:00:00,981,781,0,305,,606,627
2021-01-07 07:00:00,1031,864,0,306,,606,627
2021-01-07 08:00:00,1031,1030,0,303,,607,627
2021-01-07 09:00:00,1035,1025,0,302,,607,626
2021-01-07 10:00:00,1035,1029,0,299,,608,628
2021-01-07 11:00:00,1033,1027,0,299,,619,629
2021-01-07 12:00:00,1032,1027,0,298,,611,626
2021-01-07 13:00:00,1031,1028,0,302,,612,628
2021-01-07 14:00:00,1029,1029,0,305,,609,626
2021-01-07 15:00:00,1038,1030,0,305,,612,628
2021-01-07 16:00:00,1029,1029,0,306,,609,624
2021-01-07 17:00:00,1035,1035,0,306,,613,628
2021-01-07 18:00:00,1038,1029,0,306,,612,629
2021-01-07 19:00:00,1035,1033,0,300,,612,628
2021-01-07 20:00:00,1035,1033,0,300,,614,629
2021-01-07 21:00:00,1037,1034,0,301,,613,629
2021-01-07 22:00:00,1035,1039,0,301,,614,629
2021-01-07 23:00:00,1036,1036,0,300,,612,628
2021-01-08 00:00:00,1035,1029,0,296,,611,628
2021-01-08 01:00:00,1036,1029,0,295,,613,628
2021-01-08 02:00:00,1034,1032,0,297,,611,627
2021-01-08 03:00:00,864,1030,0,300,,613,628
2021-01-08 04:00:00,741,1033,0,300,,611,628
2021-01-08 05:00:00,741,1029,0,298,,611,626
2021-01-08 06:00:00,987,1029,0,298,,612,628
2021-01-08 07:00:00,1029,1031,0,298,,611,627
2021-01-08 08:00:00,1032,1034,0,300,,612,627
2021-01-08 09:00:00,1035,1031,0,299,,610,626
2021-01-08 10:00:00,1033,1032,0,300,,611,626
2021-01-08 11:00:00,1034,1032,0,299,,611,627
2021-01-08 12:00:00,1037,1031,0,300,,611,627
2021-01-08 13:00:00,1032,1034,0,300,,610,626
2021-01-08 14:00:00,1035,1024,0,298,,610,626
2021-01-08 15:00:00,1035,1029,0,298,,610,627
2021-01-08 16:00:00,1034,1029,0,288,,611,627
2021-01-08 17:00:00,1033,1033,0,289,,612,628
2021-01-08 18:00:00,1039,1033,0,288,,612,628
2021-01-08 19:00:00,1037,1034,0,289,,614,617
2021-01-08 20:00:00,1039,1039,0,290,,616,328
2021-01-08 21:00:00,1033,1035,0,289,,613,0
2021-01-08 22:00:00,1038,1037,0,289,,612,0
2021-01-08 23:00:00,1036,1028,0,290,,610,0
2021-01-09 00:00:00,1030,1017,0,298,,610,0
2021-01-09 01:00:00,1028,961,0,298,,609,0
2021-01-09 02:00:00,1030,927,0,298,,611,0
2021-01-09 03:00:00,1031,840,0,298,,607,0
2021-01-09 04:00:00,1030,859,0,292,,594,0
2021-01-09 05:00:00,1033,973,0,290,,592,0
2021-01-09 06:00:00,1031,948,0,289,,604,0
2021-01-09 07:00:00,1035,1029,0,291,,609,0
2021-01-09 08:00:00,1033,1033,24,297,,609,0
2021-01-09 09:00:00,1028,1030,187,299,,605,0
2021-01-09 10:00:00,1033,1029,234,300,,606,0
2021-01-09 11:00:00,1023,1026,286,298,,610,0
2021-01-09 12:00:00,1030,1024,292,294,,610,0
2021-01-09 13:00:00,1025,1026,293,295,,611,0
2021-01-09 14:00:00,1033,1027,296,296,,612,0
2021-01-09 15:00:00,1029,1030,296,297,,610,0
2021-01-09 16:00:00,1029,1028,296,299,,609,0
2021-01-09 17:00:00,1031,1031,296,300,,613,0
2021-01-09 18:00:00,1034,1030,296,300,,612,0
2021-01-09 19:00:00,1033,1033,296,300,,612,0
2021-01-09 20:00:00,1044,1030,296,298,,613,0
2021-01-09 21:00:00,1044,1032,295,294,,585,0
2021-01-09 22:00:00,1047,1036,295,295,,117,0
2021-01-09 23:00:00,1045,1030,255,294,,0,0
2021-01-10 00:00:00,1042,1031,225,294,,0,0
2021-01-10 01:00:00,1043,1029,226,294,,0,0
2021-01-10 02:00:00,1041,1013,229,294,,0,0
2021-01-10 03:00:00,1044,1020,231,294,,0,0
2021-01-10 04:00:00,1040,1030,224,290,,0,0
2021-01-10 05:00:00,1046,1028,29,293,,0,0
2021-01-10 06:00:00,1042,1025,0,292,,0,0
2021-01-10 07:00:00,1042,1029,0,297,,0,0
2021-01-10 08:00:00,1042,1027,0,298,,0,0
2021-01-10 09:00:00,1044,1026,0,296,,0,0
2021-01-10 10:00:00,1039,1020,0,290,,0,0
2021-01-10 11:00:00,1045,1025,0,295,,0,0
2021-01-10 12:00:00,1042,1025,0,297,,0,0
2021-01-10 13:00:00,1043,1030,0,296,,0,0
2021-01-10 14:00:00,1038,1028,0,295,,0,57
2021-01-10 15:00:00,1040,1026,0,297,,0,374
2021-01-10 16:00:00,1040,1030,0,300,,0,572
2021-01-10 17:00:00,1001,1031,0,302,,0,627
2021-01-10 18:00:00,813,1031,0,303,,0,544
2021-01-10 19:00:00,811,1024,0,301,,0,405
2021-01-10 20:00:00,810,1030,0,296,,0,398
2021-01-10 21:00:00,810,1036,0,295,,0,324
2021-01-10 22:00:00,810,1029,0,292,,0,326
2021-01-10 23:00:00,811,1018,0,187,,0,432
2021-01-11 00:00:00,997,999,0,145,,0,411
2021-01-11 01:00:00,1048,1002,0,171,,0,510
2021-01-11 02:00:00,1051,1003,0,143,,0,426
2021-01-11 03:00:00,1048,1000,0,145,,0,396
2021-01-11 04:00:00,1050,1006,0,144,,0,396
2021-01-11 05:00:00,1046,1011,75,144,,0,484
2021-01-11 06:00:00,1047,1018,196,227,,0,626
2021-01-11 07:00:00,1045,1018,256,297,,0,623
2021-01-11 08:00:00,1041,1027,280,292,,0,624
2021-01-11 09:00:00,1038,1029,297,298,,0,625
2021-01-11 10:00:00,1025,1030,295,297,,0,623
2021-01-11 11:00:00,1043,1020,294,292,,0,623
2021-01-11 12:00:00,1043,1022,293,292,,133,620
2021-01-11 13:00:00,1040,1019,293,293,,290,625
2021-01-11 14:00:00,1039,1025,294,293,,289,624
2021-01-11 15:00:00,1031,1024,293,296,,291,623
2021-01-11 16:00:00,1034,1029,294,295,,428,624
2021-01-11 17:00:00,1037,1032,294,297,,463,624
2021-01-11 18:00:00,1033,1028,294,297,,463,625
2021-01-11 19:00:00,1038,1032,275,270,,456,625
2021-01-11 20:00:00,1037,1032,195,173,,294,561
2021-01-11 21:00:00,1038,1038,146,137,,29,296
2021-01-11 22:00:00,1020,942,145,136,,0,267
2021-01-11 23:00:00,847,585,145,137,,0,271
2021-01-12 00:00:00,670,476,146,137,,0,268
2021-01-12 01:00:00,515,476,145,137,,0,269
2021-01-12 02:00:00,482,475,145,136,,0,268
2021-01-12 03:00:00,485,477,145,137,,0,267
2021-01-12 04:00:00,686,659,143,135,,0,265
2021-01-12 05:00:00,733,691,162,154,,173,298
2021-01-12 06:00:00,739,695,280,276,,364,519
2021-01-12 07:00:00,983,696,293,299,,563,418
2021-01-12 08:00:00,1030,819,288,297,,619,423
2021-01-12 09:00:00,1032,995,293,296,,618,583
2021-01-12 10:00:00,1038,1022,293,294,,611,622
2021-01-12 11:00:00,1034,1025,293,293,,607,621
2021-01-12 12:00:00,1033,1023,293,293,,605,621
2021-01-12 13:00:00,1036,1025,292,294,,604,621
2021-01-12 14:00:00,1034,1024,292,294,,605,621
2021-01-12 15:00:00,1036,1024,298,296,,605,623
2021-01-12 16:00:00,1032,1025,297,293,,604,622
2021-01-12 17:00:00,1035,1027,298,294,,606,622
2021-01-12 18:00:00,1039,1032,298,295,,608,625
2021-01-12 19:00:00,1037,1031,298,294,,607,623
2021-01-12 20:00:00,1036,1031,294,294,,606,624
2021-01-12 21:00:00,1036,1029,294,294,,607,623
2021-01-12 22:00:00,1041,1032,255,251,,597,616
2021-01-12 23:00:00,1039,1030,146,135,,476,493
2021-01-13 00:00:00,1039,1031,147,136,,318,451
2021-01-13 01:00:00,1037,1026,145,136,,264,264
2021-01-13 02:00:00,1035,1028,145,135,,270,268
2021-01-13 03:00:00,1037,1025,144,134,,267,268
2021-01-13 04:00:00,1036,1028,144,135,,269,271
2021-01-13 05:00:00,1035,1028,153,148,,283,457
2021-01-13 06:00:00,1048,1026,264,264,,531,617
2021-01-13 07:00:00,1052,1028,297,296,,605,621
2021-01-13 08:00:00,1032,1028,299,297,,607,622
2021-01-13 09:00:00,1031,1028,298,296,,606,622
2021-01-13 10:00:00,1031,1026,297,296,,603,621
2021-01-13 11:00:00,1031,1029,293,260,,560,623
2021-01-13 12:00:00,1032,1025,295,230,,395,623
2021-01-13 13:00:00,1028,1030,293,229,,307,622
2021-01-13 14:00:00,1026,1031,248,160,,269,624
2021-01-13 15:00:00,1020,1026,247,141,,269,624
2021-01-13 16:00:00,1023,1027,248,149,,316,623
2021-01-13 17:00:00,1024,1025,275,214,,554,621
2021-01-13 18:00:00,1024,1031,156,157,,474,588
2021-01-13 19:00:00,1032,1032,148,144,,435,562
2021-01-13 20:00:00,1032,1035,147,142,,319,481
2021-01-13 21:00:00,1032,1031,146,141,,270,421
2021-01-13 22:00:00,1031,1034,147,141,,339,394
2021-01-13 23:00:00,1033,1039,146,141,,267,283
2021-01-14 00:00:00,919,899,146,141,,270,269
2021-01-14 01:00:00,913,882,145,141,,269,269
2021-01-14 02:00:00,914,852,146,141,,269,271
2021-01-14 03:00:00,969,928,145,141,,269,267
2021-01-14 04:00:00,1030,1023,145,141,,270,292
2021-01-14 05:00:00,1027,1031,146,143,,288,399
2021-01-14 06:00:00,1033,1025,223,227,,504,535
2021-01-14 07:00:00,1028,1028,293,292,,564,602
2021-01-14 08:00:00,1035,1027,293,298,,608,624
2021-01-14 09:00:00,1033,1029,296,300,,607,625
2021-01-14 10:00:00,1031,1027,296,300,,606,623
2021-01-14 11:00:00,1035,1027,294,300,,607,624
2021-01-14 12:00:00,1030,1028,294,299,,606,624
2021-01-14 13:00:00,1031,1030,294,294,,605,623
2021-01-14 14:00:00,1030,1027,294,295,,607,624
2021-01-14 15:00:00,1034,1028,294,294,,606,624
2021-01-14 16:00:00,1042,1030,294,295,,606,624
2021-01-14 17:00:00,1038,1030,295,299,,606,624
2021-01-14 18:00:00,1045,1031,297,300,,608,626
2021-01-14 19:00:00,1041,1030,296,301,,610,626
2021-01-14 20:00:00,1041,1031,295,300,,608,627
2021-01-14 21:00:00,1048,1034,266,298,,610,612
2021-01-14 22:00:00,1041,1030,156,297,,609,414
2021-01-14 23:00:00,1044,1028,154,297,,610,614
2021-01-15 00:00:00,1051,1030,155,301,,621,624
2021-01-15 01:00:00,1056,1028,154,300,,622,623
2021-01-15 02:00:00,1050,1031,154,282,,623,623
2021-01-15 03:00:00,1052,1029,155,269,,622,623
2021-01-15 04:00:00,1055,1029,154,298,,622,623
2021-01-15 05:00:00,1052,1027,155,301,,621,623
2021-01-15 06:00:00,1053,1031,247,301,,623,623
2021-01-15 07:00:00,1046,1027,290,300,,622,623
2021-01-15 08:00:00,1048,1029,294,300,,621,624
2021-01-15 09:00:00,1052,1028,283,300,,622,622
2021-01-15 10:00:00,1050,1026,283,301,,621,623
2021-01-15 11:00:00,1053,1028,282,300,,621,623
2021-01-15 12:00:00,1052,1030,281,302,,623,624
2021-01-15 13:00:00,1052,1026,291,302,,622,622
2021-01-15 14:00:00,1049,1030,293,301,,621,623
2021-01-15 15:00:00,1050,1029,293,300,,622,624
2021-01-15 16:00:00,1047,1026,294,301,,623,622
2021-01-15 17:00:00,1046,1029,293,301,,621,622
2021-01-15 18:00:00,1048,1032,294,302,,622,624
2021-01-15 19:00:00,1049,1028,294,301,,624,625
2021-01-15 20:00:00,1048,1032,294,300,,622,624
2021-01-15 21:00:00,1052,1032,265,298,,624,626
2021-01-15 22:00:00,1052,1032,155,300,,623,624
2021-01-15 23:00:00,1049,1032,155,299,,623,624
2021-01-16 00:00:00,1046,1026,155,298,,622,623
2021-01-16 01:00:00,1050,1029,154,301,,623,577
2021-01-16 02:00:00,1048,1031,154,300,,615,602
2021-01-16 03:00:00,1046,1028,154,299,,618,620
2021-01-16 04:00:00,1048,1028,154,299,,613,614
2021-01-16 05:00:00,1049,1030,155,300,,623,467
2021-01-16 06:00:00,1047,1027,247,300,,620,437
2021-01-16 07:00:00,1050,1029,294,299,,621,436
2021-01-16 08:00:00,1047,1034,294,298,,621,440
2021-01-16 09:00:00,1041,1029,295,299,,621,600
2021-01-16 10:00:00,1049,1028,296,299,,620,624
2021-01-16 11:00:00,1045,1026,295,298,,621,625
2021-01-16 12:00:00,1047,1028,294,297,,620,623
2021-01-16 13:00:00,1044,1027,297,301,,619,623
2021-01-16 14:00:00,1045,1029,297,301,,619,622
2021-01-16 15:00:00,1045,1028,297,300,,618,622
2021-01-16 16:00:00,1044,1029,298,299,,623,625
2021-01-16 17:00:00,1047,1027,297,299,,617,621
2021-01-16 18:00:00,1044,1030,298,299,,622,625
2021-01-16 19:00:00,1044,1030,297,300,,621,596
2021-01-16 20:00:00,1051,1031,297,300,,622,459
2021-01-16 21:00:00,1047,1033,213,302,,624,443
2021-01-16 22:00:00,1048,1032,0,300,,623,350
2021-01-16 23:00:00,1049,1035,0,300,,622,400
2021-01-17 00:00:00,1047,1027,0,300,,622,357
2021-01-17 01:00:00,1045,1027,0,299,,622,357
2021-01-17 02:00:00,1047,1008,0,298,,569,357
2021-01-17 03:00:00,1044,822,0,300,,424,356
2021-01-17 04:00:00,1048,785,0,300,,420,363
2021-01-17 05:00:00,1048,786,0,300,,421,402
2021-01-17 06:00:00,1046,634,0,299,,423,426
2021-01-17 07:00:00,1044,703,0,299,,420,572
2021-01-17 08:00:00,1043,712,0,301,,421,623
2021-01-17 09:00:00,1045,710,0,300,,419,622
2021-01-17 10:00:00,1045,709,0,299,,426,627
2021-01-17 11:00:00,1026,709,0,299,,592,620
2021-01-17 12:00:00,1047,702,0,300,,619,623
2021-01-17 13:00:00,1042,704,0,299,,619,622
2021-01-17 14:00:00,1043,668,0,300,,619,625
2021-01-17 15:00:00,1044,516,0,299,,618,623
2021-01-17 16:00:00,1041,663,0,299,,618,622
2021-01-17 17:00:00,1043,763,0,300,,619,623
2021-01-17 18:00:00,1047,768,0,300,,620,624
2021-01-17 19:00:00,1045,767,0,300,,619,624
2021-01-17 20:00:00,1045,763,87,300,,621,625
2021-01-17 21:00:00,1048,693,255,300,,620,623
2021-01-17 22:00:00,1049,711,296,300,,623,626
2021-01-17 23:00:00,1046,714,298,301,,620,624
2021-01-18 00:00:00,1048,734,295,299,,621,623
2021-01-18 01:00:00,1051,743,295,299,,622,623
2021-01-18 02:00:00,1056,805,291,300,,621,623
2021-01-18 03:00:00,1051,929,292,299,,621,622
2021-01-18 04:00:00,1057,928,294,299,,621,623
2021-01-18 05:00:00,1052,929,294,301,,622,623
2021-01-18 06:00:00,1053,978,295,299,,622,623
2021-01-18 07:00:00,1051,980,294,300,,622,623
2021-01-18 08:00:00,1050,1026,294,299,,622,623
2021-01-18 09:00:00,1053,1024,295,300,,618,624
2021-01-18 10:00:00,1051,1029,294,299,,618,621
2021-01-18 11:00:00,1048,1028,296,299,,618,621
2021-01-18 12:00:00,1050,1026,296,299,,619,622
2021-01-18 13:00:00,1051,1027,295,299,,620,623
2021-01-18 14:00:00,1054,1026,294,299,,617,620
2021-01-18 15:00:00,1054,1030,294,297,,619,624
2021-01-18 16:00:00,1055,1030,295,300,,618,621
2021-01-18 17:00:00,1053,1027,295,300,,619,623
2021-01-18 18:00:00,1057,1032,295,299,,619,623
2021-01-18 19:00:00,1058,1030,295,302,,619,623
2021-01-18 20:00:00,1052,1029,295,300,,620,623
2021-01-18 21:00:00,1056,1030,295,301,,621,625
2021-01-18 22:00:00,1060,1036,261,251,,573,624
2021-01-18 23:00:00,1060,1034,148,145,,301,537
2021-01-19 00:00:00,1054,961,146,143,,272,284
2021-01-19 01:00:00,952,641,147,143,,270,270
2021-01-19 02:00:00,942,596,144,138,,268,270
2021-01-19 03:00:00,881,571,145,139,,269,269
2021-01-19 04:00:00,625,488,145,139,,270,270
2021-01-19 05:00:00,659,585,145,138,,267,381
2021-01-19 06:00:00,1016,712,200,201,,375,604
2021-01-19 07:00:00,1045,719,285,269,,584,621
2021-01-19 08:00:00,1051,727,295,296,,617,623
2021-01-19 09:00:00,1049,898,294,296,,618,621
2021-01-19 10:00:00,1048,1020,295,295,,620,621
2021-01-19 11:00:00,1047,1027,295,297,,617,623
2021-01-19 12:00:00,1044,1023,295,296,,618,622
2021-01-19 13:00:00,1042,1024,295,296,,618,622
2021-01-19 14:00:00,1039,1023,295,296,,616,620
2021-01-19 15:00:00,1045,1026,295,297,,619,623
2021-01-19 16:00:00,1043,1021,294,298,,616,622
2021-01-19 17:00:00,1040,1023,296,297,,618,622
2021-01-19 18:00:00,1040,1027,296,296,,618,623
2021-01-19 19:00:00,1045,1031,295,296,,619,624
2021-01-19 20:00:00,1048,1032,297,237,,487,577
2021-01-19 21:00:00,1056,1038,296,0,,142,100
2021-01-19 22:00:00,1050,980,255,0,,0,0
2021-01-19 23:00:00,948,735,145,0,,0,0
2021-01-20 00:00:00,705,488,143,0,,0,0
2021-01-20 01:00:00,679,485,143,0,,0,0
2021-01-20 02:00:00,747,472,142,0,,0,0
2021-01-20 03:00:00,896,477,142,0,,0,0
2021-01-20 04:00:00,895,475,142,0,,0,0
2021-01-20 05:00:00,895,478,142,0,,0,0
2021-01-20 06:00:00,989,582,143,0,,0,0
2021-01-20 07:00:00,1035,980,227,0,,0,0
2021-01-20 08:00:00,1045,1028,289,0,,0,0
2021-01-20 09:00:00,1043,1027,288,0,,0,0
2021-01-20 10:00:00,1050,1026,288,0,,0,0
2021-01-20 11:00:00,1048,1021,288,0,,0,0
2021-01-20 12:00:00,1043,1024,286,0,,0,0
2021-01-20 13:00:00,1044,1018,289,0,,0,0
2021-01-20 14:00:00,1040,1022,288,0,,0,0
2021-01-20 15:00:00,1043,1021,286,0,,0,0
2021-01-20 16:00:00,1042,1019,288,0,,0,0
2021-01-20 17:00:00,1041,1022,292,0,,0,0
2021-01-20 18:00:00,1040,1021,292,0,,0,0
2021-01-20 19:00:00,1045,1023,290,0,,0,0
2021-01-20 20:00:00,1013,997,210,0,,0,0
2021-01-20 21:00:00,947,893,184,0,,0,0
2021-01-20 22:00:00,945,671,185,0,,0,0
2021-01-20 23:00:00,628,479,185,0,,0,0
2021-01-21 00:00:00,487,481,183,0,,0,0
2021-01-21 01:00:00,481,472,182,0,,0,0
2021-01-21 02:00:00,489,476,181,0,,0,0
2021-01-21 03:00:00,480,476,182,0,,0,0
2021-01-21 04:00:00,487,475,182,0,,0,0
2021-01-21 05:00:00,484,473,182,0,,0,0
2021-01-21 06:00:00,479,478,182,0,,0,0
2021-01-21 07:00:00,657,654,159,0,,0,0
2021-01-21 08:00:00,1004,968,144,0,,0,0
2021-01-21 09:00:00,1034,1023,242,0,,0,0
2021-01-21 10:00:00,1035,1021,286,0,,0,0
2021-01-21 11:00:00,1038,1022,281,0,,0,0
2021-01-21 12:00:00,1034,1020,283,0,,0,0
2021-01-21 13:00:00,1039,1019,288,0,,0,0
2021-01-21 14:00:00,1043,1024,289,0,,0,0
2021-01-21 15:00:00,1043,1019,287,0,,0,0
2021-01-21 16:00:00,1045,1020,287,0,,0,0
2021-01-21 17:00:00,1043,1022,287,0,,0,0
2021-01-21 18:00:00,1049,1025,292,0,,0,0
2021-01-21 19:00:00,1051,1027,292,0,,0,0
2021-01-21 20:00:00,1047,1025,291,0,,0,0
2021-01-21 21:00:00,1049,1029,235,0,,0,0
