date,start,end,11WD2IRG4000061X
23012016,20:00,21:00,0
23012016,21:00,22:00,0
23012016,22:00,23:00,0
23012016,23:00,00:00,0
24012016,00:00,01:00,0
24012016,01:00,02:00,0
24012016,02:00,03:00,0
24012016,03:00,04:00,0
24012016,04:00,05:00,0
24012016,05:00,06:00,0
24012016,06:00,07:00,0
24012016,07:00,08:00,0
24012016,08:00,09:00,0
24012016,09:00,10:00,0
24012016,10:00,11:00,0
24012016,11:00,12:00,0
24012016,12:00,13:00,0
24012016,13:00,14:00,0
24012016,14:00,15:00,0
24012016,15:00,16:00,0
24012016,16:00,17:00,0
24012016,17:00,18:00,0
24012016,18:00,19:00,0
24012016,19:00,20:00,0
24012016,20:00,21:00,0
24012016,21:00,22:00,0
24012016,22:00,23:00,0
24012016,23:00,00:00,0
25012016,00:00,01:00,0
25012016,01:00,02:00,0
25012016,02:00,03:00,0
25012016,03:00,04:00,0
25012016,04:00,05:00,0
25012016,05:00,06:00,0
25012016,06:00,07:00,0
25012016,07:00,08:00,0
25012016,08:00,09:00,0
25012016,09:00,10:00,0
25012016,10:00,11:00,0
25012016,11:00,12:00,0
25012016,12:00,13:00,0
25012016,13:00,14:00,0
25012016,14:00,15:00,0
25012016,15:00,16:00,0
25012016,16:00,17:00,0
25012016,17:00,18:00,0
25012016,18:00,19:00,0
25012016,19:00,20:00,0
25012016,20:00,21:00,0
25012016,21:00,22:00,0
25012016,22:00,23:00,0
25012016,23:00,00:00,0
26012016,00:00,01:00,0
26012016,01:00,02:00,0
26012016,02:00,03:00,0
26012016,03:00,04:00,0
26012016,04:00,05:00,0
26012016,05:00,06:00,0
26012016,06:00,07:00,0
26012016,07:00,08:00,0
26012016,08:00,09:00,0
26012016,09:00,10:00,0
26012016,10:00,11:00,0
26012016,11:00,12:00,0
26012016,12:00,13:00,0
26012016,13:00,14:00,0
26012016,14:00,15:00,0
26012016,15:00,16:00,0
26012016,16:00,17:00,0
26012016,17:00,18:00,0
26012016,18:00,19:00,0
26012016,19:00,20:00,0
26012016,20:00,21:00,0
26012016,21:00,22:00,0
26012016,22:00,23:00,0
26012016,23:00,00:00,0
27012016,00:00,01:00,0
27012016,01:00,02:00,0
27012016,02:00,03:00,0
27012016,03:00,04:00,0
27012016,04:00,05:00,0
27012016,05:00,06:00,0
27012016,06:00,07:00,0
27012016,07:00,08:00,0
27012016,08:00,09:00,0
27012016,09:00,10:00,0
27012016,10:00,11:00,0
27012016,11:00,12:00,0
27012016,12:00,13:00,0
27012016,13:00,14:00,0
27012016,14:00,15:00,0
27012016,15:00,16:00,0
27012016,16:00,17:00,0
27012016,17:00,18:00,0
27012016,18:00,19:00,0
27012016,19:00,20:00,0
27012016,20:00,21:00,0
27012016,21:00,22:00,0
27012016,22:00,23:00,0
27012016,23:00,00:00,0
28012016,00:00,01:00,0
28012016,01:00,02:00,0
28012016,02:00,03:00,0
28012016,03:00,04:00,0
28012016,04:00,05:00,0
28012016,05:00,06:00,0
28012016,06:00,07:00,0
28012016,07:00,08:00,0
28012016,08:00,09:00,0
28012016,09:00,10:00,0
28012016,10:00,11:00,0
28012016,11:00,12:00,0
28012016,12:00,13:00,0
28012016,13:00,14:00,0
28012016,14:00,15:00,0
28012016,15:00,16:00,0
28012016,16:00,17:00,0
