date,start,end,11WD8BOXB1L---R0,11WD8BOXB1L---Q2
14012021,18:00,19:00,571.0,829.0
14012021,19:00,20:00,578.0,828.0
14012021,20:00,21:00,548.0,831.0
14012021,21:00,22:00,549.0,831.0
14012021,22:00,23:00,548.0,832.0
14012021,23:00,00:00,541.0,832.0
15012021,00:00,01:00,542.0,834.0
15012021,01:00,02:00,540.0,831.0
15012021,02:00,03:00,540.0,827.0
15012021,03:00,04:00,533.0,826.0
15012021,04:00,05:00,541.0,826.0
15012021,05:00,06:00,537.0,807.0
15012021,06:00,07:00,551.0,810.0
15012021,07:00,08:00,560.0,825.0
15012021,08:00,09:00,556.0,827.0
15012021,09:00,10:00,557.0,834.0
15012021,10:00,11:00,563.0,837.0
15012021,11:00,12:00,558.0,836.0
15012021,12:00,13:00,565.0,837.0
15012021,13:00,14:00,576.0,838.0
15012021,14:00,15:00,569.0,838.0
15012021,15:00,16:00,569.0,836.0
15012021,16:00,17:00,549.0,834.0
15012021,17:00,18:00,550.0,834.0
15012021,18:00,19:00,547.0,831.0
15012021,19:00,20:00,562.0,830.0
15012021,20:00,21:00,557.0,830.0
15012021,21:00,22:00,569.0,828.0
15012021,22:00,23:00,576.0,833.0
15012021,23:00,00:00,571.0,834.0
16012021,00:00,01:00,569.0,834.0
16012021,01:00,02:00,562.0,826.0
16012021,02:00,03:00,569.0,835.0
16012021,03:00,04:00,571.0,833.0
16012021,04:00,05:00,591.0,835.0
16012021,05:00,06:00,596.0,836.0
16012021,06:00,07:00,582.0,840.0
16012021,07:00,08:00,579.0,838.0
16012021,08:00,09:00,586.0,837.0
16012021,09:00,10:00,581.0,837.0
16012021,10:00,11:00,577.0,838.0
16012021,11:00,12:00,580.0,838.0
16012021,12:00,13:00,589.0,837.0
16012021,13:00,14:00,589.0,838.0
16012021,14:00,15:00,582.0,840.0
16012021,15:00,16:00,583.0,836.0
16012021,16:00,17:00,583.0,838.0
16012021,17:00,18:00,588.0,839.0
16012021,18:00,19:00,594.0,838.0
16012021,19:00,20:00,583.0,839.0
16012021,20:00,21:00,587.0,822.0
16012021,21:00,22:00,591.0,836.0
16012021,22:00,23:00,582.0,838.0
16012021,23:00,00:00,584.0,837.0
17012021,00:00,01:00,584.0,835.0
17012021,01:00,02:00,582.0,834.0
17012021,02:00,03:00,566.0,829.0
17012021,03:00,04:00,564.0,824.0
17012021,04:00,05:00,580.0,831.0
17012021,05:00,06:00,600.0,834.0
17012021,06:00,07:00,604.0,837.0
17012021,07:00,08:00,599.0,825.0
17012021,08:00,09:00,605.0,834.0
17012021,09:00,10:00,605.0,835.0
17012021,10:00,11:00,607.0,833.0
17012021,11:00,12:00,606.0,834.0
17012021,12:00,13:00,604.0,836.0
17012021,13:00,14:00,603.0,837.0
17012021,14:00,15:00,605.0,837.0
17012021,15:00,16:00,604.0,837.0
17012021,16:00,17:00,607.0,836.0
17012021,17:00,18:00,612.0,836.0
17012021,18:00,19:00,605.0,834.0
17012021,19:00,20:00,596.0,827.0
17012021,20:00,21:00,605.0,818.0
17012021,21:00,22:00,608.0,836.0
17012021,22:00,23:00,607.0,818.0
17012021,23:00,00:00,601.0,834.0
18012021,00:00,01:00,597.0,827.0
18012021,01:00,02:00,595.0,830.0
18012021,02:00,03:00,598.0,829.0
18012021,03:00,04:00,598.0,829.0
18012021,04:00,05:00,599.0,829.0
18012021,05:00,06:00,592.0,825.0
18012021,06:00,07:00,587.0,817.0
18012021,07:00,08:00,588.0,830.0
18012021,08:00,09:00,595.0,838.0
18012021,09:00,10:00,588.0,839.0
18012021,10:00,11:00,584.0,836.0
18012021,11:00,12:00,581.0,836.0
18012021,12:00,13:00,573.0,834.0
18012021,13:00,14:00,578.0,837.0
18012021,14:00,15:00,567.0,839.0
18012021,15:00,16:00,567.0,836.0
18012021,16:00,17:00,568.0,833.0
18012021,17:00,18:00,578.0,836.0
18012021,18:00,19:00,577.0,835.0
18012021,19:00,20:00,574.0,829.0
18012021,20:00,21:00,566.0,820.0
18012021,21:00,22:00,575.0,830.0
18012021,22:00,23:00,582.0,830.0
18012021,23:00,00:00,572.0,837.0
19012021,00:00,01:00,583.0,772.0
19012021,01:00,02:00,593.0,791.0
19012021,02:00,03:00,565.0,770.0
19012021,03:00,04:00,579.0,772.0
19012021,04:00,05:00,570.0,808.0
19012021,05:00,06:00,575.0,745.0
19012021,06:00,07:00,576.0,783.0
19012021,07:00,08:00,574.0,836.0
19012021,08:00,09:00,566.0,838.0
19012021,09:00,10:00,573.0,841.0
19012021,10:00,11:00,569.0,813.0
19012021,11:00,12:00,568.0,843.0
19012021,12:00,13:00,568.0,839.0
19012021,13:00,14:00,576.0,837.0
19012021,14:00,15:00,578.0,841.0
19012021,15:00,16:00,585.0,837.0
19012021,16:00,17:00,569.0,836.0
19012021,17:00,18:00,571.0,839.0
19012021,18:00,19:00,573.0,836.0
19012021,19:00,20:00,573.0,837.0
19012021,20:00,21:00,566.0,831.0
19012021,21:00,22:00,564.0,756.0
19012021,22:00,23:00,497.0,546.0
19012021,23:00,00:00,281.0,417.0
20012021,00:00,01:00,193.0,406.0
20012021,01:00,02:00,183.0,400.0
20012021,02:00,03:00,202.0,416.0
20012021,03:00,04:00,296.0,540.0
20012021,04:00,05:00,358.0,613.0
20012021,05:00,06:00,541.0,821.0
20012021,06:00,07:00,576.0,820.0
20012021,07:00,08:00,576.0,820.0
20012021,08:00,09:00,574.0,822.0
20012021,09:00,10:00,576.0,821.0
20012021,10:00,11:00,571.0,819.0
20012021,11:00,12:00,521.0,819.0
20012021,12:00,13:00,520.0,818.0
20012021,13:00,14:00,529.0,792.0
20012021,14:00,15:00,563.0,818.0
20012021,15:00,16:00,555.0,684.0
20012021,16:00,17:00,498.0,669.0
20012021,17:00,18:00,481.0,682.0
20012021,18:00,19:00,554.0,817.0
20012021,19:00,20:00,516.0,686.0
20012021,20:00,21:00,510.0,673.0
20012021,21:00,22:00,442.0,559.0
20012021,22:00,23:00,327.0,514.0
20012021,23:00,00:00,299.0,508.0
21012021,00:00,01:00,304.0,508.0
21012021,01:00,02:00,251.0,508.0
21012021,02:00,03:00,251.0,509.0
21012021,03:00,04:00,248.0,508.0
21012021,04:00,05:00,248.0,508.0
21012021,05:00,06:00,261.0,507.0
21012021,06:00,07:00,287.0,508.0
21012021,07:00,08:00,402.0,599.0
21012021,08:00,09:00,518.0,613.0
