date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
15042019,14:00,15:00,100,100,85
15042019,15:00,16:00,103,103,82
15042019,16:00,17:00,93,93,81
15042019,17:00,18:00,96,95,83
15042019,18:00,19:00,103,106,75
15042019,19:00,20:00,104,107,86
15042019,20:00,21:00,105,108,104
15042019,21:00,22:00,106,109,110
15042019,22:00,23:00,107,109,104
15042019,23:00,00:00,109,110,98
16042019,00:00,01:00,109,110,99
16042019,01:00,02:00,109,110,102
16042019,02:00,03:00,109,110,104
16042019,03:00,04:00,110,111,105
16042019,04:00,05:00,111,112,106
16042019,05:00,06:00,111,112,110
16042019,06:00,07:00,111,112,114
16042019,07:00,08:00,111,112,114
16042019,08:00,09:00,111,112,95
16042019,09:00,10:00,111,112,88
16042019,10:00,11:00,110,109,78
16042019,11:00,12:00,108,108,74
16042019,12:00,13:00,98,98,70
16042019,13:00,14:00,96,96,68
16042019,14:00,15:00,100,100,70
16042019,15:00,16:00,105,104,72
16042019,16:00,17:00,105,104,73
16042019,17:00,18:00,105,104,73
16042019,18:00,19:00,105,104,72
16042019,19:00,20:00,105,104,84
16042019,20:00,21:00,106,104,90
16042019,21:00,22:00,107,104,88
16042019,22:00,23:00,105,103,80
16042019,23:00,00:00,90,90,73
17042019,00:00,01:00,86,86,66
17042019,01:00,02:00,86,86,70
17042019,02:00,03:00,93,92,81
17042019,03:00,04:00,101,100,87
17042019,04:00,05:00,109,108,92
17042019,05:00,06:00,111,109,106
17042019,06:00,07:00,111,109,108
17042019,07:00,08:00,111,109,110
17042019,08:00,09:00,110,109,96
17042019,09:00,10:00,109,109,98
17042019,10:00,11:00,108,108,85
17042019,11:00,12:00,100,99,73
17042019,12:00,13:00,88,88,68
17042019,13:00,14:00,88,88,68
17042019,14:00,15:00,92,92,68
17042019,15:00,16:00,104,103,72
17042019,16:00,17:00,104,104,74
17042019,17:00,18:00,105,104,75
17042019,18:00,19:00,105,104,74
17042019,19:00,20:00,105,104,72
17042019,20:00,21:00,106,105,77
17042019,21:00,22:00,106,105,83
17042019,22:00,23:00,98,98,85
17042019,23:00,00:00,97,97,83
18042019,00:00,01:00,89,88,75
18042019,01:00,02:00,88,88,75
18042019,02:00,03:00,85,85,75
18042019,03:00,04:00,95,95,83
18042019,04:00,05:00,109,109,100
18042019,05:00,06:00,109,109,104
18042019,06:00,07:00,109,109,105
18042019,07:00,08:00,109,109,107
18042019,08:00,09:00,110,109,102
18042019,09:00,10:00,110,109,85
18042019,10:00,11:00,91,91,79
18042019,11:00,12:00,84,84,77
18042019,12:00,13:00,67,66,71
18042019,13:00,14:00,88,87,74
18042019,14:00,15:00,103,105,79
18042019,15:00,16:00,96,96,77
18042019,16:00,17:00,88,88,73
18042019,17:00,18:00,86,85,71
18042019,18:00,19:00,75,74,67
18042019,19:00,20:00,76,76,68
18042019,20:00,21:00,83,82,70
18042019,21:00,22:00,72,56,67
18042019,22:00,23:00,84,10,40
18042019,23:00,00:00,66,0,31
19042019,00:00,01:00,61,0,30
19042019,01:00,02:00,61,0,30
19042019,02:00,03:00,61,0,30
19042019,03:00,04:00,65,0,31
19042019,04:00,05:00,62,0,31
19042019,05:00,06:00,69,0,32
19042019,06:00,07:00,69,0,33
19042019,07:00,08:00,65,0,32
19042019,08:00,09:00,14,0,2
