date,start,end,11WD8REUT5X---CX
19012016,16:00,17:00,74
19012016,17:00,18:00,74
19012016,18:00,19:00,74
19012016,19:00,20:00,74
19012016,20:00,21:00,74
19012016,21:00,22:00,74
19012016,22:00,23:00,73
19012016,23:00,00:00,74
20012016,00:00,01:00,74
20012016,01:00,02:00,74
20012016,02:00,03:00,74
20012016,03:00,04:00,74
20012016,04:00,05:00,74
20012016,05:00,06:00,73
20012016,06:00,07:00,74
20012016,07:00,08:00,74
20012016,08:00,09:00,74
20012016,09:00,10:00,74
20012016,10:00,11:00,74
20012016,11:00,12:00,74
20012016,12:00,13:00,74
20012016,13:00,14:00,74
20012016,14:00,15:00,74
20012016,15:00,16:00,74
20012016,16:00,17:00,73
20012016,17:00,18:00,73
20012016,18:00,19:00,74
20012016,19:00,20:00,73
20012016,20:00,21:00,74
20012016,21:00,22:00,74
20012016,22:00,23:00,74
20012016,23:00,00:00,74
21012016,00:00,01:00,74
21012016,01:00,02:00,74
21012016,02:00,03:00,74
21012016,03:00,04:00,74
21012016,04:00,05:00,74
21012016,05:00,06:00,74
21012016,06:00,07:00,75
21012016,07:00,08:00,73
21012016,08:00,09:00,71
21012016,09:00,10:00,64
21012016,10:00,11:00,0
21012016,11:00,12:00,0
21012016,12:00,13:00,0
21012016,13:00,14:00,0
21012016,14:00,15:00,0
21012016,15:00,16:00,0
21012016,16:00,17:00,0
21012016,17:00,18:00,0
21012016,18:00,19:00,0
21012016,19:00,20:00,0
21012016,20:00,21:00,0
21012016,21:00,22:00,0
21012016,22:00,23:00,0
21012016,23:00,00:00,0
22012016,00:00,01:00,0
22012016,01:00,02:00,0
22012016,02:00,03:00,0
22012016,03:00,04:00,0
22012016,04:00,05:00,0
22012016,05:00,06:00,0
22012016,06:00,07:00,0
22012016,07:00,08:00,0
22012016,08:00,09:00,0
22012016,09:00,10:00,0
22012016,10:00,11:00,0
22012016,11:00,12:00,0
22012016,12:00,13:00,0
22012016,13:00,14:00,0
22012016,14:00,15:00,0
22012016,15:00,16:00,0
22012016,16:00,17:00,0
22012016,17:00,18:00,0
22012016,18:00,19:00,0
22012016,19:00,20:00,0
22012016,20:00,21:00,0
22012016,21:00,22:00,0
22012016,22:00,23:00,0
22012016,23:00,00:00,0
23012016,00:00,01:00,0
23012016,01:00,02:00,0
23012016,02:00,03:00,0
23012016,03:00,04:00,0
23012016,04:00,05:00,0
23012016,05:00,06:00,0
23012016,06:00,07:00,0
23012016,07:00,08:00,0
23012016,08:00,09:00,0
23012016,09:00,10:00,0
23012016,10:00,11:00,0
23012016,11:00,12:00,0
23012016,12:00,13:00,0
23012016,13:00,14:00,0
23012016,14:00,15:00,0
23012016,15:00,16:00,0
23012016,16:00,17:00,0
23012016,17:00,18:00,0
23012016,18:00,19:00,0
23012016,19:00,20:00,0
23012016,20:00,21:00,0
23012016,21:00,22:00,0
23012016,22:00,23:00,0
23012016,23:00,00:00,0
24012016,00:00,01:00,0
24012016,01:00,02:00,0
24012016,02:00,03:00,0
24012016,03:00,04:00,0
24012016,04:00,05:00,0
24012016,05:00,06:00,0
24012016,06:00,07:00,0
24012016,07:00,08:00,0
24012016,08:00,09:00,0
24012016,09:00,10:00,0
24012016,10:00,11:00,0
24012016,11:00,12:00,0
24012016,12:00,13:00,0
24012016,13:00,14:00,0
24012016,14:00,15:00,0
24012016,15:00,16:00,0
24012016,16:00,17:00,0
24012016,17:00,18:00,0
24012016,18:00,19:00,0
24012016,19:00,20:00,0
24012016,20:00,21:00,0
24012016,21:00,22:00,0
24012016,22:00,23:00,0
24012016,23:00,00:00,0
25012016,00:00,01:00,0
25012016,01:00,02:00,0
25012016,02:00,03:00,0
25012016,03:00,04:00,0
25012016,04:00,05:00,0
25012016,05:00,06:00,0
25012016,06:00,07:00,0
25012016,07:00,08:00,0
25012016,08:00,09:00,0
25012016,09:00,10:00,0
25012016,10:00,11:00,0
25012016,11:00,12:00,0
25012016,12:00,13:00,0
25012016,13:00,14:00,0
25012016,14:00,15:00,0
25012016,15:00,16:00,0
25012016,16:00,17:00,0
25012016,17:00,18:00,0
25012016,18:00,19:00,0
25012016,19:00,20:00,0
25012016,20:00,21:00,0
25012016,21:00,22:00,0
25012016,22:00,23:00,0
25012016,23:00,00:00,0
26012016,00:00,01:00,0
26012016,01:00,02:00,0
26012016,02:00,03:00,0
26012016,03:00,04:00,0
26012016,04:00,05:00,0
26012016,05:00,06:00,0
26012016,06:00,07:00,0
26012016,07:00,08:00,0
26012016,08:00,09:00,0
26012016,09:00,10:00,0
26012016,10:00,11:00,0
26012016,11:00,12:00,0
26012016,12:00,13:00,0
26012016,13:00,14:00,0
26012016,14:00,15:00,0
26012016,15:00,16:00,0
26012016,16:00,17:00,0
26012016,17:00,18:00,0
26012016,18:00,19:00,0
26012016,19:00,20:00,0
26012016,20:00,21:00,0
26012016,21:00,22:00,0
26012016,22:00,23:00,0
26012016,23:00,00:00,0
27012016,00:00,01:00,0
27012016,01:00,02:00,0
27012016,02:00,03:00,0
27012016,03:00,04:00,0
27012016,04:00,05:00,0
27012016,05:00,06:00,0
27012016,06:00,07:00,0
27012016,07:00,08:00,0
27012016,08:00,09:00,0
27012016,09:00,10:00,0
27012016,10:00,11:00,0
27012016,11:00,12:00,0
27012016,12:00,13:00,0
27012016,13:00,14:00,0
27012016,14:00,15:00,0
27012016,15:00,16:00,0
27012016,16:00,17:00,0
27012016,17:00,18:00,0
27012016,18:00,19:00,0
27012016,19:00,20:00,0
27012016,20:00,21:00,0
27012016,21:00,22:00,0
27012016,22:00,23:00,0
27012016,23:00,00:00,0
28012016,00:00,01:00,0
28012016,01:00,02:00,0
28012016,02:00,03:00,0
28012016,03:00,04:00,0
28012016,04:00,05:00,0
28012016,05:00,06:00,0
28012016,06:00,07:00,0
28012016,07:00,08:00,0
28012016,08:00,09:00,0
28012016,09:00,10:00,0
28012016,10:00,11:00,0
28012016,11:00,12:00,0
28012016,12:00,13:00,0
28012016,13:00,14:00,0
28012016,14:00,15:00,0
28012016,15:00,16:00,0
28012016,16:00,17:00,0
28012016,17:00,18:00,0
28012016,18:00,19:00,0
28012016,19:00,20:00,0
28012016,20:00,21:00,0
28012016,21:00,22:00,0
28012016,22:00,23:00,0
28012016,23:00,00:00,0
29012016,00:00,01:00,0
29012016,01:00,02:00,0
29012016,02:00,03:00,0
29012016,03:00,04:00,0
29012016,04:00,05:00,0
29012016,05:00,06:00,0
29012016,06:00,07:00,0
29012016,07:00,08:00,0
29012016,08:00,09:00,0
29012016,09:00,10:00,0
29012016,10:00,11:00,0
29012016,11:00,12:00,0
29012016,12:00,13:00,0
29012016,13:00,14:00,0
29012016,14:00,15:00,0
29012016,15:00,16:00,0
29012016,16:00,17:00,0
29012016,17:00,18:00,0
29012016,18:00,19:00,0
29012016,19:00,20:00,0
29012016,20:00,21:00,0
29012016,21:00,22:00,0
29012016,22:00,23:00,0
29012016,23:00,00:00,0
30012016,00:00,01:00,0
30012016,01:00,02:00,0
30012016,02:00,03:00,0
30012016,03:00,04:00,0
30012016,04:00,05:00,0
30012016,05:00,06:00,0
30012016,06:00,07:00,0
30012016,07:00,08:00,0
30012016,08:00,09:00,0
30012016,09:00,10:00,0
30012016,10:00,11:00,0
30012016,11:00,12:00,0
30012016,12:00,13:00,0
30012016,13:00,14:00,0
30012016,14:00,15:00,0
30012016,15:00,16:00,0
30012016,16:00,17:00,0
30012016,17:00,18:00,0
30012016,18:00,19:00,0
30012016,19:00,20:00,0
30012016,20:00,21:00,0
30012016,21:00,22:00,0
30012016,22:00,23:00,0
30012016,23:00,00:00,0
31012016,00:00,01:00,0
31012016,01:00,02:00,0
31012016,02:00,03:00,0
31012016,03:00,04:00,0
31012016,04:00,05:00,0
31012016,05:00,06:00,0
31012016,06:00,07:00,0
31012016,07:00,08:00,0
31012016,08:00,09:00,0
31012016,09:00,10:00,0
31012016,10:00,11:00,0
31012016,11:00,12:00,0
31012016,12:00,13:00,0
31012016,13:00,14:00,0
31012016,14:00,15:00,0
31012016,15:00,16:00,0
31012016,16:00,17:00,0
31012016,17:00,18:00,0
31012016,18:00,19:00,0
31012016,19:00,20:00,0
31012016,20:00,21:00,0
31012016,21:00,22:00,0
31012016,22:00,23:00,0
31012016,23:00,00:00,0
1022016,00:00,01:00,0
1022016,01:00,02:00,0
1022016,02:00,03:00,0
1022016,03:00,04:00,0
1022016,04:00,05:00,0
1022016,05:00,06:00,0
1022016,06:00,07:00,0
1022016,07:00,08:00,0
1022016,08:00,09:00,0
1022016,09:00,10:00,0
1022016,10:00,11:00,0
1022016,11:00,12:00,0
1022016,12:00,13:00,0
1022016,13:00,14:00,0
1022016,14:00,15:00,0
1022016,15:00,16:00,0
1022016,16:00,17:00,0
1022016,17:00,18:00,0
1022016,18:00,19:00,0
1022016,19:00,20:00,0
1022016,20:00,21:00,0
1022016,21:00,22:00,0
1022016,22:00,23:00,0
1022016,23:00,00:00,0
2022016,00:00,01:00,0
2022016,01:00,02:00,0
2022016,02:00,03:00,0
2022016,03:00,04:00,0
2022016,04:00,05:00,0
2022016,05:00,06:00,0
2022016,06:00,07:00,0
2022016,07:00,08:00,0
2022016,08:00,09:00,0
2022016,09:00,10:00,0
2022016,10:00,11:00,0
2022016,11:00,12:00,0
2022016,12:00,13:00,0
2022016,13:00,14:00,0
2022016,14:00,15:00,0
2022016,15:00,16:00,0
2022016,16:00,17:00,0
2022016,17:00,18:00,0
2022016,18:00,19:00,0
2022016,19:00,20:00,0
2022016,20:00,21:00,0
2022016,21:00,22:00,0
2022016,22:00,23:00,0
2022016,23:00,00:00,0
3022016,00:00,01:00,0
3022016,01:00,02:00,0
3022016,02:00,03:00,0
3022016,03:00,04:00,0
3022016,04:00,05:00,0
3022016,05:00,06:00,0
3022016,06:00,07:00,0
3022016,07:00,08:00,0
3022016,08:00,09:00,0
3022016,09:00,10:00,0
3022016,10:00,11:00,0
3022016,11:00,12:00,0
3022016,12:00,13:00,0
3022016,13:00,14:00,0
3022016,14:00,15:00,0
3022016,15:00,16:00,0
3022016,16:00,17:00,0
3022016,17:00,18:00,0
3022016,18:00,19:00,0
3022016,19:00,20:00,0
3022016,20:00,21:00,0
3022016,21:00,22:00,0
3022016,22:00,23:00,0
3022016,23:00,00:00,0
4022016,00:00,01:00,0
4022016,01:00,02:00,0
4022016,02:00,03:00,0
4022016,03:00,04:00,0
4022016,04:00,05:00,0
4022016,05:00,06:00,0
4022016,06:00,07:00,0
4022016,07:00,08:00,0
4022016,08:00,09:00,0
4022016,09:00,10:00,0
4022016,10:00,11:00,0
4022016,11:00,12:00,0
4022016,12:00,13:00,0
4022016,13:00,14:00,0
4022016,14:00,15:00,0
4022016,15:00,16:00,0
4022016,16:00,17:00,0
4022016,17:00,18:00,0
4022016,18:00,19:00,0
4022016,19:00,20:00,0
4022016,20:00,21:00,0
4022016,21:00,22:00,0
4022016,22:00,23:00,0
4022016,23:00,00:00,0
5022016,00:00,01:00,0
5022016,01:00,02:00,0
5022016,02:00,03:00,0
5022016,03:00,04:00,0
5022016,04:00,05:00,0
5022016,05:00,06:00,0
5022016,06:00,07:00,0
5022016,07:00,08:00,0
5022016,08:00,09:00,0
5022016,09:00,10:00,0
5022016,10:00,11:00,0
5022016,11:00,12:00,0
5022016,12:00,13:00,0
5022016,13:00,14:00,0
5022016,14:00,15:00,0
5022016,15:00,16:00,0
5022016,16:00,17:00,0
5022016,17:00,18:00,0
5022016,18:00,19:00,0
5022016,19:00,20:00,0
5022016,20:00,21:00,0
5022016,21:00,22:00,0
5022016,22:00,23:00,0
5022016,23:00,00:00,0
6022016,00:00,01:00,0
6022016,01:00,02:00,0
6022016,02:00,03:00,0
6022016,03:00,04:00,0
6022016,04:00,05:00,0
6022016,05:00,06:00,0
6022016,06:00,07:00,0
6022016,07:00,08:00,0
6022016,08:00,09:00,0
6022016,09:00,10:00,0
6022016,10:00,11:00,0
6022016,11:00,12:00,0
6022016,12:00,13:00,0
6022016,13:00,14:00,0
6022016,14:00,15:00,0
6022016,15:00,16:00,0
6022016,16:00,17:00,0
6022016,17:00,18:00,0
6022016,18:00,19:00,0
6022016,19:00,20:00,0
6022016,20:00,21:00,0
6022016,21:00,22:00,0
6022016,22:00,23:00,0
6022016,23:00,00:00,0
7022016,00:00,01:00,0
7022016,01:00,02:00,0
7022016,02:00,03:00,0
7022016,03:00,04:00,0
7022016,04:00,05:00,0
7022016,05:00,06:00,0
7022016,06:00,07:00,0
7022016,07:00,08:00,0
7022016,08:00,09:00,0
7022016,09:00,10:00,0
7022016,10:00,11:00,0
7022016,11:00,12:00,0
7022016,12:00,13:00,0
7022016,13:00,14:00,0
7022016,14:00,15:00,0
7022016,15:00,16:00,0
7022016,16:00,17:00,0
7022016,17:00,18:00,0
7022016,18:00,19:00,0
7022016,19:00,20:00,0
7022016,20:00,21:00,0
7022016,21:00,22:00,0
7022016,22:00,23:00,0
7022016,23:00,00:00,0
8022016,00:00,01:00,0
8022016,01:00,02:00,0
8022016,02:00,03:00,0
8022016,03:00,04:00,0
8022016,04:00,05:00,0
8022016,05:00,06:00,0
8022016,06:00,07:00,0
8022016,07:00,08:00,0
8022016,08:00,09:00,0
8022016,09:00,10:00,0
8022016,10:00,11:00,0
8022016,11:00,12:00,0
8022016,12:00,13:00,0
8022016,13:00,14:00,0
8022016,14:00,15:00,0
8022016,15:00,16:00,0
8022016,16:00,17:00,0
8022016,17:00,18:00,0
8022016,18:00,19:00,0
8022016,19:00,20:00,0
8022016,20:00,21:00,0
8022016,21:00,22:00,0
8022016,22:00,23:00,0
8022016,23:00,00:00,0
9022016,00:00,01:00,0
9022016,01:00,02:00,0
9022016,02:00,03:00,0
9022016,03:00,04:00,0
9022016,04:00,05:00,0
9022016,05:00,06:00,0
9022016,06:00,07:00,0
9022016,07:00,08:00,0
9022016,08:00,09:00,0
9022016,09:00,10:00,0
9022016,10:00,11:00,0
9022016,11:00,12:00,0
9022016,12:00,13:00,0
9022016,13:00,14:00,0
9022016,14:00,15:00,0
9022016,15:00,16:00,0
9022016,16:00,17:00,0
9022016,17:00,18:00,0
9022016,18:00,19:00,0
9022016,19:00,20:00,0
9022016,20:00,21:00,0
9022016,21:00,22:00,0
9022016,22:00,23:00,0
9022016,23:00,00:00,0
10022016,00:00,01:00,0
10022016,01:00,02:00,0
10022016,02:00,03:00,0
10022016,03:00,04:00,0
10022016,04:00,05:00,0
10022016,05:00,06:00,0
10022016,06:00,07:00,0
10022016,07:00,08:00,0
10022016,08:00,09:00,0
10022016,09:00,10:00,0
10022016,10:00,11:00,0
10022016,11:00,12:00,0
10022016,12:00,13:00,0
10022016,13:00,14:00,20
10022016,14:00,15:00,24
10022016,15:00,16:00,25
10022016,16:00,17:00,0
10022016,17:00,18:00,0
10022016,18:00,19:00,0
10022016,19:00,20:00,0
10022016,20:00,21:00,0
10022016,21:00,22:00,0
10022016,22:00,23:00,0
10022016,23:00,00:00,0
11022016,00:00,01:00,0
11022016,01:00,02:00,0
11022016,02:00,03:00,0
11022016,03:00,04:00,0
11022016,04:00,05:00,0
11022016,05:00,06:00,0
11022016,06:00,07:00,0
11022016,07:00,08:00,0
11022016,08:00,09:00,0
11022016,09:00,10:00,0
11022016,10:00,11:00,0
