date,start,end,11WD8SWPU1L---AK,11WD8SWPU1L---BI
3082020,06:00,07:00,739,740
3082020,07:00,08:00,745,745
3082020,08:00,09:00,746,752
3082020,09:00,10:00,747,756
3082020,10:00,11:00,744,749
3082020,11:00,12:00,743,740
3082020,12:00,13:00,740,668
3082020,13:00,14:00,744,697
3082020,14:00,15:00,738,754
3082020,15:00,16:00,742,745
3082020,16:00,17:00,738,739
3082020,17:00,18:00,746,668
3082020,18:00,19:00,741,743
3082020,19:00,20:00,746,750
3082020,20:00,21:00,749,749
3082020,21:00,22:00,747,752
3082020,22:00,23:00,743,751
3082020,23:00,00:00,744,754
4082020,00:00,01:00,748,744
4082020,01:00,02:00,749,733
4082020,02:00,03:00,725,723
4082020,03:00,04:00,605,631
4082020,04:00,05:00,687,698
4082020,05:00,06:00,731,737
4082020,06:00,07:00,728,726
4082020,07:00,08:00,743,750
4082020,08:00,09:00,737,742
4082020,09:00,10:00,748,745
4082020,10:00,11:00,747,746
4082020,11:00,12:00,747,745
4082020,12:00,13:00,745,753
4082020,13:00,14:00,744,752
4082020,14:00,15:00,729,747
4082020,15:00,16:00,734,741
4082020,16:00,17:00,730,729
4082020,17:00,18:00,724,736
4082020,18:00,19:00,729,744
4082020,19:00,20:00,733,743
4082020,20:00,21:00,724,742
4082020,21:00,22:00,734,744
4082020,22:00,23:00,729,743
4082020,23:00,00:00,729,740
5082020,00:00,01:00,718,747
5082020,01:00,02:00,696,720
5082020,02:00,03:00,446,489
5082020,03:00,04:00,313,320
5082020,04:00,05:00,425,429
5082020,05:00,06:00,513,533
5082020,06:00,07:00,712,724
5082020,07:00,08:00,748,747
5082020,08:00,09:00,739,745
5082020,09:00,10:00,724,735
5082020,10:00,11:00,653,666
5082020,11:00,12:00,495,531
5082020,12:00,13:00,352,337
5082020,13:00,14:00,368,377
5082020,14:00,15:00,378,438
5082020,15:00,16:00,418,380
5082020,16:00,17:00,660,686
5082020,17:00,18:00,709,741
5082020,18:00,19:00,713,744
5082020,19:00,20:00,717,744
5082020,20:00,21:00,716,744
5082020,21:00,22:00,720,748
5082020,22:00,23:00,721,740
5082020,23:00,00:00,713,740
6082020,00:00,01:00,709,751
6082020,01:00,02:00,535,679
6082020,02:00,03:00,481,558
6082020,03:00,04:00,508,551
6082020,04:00,05:00,485,627
6082020,05:00,06:00,697,736
6082020,06:00,07:00,719,740
6082020,07:00,08:00,721,738
6082020,08:00,09:00,728,746
6082020,09:00,10:00,715,756
6082020,10:00,11:00,707,775
6082020,11:00,12:00,712,740
6082020,12:00,13:00,707,749
6082020,13:00,14:00,640,752
6082020,14:00,15:00,652,733
6082020,15:00,16:00,709,744
6082020,16:00,17:00,708,751
6082020,17:00,18:00,711,754
6082020,18:00,19:00,722,740
6082020,19:00,20:00,716,743
6082020,20:00,21:00,724,740
6082020,21:00,22:00,723,738
6082020,22:00,23:00,703,726
6082020,23:00,00:00,693,732
7082020,00:00,01:00,668,734
7082020,01:00,02:00,666,735
7082020,02:00,03:00,713,735
7082020,03:00,04:00,728,738
7082020,04:00,05:00,733,734
7082020,05:00,06:00,723,730
7082020,06:00,07:00,715,731
7082020,07:00,08:00,721,746
7082020,08:00,09:00,727,748
7082020,09:00,10:00,721,746
7082020,10:00,11:00,734,744
7082020,11:00,12:00,719,743
7082020,12:00,13:00,713,742
7082020,13:00,14:00,715,745
7082020,14:00,15:00,714,739
7082020,15:00,16:00,724,742
7082020,16:00,17:00,709,731
7082020,17:00,18:00,716,738
7082020,18:00,19:00,713,742
7082020,19:00,20:00,708,742
7082020,20:00,21:00,712,744
7082020,21:00,22:00,712,743
7082020,22:00,23:00,714,740
7082020,23:00,00:00,712,749
8082020,00:00,01:00,715,741
8082020,01:00,02:00,711,740
8082020,02:00,03:00,712,742
8082020,03:00,04:00,715,745
8082020,04:00,05:00,728,737
8082020,05:00,06:00,736,734
8082020,06:00,07:00,737,738
8082020,07:00,08:00,734,742
8082020,08:00,09:00,735,740
8082020,09:00,10:00,735,736
8082020,10:00,11:00,734,740
8082020,11:00,12:00,737,740
8082020,12:00,13:00,732,732
8082020,13:00,14:00,719,720
8082020,14:00,15:00,730,738
8082020,15:00,16:00,724,716
8082020,16:00,17:00,723,716
8082020,17:00,18:00,712,700
8082020,18:00,19:00,713,699
8082020,19:00,20:00,723,708
8082020,20:00,21:00,734,732
8082020,21:00,22:00,735,741
8082020,22:00,23:00,727,747
8082020,23:00,00:00,735,744
9082020,00:00,01:00,730,738
9082020,01:00,02:00,730,741
9082020,02:00,03:00,731,739
9082020,03:00,04:00,730,734
9082020,04:00,05:00,730,735
9082020,05:00,06:00,734,737
9082020,06:00,07:00,730,731
9082020,07:00,08:00,725,732
9082020,08:00,09:00,729,737
9082020,09:00,10:00,732,734
9082020,10:00,11:00,735,740
9082020,11:00,12:00,739,743
9082020,12:00,13:00,708,725
9082020,13:00,14:00,443,519
9082020,14:00,15:00,436,421
9082020,15:00,16:00,586,574
9082020,16:00,17:00,671,683
9082020,17:00,18:00,728,729
9082020,18:00,19:00,726,735
9082020,19:00,20:00,736,740
9082020,20:00,21:00,732,738
9082020,21:00,22:00,738,740
9082020,22:00,23:00,744,750
9082020,23:00,00:00,743,748
10082020,00:00,01:00,749,762
10082020,01:00,02:00,744,753
10082020,02:00,03:00,741,745
10082020,03:00,04:00,745,744
10082020,04:00,05:00,739,743
10082020,05:00,06:00,741,745
10082020,06:00,07:00,737,741
10082020,07:00,08:00,736,740
10082020,08:00,09:00,736,746
10082020,09:00,10:00,735,746
10082020,10:00,11:00,737,746
10082020,11:00,12:00,737,746
10082020,12:00,13:00,737,743
10082020,13:00,14:00,738,744
10082020,14:00,15:00,735,738
10082020,15:00,16:00,732,738
10082020,16:00,17:00,728,736
10082020,17:00,18:00,724,734
10082020,18:00,19:00,729,733
10082020,19:00,20:00,725,737
10082020,20:00,21:00,731,737
10082020,21:00,22:00,720,732
10082020,22:00,23:00,725,730
10082020,23:00,00:00,721,736
11082020,00:00,01:00,727,732
11082020,01:00,02:00,630,627
11082020,02:00,03:00,577,575
11082020,03:00,04:00,596,593
11082020,04:00,05:00,600,601
11082020,05:00,06:00,596,620
11082020,06:00,07:00,586,730
11082020,07:00,08:00,597,725
11082020,08:00,09:00,729,727
11082020,09:00,10:00,729,727
11082020,10:00,11:00,727,733
11082020,11:00,12:00,727,729
11082020,12:00,13:00,718,724
11082020,13:00,14:00,728,728
11082020,14:00,15:00,729,728
11082020,15:00,16:00,734,726
11082020,16:00,17:00,726,724
11082020,17:00,18:00,731,720
11082020,18:00,19:00,733,724
11082020,19:00,20:00,732,723
11082020,20:00,21:00,730,724
11082020,21:00,22:00,732,724
11082020,22:00,23:00,736,727
11082020,23:00,00:00,703,707
12082020,00:00,01:00,517,534
12082020,01:00,02:00,362,399
12082020,02:00,03:00,362,394
12082020,03:00,04:00,373,399
12082020,04:00,05:00,434,441
12082020,05:00,06:00,468,467
12082020,06:00,07:00,618,615
12082020,07:00,08:00,628,619
12082020,08:00,09:00,612,618
12082020,09:00,10:00,610,621
12082020,10:00,11:00,617,619
12082020,11:00,12:00,622,613
12082020,12:00,13:00,625,635
12082020,13:00,14:00,614,625
12082020,14:00,15:00,611,613
12082020,15:00,16:00,632,645
12082020,16:00,17:00,633,642
12082020,17:00,18:00,621,626
12082020,18:00,19:00,613,622
12082020,19:00,20:00,613,615
12082020,20:00,21:00,608,609
12082020,21:00,22:00,599,610
12082020,22:00,23:00,599,609
12082020,23:00,00:00,609,622
13082020,00:00,01:00,719,725
13082020,01:00,02:00,718,728
13082020,02:00,03:00,721,737
13082020,03:00,04:00,722,738
13082020,04:00,05:00,728,738
13082020,05:00,06:00,727,738
13082020,06:00,07:00,722,741
13082020,07:00,08:00,733,740
13082020,08:00,09:00,737,738
13082020,09:00,10:00,734,759
13082020,10:00,11:00,711,698
13082020,11:00,12:00,696,551
13082020,12:00,13:00,696,384
13082020,13:00,14:00,689,0
13082020,14:00,15:00,690,0
13082020,15:00,16:00,693,0
13082020,16:00,17:00,695,0
13082020,17:00,18:00,672,0
13082020,18:00,19:00,672,0
13082020,19:00,20:00,682,0
13082020,20:00,21:00,687,0
13082020,21:00,22:00,688,0
13082020,22:00,23:00,687,0
13082020,23:00,00:00,687,0
14082020,00:00,01:00,681,0
14082020,01:00,02:00,688,0
14082020,02:00,03:00,687,0
14082020,03:00,04:00,685,0
14082020,04:00,05:00,689,0
14082020,05:00,06:00,690,0
14082020,06:00,07:00,685,0
14082020,07:00,08:00,684,0
14082020,08:00,09:00,687,0
14082020,09:00,10:00,688,0
14082020,10:00,11:00,687,1
14082020,11:00,12:00,692,8
14082020,12:00,13:00,678,11
14082020,13:00,14:00,679,0
14082020,14:00,15:00,678,0
14082020,15:00,16:00,679,0
