date,start,end,11WD4HLBR1C7---4
20012018,15:00,16:00,0
20012018,16:00,17:00,0
20012018,17:00,18:00,0
20012018,18:00,19:00,0
20012018,19:00,20:00,0
20012018,20:00,21:00,0
20012018,21:00,22:00,0
20012018,22:00,23:00,0
20012018,23:00,00:00,0
21012018,00:00,01:00,0
21012018,01:00,02:00,0
21012018,02:00,03:00,0
21012018,03:00,04:00,0
21012018,04:00,05:00,0
21012018,05:00,06:00,0
21012018,06:00,07:00,0
21012018,07:00,08:00,0
21012018,08:00,09:00,0
21012018,09:00,10:00,0
21012018,10:00,11:00,0
21012018,11:00,12:00,0
21012018,12:00,13:00,0
21012018,13:00,14:00,0
21012018,14:00,15:00,0
21012018,15:00,16:00,0
21012018,16:00,17:00,0
21012018,17:00,18:00,0
21012018,18:00,19:00,0
21012018,19:00,20:00,0
21012018,20:00,21:00,0
21012018,21:00,22:00,0
21012018,22:00,23:00,0
21012018,23:00,00:00,0
22012018,00:00,01:00,0
22012018,01:00,02:00,0
22012018,02:00,03:00,0
22012018,03:00,04:00,0
22012018,04:00,05:00,0
22012018,05:00,06:00,200
22012018,06:00,07:00,364
22012018,07:00,08:00,522
22012018,08:00,09:00,740
22012018,09:00,10:00,743
22012018,10:00,11:00,736
22012018,11:00,12:00,734
22012018,12:00,13:00,740
22012018,13:00,14:00,741
22012018,14:00,15:00,734
22012018,15:00,16:00,735
22012018,16:00,17:00,733
22012018,17:00,18:00,729
22012018,18:00,19:00,731
22012018,19:00,20:00,734
22012018,20:00,21:00,736
22012018,21:00,22:00,738
22012018,22:00,23:00,739
22012018,23:00,00:00,508
23012018,00:00,01:00,205
23012018,01:00,02:00,172
23012018,02:00,03:00,168
23012018,03:00,04:00,168
23012018,04:00,05:00,198
23012018,05:00,06:00,411
23012018,06:00,07:00,739
23012018,07:00,08:00,740
23012018,08:00,09:00,736
23012018,09:00,10:00,734
23012018,10:00,11:00,732
23012018,11:00,12:00,727
23012018,12:00,13:00,728
23012018,13:00,14:00,735
23012018,14:00,15:00,736
