date,start,end,11WD8DRES5X----D
13012018,10:00,11:00,254
13012018,11:00,12:00,254
13012018,12:00,13:00,254
13012018,13:00,14:00,253
13012018,14:00,15:00,253
13012018,15:00,16:00,253
13012018,16:00,17:00,253
13012018,17:00,18:00,253
13012018,18:00,19:00,253
13012018,19:00,20:00,253
13012018,20:00,21:00,254
13012018,21:00,22:00,254
13012018,22:00,23:00,253
13012018,23:00,00:00,254
14012018,00:00,01:00,254
14012018,01:00,02:00,254
14012018,02:00,03:00,254
14012018,03:00,04:00,254
14012018,04:00,05:00,254
14012018,05:00,06:00,254
14012018,06:00,07:00,254
14012018,07:00,08:00,254
14012018,08:00,09:00,254
14012018,09:00,10:00,254
14012018,10:00,11:00,253
14012018,11:00,12:00,253
14012018,12:00,13:00,253
14012018,13:00,14:00,252
14012018,14:00,15:00,252
14012018,15:00,16:00,252
14012018,16:00,17:00,252
14012018,17:00,18:00,252
14012018,18:00,19:00,252
14012018,19:00,20:00,252
14012018,20:00,21:00,251
14012018,21:00,22:00,252
14012018,22:00,23:00,252
14012018,23:00,00:00,252
15012018,00:00,01:00,252
15012018,01:00,02:00,252
15012018,02:00,03:00,252
15012018,03:00,04:00,252
15012018,04:00,05:00,251
15012018,05:00,06:00,251
15012018,06:00,07:00,251
15012018,07:00,08:00,251
15012018,08:00,09:00,251
15012018,09:00,10:00,251
15012018,10:00,11:00,250
15012018,11:00,12:00,250
15012018,12:00,13:00,249
15012018,13:00,14:00,248
15012018,14:00,15:00,248
15012018,15:00,16:00,248
15012018,16:00,17:00,248
15012018,17:00,18:00,249
15012018,18:00,19:00,249
15012018,19:00,20:00,249
15012018,20:00,21:00,249
15012018,21:00,22:00,249
15012018,22:00,23:00,249
15012018,23:00,00:00,242
16012018,00:00,01:00,176
16012018,01:00,02:00,176
16012018,02:00,03:00,176
16012018,03:00,04:00,176
16012018,04:00,05:00,188
16012018,05:00,06:00,232
16012018,06:00,07:00,242
16012018,07:00,08:00,242
16012018,08:00,09:00,242
16012018,09:00,10:00,240
16012018,10:00,11:00,241
16012018,11:00,12:00,241
16012018,12:00,13:00,241
16012018,13:00,14:00,242
16012018,14:00,15:00,242
16012018,15:00,16:00,243
16012018,16:00,17:00,243
16012018,17:00,18:00,243
16012018,18:00,19:00,243
16012018,19:00,20:00,243
16012018,20:00,21:00,244
16012018,21:00,22:00,244
16012018,22:00,23:00,244
16012018,23:00,00:00,244
17012018,00:00,01:00,240
17012018,01:00,02:00,240
17012018,02:00,03:00,240
17012018,03:00,04:00,240
17012018,04:00,05:00,241
17012018,05:00,06:00,245
17012018,06:00,07:00,245
17012018,07:00,08:00,244
17012018,08:00,09:00,243
17012018,09:00,10:00,244
17012018,10:00,11:00,242
17012018,11:00,12:00,241
17012018,12:00,13:00,241
17012018,13:00,14:00,241
17012018,14:00,15:00,243
17012018,15:00,16:00,244
17012018,16:00,17:00,245
17012018,17:00,18:00,245
17012018,18:00,19:00,244
17012018,19:00,20:00,245
17012018,20:00,21:00,246
17012018,21:00,22:00,246
17012018,22:00,23:00,247
17012018,23:00,00:00,247
18012018,00:00,01:00,243
18012018,01:00,02:00,243
18012018,02:00,03:00,243
18012018,03:00,04:00,242
18012018,04:00,05:00,243
18012018,05:00,06:00,247
18012018,06:00,07:00,246
18012018,07:00,08:00,246
18012018,08:00,09:00,245
18012018,09:00,10:00,245
18012018,10:00,11:00,244
18012018,11:00,12:00,242
18012018,12:00,13:00,240
18012018,13:00,14:00,239
18012018,14:00,15:00,238
18012018,15:00,16:00,237
18012018,16:00,17:00,238
18012018,17:00,18:00,240
18012018,18:00,19:00,241
18012018,19:00,20:00,242
18012018,20:00,21:00,243
18012018,21:00,22:00,244
18012018,22:00,23:00,245
18012018,23:00,00:00,246
19012018,00:00,01:00,246
19012018,01:00,02:00,246
