date,start,end,11WD2HANN5C---1X,11WD2HANN5C---2V
12012019,07:00,08:00,0,108
12012019,08:00,09:00,0,107
12012019,09:00,10:00,0,108
12012019,10:00,11:00,0,108
12012019,11:00,12:00,0,108
12012019,12:00,13:00,0,106
12012019,13:00,14:00,0,107
12012019,14:00,15:00,0,105
12012019,15:00,16:00,0,103
12012019,16:00,17:00,0,102
12012019,17:00,18:00,0,103
12012019,18:00,19:00,0,103
12012019,19:00,20:00,0,103
12012019,20:00,21:00,0,102
12012019,21:00,22:00,0,100
12012019,22:00,23:00,0,103
12012019,23:00,00:00,0,104
13012019,00:00,01:00,0,104
13012019,01:00,02:00,0,103
13012019,02:00,03:00,0,104
13012019,03:00,04:00,0,103
13012019,04:00,05:00,0,103
13012019,05:00,06:00,0,106
13012019,06:00,07:00,0,104
13012019,07:00,08:00,0,102
13012019,08:00,09:00,0,100
13012019,09:00,10:00,0,103
13012019,10:00,11:00,0,104
13012019,11:00,12:00,0,107
13012019,12:00,13:00,0,107
13012019,13:00,14:00,0,107
13012019,14:00,15:00,0,106
13012019,15:00,16:00,0,107
13012019,16:00,17:00,0,107
13012019,17:00,18:00,0,106
13012019,18:00,19:00,0,105
13012019,19:00,20:00,0,107
13012019,20:00,21:00,0,107
13012019,21:00,22:00,0,108
13012019,22:00,23:00,0,107
13012019,23:00,00:00,0,108
14012019,00:00,01:00,0,106
14012019,01:00,02:00,0,105
14012019,02:00,03:00,0,106
14012019,03:00,04:00,0,107
14012019,04:00,05:00,0,106
14012019,05:00,06:00,0,105
14012019,06:00,07:00,0,105
14012019,07:00,08:00,0,105
14012019,08:00,09:00,0,106
14012019,09:00,10:00,0,107
14012019,10:00,11:00,0,109
14012019,11:00,12:00,0,111
14012019,12:00,13:00,0,109
14012019,13:00,14:00,0,110
14012019,14:00,15:00,0,108
14012019,15:00,16:00,0,108
14012019,16:00,17:00,0,106
14012019,17:00,18:00,0,107
14012019,18:00,19:00,0,107
14012019,19:00,20:00,0,106
14012019,20:00,21:00,0,107
14012019,21:00,22:00,0,107
14012019,22:00,23:00,0,109
14012019,23:00,00:00,0,108
15012019,00:00,01:00,0,108
15012019,01:00,02:00,0,107
15012019,02:00,03:00,0,107
15012019,03:00,04:00,0,108
15012019,04:00,05:00,0,107
15012019,05:00,06:00,0,110
15012019,06:00,07:00,0,109
15012019,07:00,08:00,0,108
15012019,08:00,09:00,0,109
15012019,09:00,10:00,0,111
15012019,10:00,11:00,0,109
15012019,11:00,12:00,0,110
15012019,12:00,13:00,0,111
15012019,13:00,14:00,0,111
15012019,14:00,15:00,0,112
15012019,15:00,16:00,0,112
15012019,16:00,17:00,0,113
