Timestamp,11WD7WEIS5B--E-Y,11WD7WEIS5GVGTGU,11WD7WEIS5GVGTHS,11WD7WEIS1B--F-M,11WD7WEIS1B--G-J,11WD7WEIS1B--H-G
2020-01-10 10:00:00,316,0,0,0,657,661
2020-01-10 11:00:00,315,0,0,0,659,660
2020-01-10 12:00:00,291,0,0,0,657,660
2020-01-10 13:00:00,289,0,0,0,659,661
2020-01-10 14:00:00,316,0,0,0,660,660
2020-01-10 15:00:00,315,0,0,0,661,660
2020-01-10 16:00:00,312,0,0,0,662,660
2020-01-10 17:00:00,312,0,0,0,663,665
2020-01-10 18:00:00,316,0,0,0,661,658
2020-01-10 19:00:00,316,0,0,0,662,660
2020-01-10 20:00:00,315,0,0,0,662,662
2020-01-10 21:00:00,316,0,0,0,663,662
2020-01-10 22:00:00,315,0,0,0,658,663
2020-01-10 23:00:00,316,0,0,0,662,661
2020-01-11 00:00:00,316,0,0,0,664,660
2020-01-11 01:00:00,317,0,0,0,666,661
2020-01-11 02:00:00,256,0,0,0,662,663
2020-01-11 03:00:00,191,0,0,0,662,506
2020-01-11 04:00:00,191,0,0,0,516,326
2020-01-11 05:00:00,191,0,0,0,422,281
2020-01-11 06:00:00,191,0,0,0,334,304
2020-01-11 07:00:00,193,0,0,0,338,437
2020-01-11 08:00:00,195,0,0,0,613,595
2020-01-11 09:00:00,201,0,0,0,663,663
2020-01-11 10:00:00,294,0,0,0,663,661
2020-01-11 11:00:00,316,0,0,0,662,662
2020-01-11 12:00:00,217,0,0,0,659,647
2020-01-11 13:00:00,192,0,0,0,427,406
2020-01-11 14:00:00,192,0,0,0,279,258
2020-01-11 15:00:00,193,0,0,0,340,419
2020-01-11 16:00:00,193,0,0,0,625,629
2020-01-11 17:00:00,215,0,0,0,657,663
2020-01-11 18:00:00,247,0,0,0,661,663
2020-01-11 19:00:00,199,0,0,0,659,613
2020-01-11 20:00:00,192,0,0,0,485,352
2020-01-11 21:00:00,194,0,0,0,258,293
2020-01-11 22:00:00,194,0,0,0,256,265
2020-01-11 23:00:00,196,0,0,0,255,261
2020-01-12 00:00:00,194,0,0,0,255,258
2020-01-12 01:00:00,194,0,0,0,255,257
2020-01-12 02:00:00,194,0,0,0,255,258
2020-01-12 03:00:00,193,0,0,0,255,257
2020-01-12 04:00:00,193,0,0,0,255,257
2020-01-12 05:00:00,190,0,0,0,253,266
2020-01-12 06:00:00,190,0,0,0,254,275
2020-01-12 07:00:00,191,0,0,0,255,273
2020-01-12 08:00:00,192,0,0,0,256,274
2020-01-12 09:00:00,193,0,0,0,255,274
2020-01-12 10:00:00,191,0,0,0,255,267
2020-01-12 11:00:00,190,0,0,0,255,258
2020-01-12 12:00:00,189,0,0,0,255,255
2020-01-12 13:00:00,189,0,0,0,254,248
2020-01-12 14:00:00,190,0,0,0,255,248
2020-01-12 15:00:00,193,0,0,0,254,249
2020-01-12 16:00:00,194,0,0,0,255,256
2020-01-12 17:00:00,196,0,0,0,259,256
2020-01-12 18:00:00,196,0,0,0,356,312
2020-01-12 19:00:00,197,0,0,0,326,257
2020-01-12 20:00:00,196,0,0,0,249,254
2020-01-12 21:00:00,195,0,0,0,250,254
2020-01-12 22:00:00,193,0,0,0,249,276
2020-01-12 23:00:00,193,0,0,0,250,287
2020-01-13 00:00:00,195,0,0,0,249,265
2020-01-13 01:00:00,194,0,0,0,250,252
2020-01-13 02:00:00,195,0,0,0,250,255
2020-01-13 03:00:00,194,0,0,0,249,254
2020-01-13 04:00:00,192,0,0,6,250,277
2020-01-13 05:00:00,213,0,0,86,313,465
2020-01-13 06:00:00,303,0,64,88,594,632
2020-01-13 07:00:00,313,137,182,99,636,640
2020-01-13 08:00:00,316,198,190,104,654,654
2020-01-13 09:00:00,321,199,191,113,658,654
2020-01-13 10:00:00,321,198,190,118,659,653
2020-01-13 11:00:00,318,197,190,129,655,656
2020-01-13 12:00:00,320,197,177,157,660,655
2020-01-13 13:00:00,319,196,180,156,657,655
2020-01-13 14:00:00,318,197,189,156,658,651
2020-01-13 15:00:00,321,197,189,153,657,655
2020-01-13 16:00:00,322,197,190,154,660,658
2020-01-13 17:00:00,321,197,190,152,658,656
2020-01-13 18:00:00,321,196,189,155,658,659
2020-01-13 19:00:00,294,170,164,147,656,656
2020-01-13 20:00:00,196,0,0,109,629,623
2020-01-13 21:00:00,194,0,0,105,465,471
2020-01-13 22:00:00,193,0,0,111,253,255
2020-01-13 23:00:00,193,0,0,111,247,248
2020-01-14 00:00:00,193,0,0,108,249,259
2020-01-14 01:00:00,195,0,0,106,250,274
2020-01-14 02:00:00,195,0,0,104,251,272
2020-01-14 03:00:00,195,0,0,104,250,269
2020-01-14 04:00:00,195,0,0,102,249,266
2020-01-14 05:00:00,194,0,0,104,250,271
2020-01-14 06:00:00,194,0,0,192,250,297
2020-01-14 07:00:00,196,0,0,244,247,362
2020-01-14 08:00:00,268,0,0,240,386,562
2020-01-14 09:00:00,255,0,0,241,485,565
2020-01-14 10:00:00,197,0,0,235,314,565
