Datum;Anfang;Ende;Generation_DE Kraftwerk Jänschwalde Block A [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block B [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block C [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block D [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block E [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block F [MW] Originalauflösungen
07.01.2020;19:00;20:00;464;407;482;430;-;-
07.01.2020;20:00;21:00;439;397;463;405;-;-
07.01.2020;21:00;22:00;484;441;489;451;-;-
07.01.2020;22:00;23:00;487;430;479;457;-;-
07.01.2020;23:00;00:00;328;357;322;328;-;-
08.01.2020;00:00;01:00;292;351;298;294;-;-
08.01.2020;01:00;02:00;300;361;295;292;-;-
08.01.2020;02:00;03:00;298;362;295;292;-;-
08.01.2020;03:00;04:00;296;354;295;290;-;-
08.01.2020;04:00;05:00;297;359;291;290;-;-
08.01.2020;05:00;06:00;297;363;295;290;-;-
08.01.2020;06:00;07:00;302;381;295;329;-;-
08.01.2020;07:00;08:00;355;383;378;339;-;-
08.01.2020;08:00;09:00;372;380;386;342;-;-
08.01.2020;09:00;10:00;413;383;430;385;-;-
08.01.2020;10:00;11:00;442;410;467;412;-;-
08.01.2020;11:00;12:00;485;453;477;477;-;-
08.01.2020;12:00;13:00;457;424;477;425;-;-
08.01.2020;13:00;14:00;498;448;493;488;-;-
08.01.2020;14:00;15:00;501;443;494;488;-;-
08.01.2020;15:00;16:00;500;446;493;486;-;-
08.01.2020;16:00;17:00;503;446;493;487;-;-
08.01.2020;17:00;18:00;493;436;486;481;-;-
08.01.2020;18:00;19:00;496;448;488;482;-;-
08.01.2020;19:00;20:00;499;443;491;486;-;-
08.01.2020;20:00;21:00;489;445;482;475;-;-
08.01.2020;21:00;22:00;498;452;488;490;-;-
08.01.2020;22:00;23:00;500;462;494;489;-;-
08.01.2020;23:00;00:00;497;449;498;482;-;-
09.01.2020;00:00;01:00;493;445;494;491;-;-
09.01.2020;01:00;02:00;496;445;493;491;-;-
09.01.2020;02:00;03:00;481;436;480;477;-;-
09.01.2020;03:00;04:00;486;439;484;483;-;-
09.01.2020;04:00;05:00;489;451;489;483;-;-
09.01.2020;05:00;06:00;497;462;495;493;-;-
09.01.2020;06:00;07:00;500;457;496;492;-;-
09.01.2020;07:00;08:00;497;454;495;490;-;-
09.01.2020;08:00;09:00;437;395;448;348;-;-
09.01.2020;09:00;10:00;326;362;333;312;-;-
09.01.2020;10:00;11:00;333;386;332;327;-;-
09.01.2020;11:00;12:00;335;389;347;332;-;-
09.01.2020;12:00;13:00;319;372;325;314;-;-
09.01.2020;13:00;14:00;339;399;340;335;-;-
09.01.2020;14:00;15:00;345;397;345;341;-;-
09.01.2020;15:00;16:00;341;395;346;338;-;-
09.01.2020;16:00;17:00;342;388;365;335;-;-
09.01.2020;17:00;18:00;398;387;418;369;-;-
09.01.2020;18:00;19:00;439;401;481;398;-;-
09.01.2020;19:00;20:00;407;396;445;380;-;-
09.01.2020;20:00;21:00;444;424;484;398;-;-
09.01.2020;21:00;22:00;442;418;481;399;-;-
09.01.2020;22:00;23:00;389;357;418;355;-;-
09.01.2020;23:00;00:00;391;346;420;358;-;-
10.01.2020;00:00;01:00;487;431;495;446;-;-
10.01.2020;01:00;02:00;487;438;496;459;-;-
10.01.2020;02:00;03:00;466;404;492;431;-;-
10.01.2020;03:00;04:00;414;364;441;378;-;-
10.01.2020;04:00;05:00;366;333;395;328;-;-
10.01.2020;05:00;06:00;472;417;489;440;-;-
10.01.2020;06:00;07:00;489;443;498;479;-;-
10.01.2020;07:00;08:00;423;383;450;401;-;-
10.01.2020;08:00;09:00;462;418;494;437;-;-
10.01.2020;09:00;10:00;445;401;473;416;-;-
10.01.2020;10:00;11:00;494;438;498;490;-;-
10.01.2020;11:00;12:00;439;396;467;409;-;-
10.01.2020;12:00;13:00;359;403;357;351;-;-
10.01.2020;13:00;14:00;358;407;375;356;-;-
10.01.2020;14:00;15:00;389;406;423;358;-;-
10.01.2020;15:00;16:00;411;377;460;380;-;-
10.01.2020;16:00;17:00;425;379;461;398;-;-
10.01.2020;17:00;18:00;406;359;433;369;-;-
10.01.2020;18:00;19:00;441;405;474;412;-;-
10.01.2020;19:00;20:00;437;399;472;411;-;-
10.01.2020;20:00;21:00;413;392;482;412;-;-
10.01.2020;21:00;22:00;471;405;492;472;-;-
10.01.2020;22:00;23:00;482;403;495;478;-;-
10.01.2020;23:00;00:00;483;397;496;475;-;-
11.01.2020;00:00;01:00;332;400;491;440;-;-
11.01.2020;01:00;02:00;206;387;496;493;-;-
11.01.2020;02:00;03:00;232;395;495;494;-;-
11.01.2020;03:00;04:00;230;392;490;489;-;-
11.01.2020;04:00;05:00;210;402;477;473;-;-
11.01.2020;05:00;06:00;168;388;410;371;-;-
11.01.2020;06:00;07:00;172;390;411;348;-;-
11.01.2020;07:00;08:00;180;412;412;365;-;-
11.01.2020;08:00;09:00;226;445;476;481;-;-
11.01.2020;09:00;10:00;239;460;497;493;-;-
11.01.2020;10:00;11:00;228;445;480;478;-;-
11.01.2020;11:00;12:00;186;444;479;446;-;-
11.01.2020;12:00;13:00;195;410;447;383;-;-
11.01.2020;13:00;14:00;173;393;359;330;-;-
11.01.2020;14:00;15:00;182;406;346;342;-;-
11.01.2020;15:00;16:00;179;441;480;358;-;-
11.01.2020;16:00;17:00;231;455;492;481;-;-
11.01.2020;17:00;18:00;232;463;494;489;-;-
11.01.2020;18:00;19:00;227;456;489;484;-;-
11.01.2020;19:00;20:00;172;408;438;384;-;-
11.01.2020;20:00;21:00;160;387;422;343;-;-
11.01.2020;21:00;22:00;167;384;332;260;-;-
11.01.2020;22:00;23:00;195;435;359;189;-;-
11.01.2020;23:00;00:00;92;412;356;150;-;-
12.01.2020;00:00;01:00;0;407;346;2;-;-
12.01.2020;01:00;02:00;0;395;320;0;-;-
12.01.2020;02:00;03:00;0;387;300;0;-;-
12.01.2020;03:00;04:00;0;384;316;0;-;-
12.01.2020;04:00;05:00;0;377;300;0;-;-
12.01.2020;05:00;06:00;0;388;300;0;-;-
12.01.2020;06:00;07:00;0;377;299;0;-;-
12.01.2020;07:00;08:00;0;377;299;0;-;-
12.01.2020;08:00;09:00;0;380;299;0;-;-
12.01.2020;09:00;10:00;0;398;355;0;-;-
12.01.2020;10:00;11:00;0;389;360;0;-;-
12.01.2020;11:00;12:00;0;390;397;0;-;-
12.01.2020;12:00;13:00;0;382;395;91;-;-
12.01.2020;13:00;14:00;0;381;320;143;-;-
12.01.2020;14:00;15:00;62;375;322;175;-;-
12.01.2020;15:00;16:00;122;375;312;154;-;-
12.01.2020;16:00;17:00;151;394;303;170;-;-
12.01.2020;17:00;18:00;152;397;301;179;-;-
12.01.2020;18:00;19:00;152;398;301;162;-;-
12.01.2020;19:00;20:00;153;391;300;162;-;-
12.01.2020;20:00;21:00;152;388;296;178;-;-
12.01.2020;21:00;22:00;148;387;294;169;-;-
12.01.2020;22:00;23:00;151;414;295;164;-;-
12.01.2020;23:00;00:00;150;404;298;154;-;-
13.01.2020;00:00;01:00;149;408;305;156;-;-
13.01.2020;01:00;02:00;143;411;306;153;-;-
13.01.2020;02:00;03:00;147;413;305;161;-;-
13.01.2020;03:00;04:00;145;404;353;205;-;-
13.01.2020;04:00;05:00;143;411;330;315;-;-
13.01.2020;05:00;06:00;295;413;333;326;-;-
13.01.2020;06:00;07:00;427;462;462;442;-;-
13.01.2020;07:00;08:00;467;459;501;492;-;-
13.01.2020;08:00;09:00;484;462;499;492;-;-
13.01.2020;09:00;10:00;493;466;501;494;-;-
13.01.2020;10:00;11:00;493;465;499;493;-;-
13.01.2020;11:00;12:00;489;456;496;491;-;-
13.01.2020;12:00;13:00;494;461;500;495;-;-
13.01.2020;13:00;14:00;493;465;499;493;-;-
13.01.2020;14:00;15:00;493;464;500;492;-;-
13.01.2020;15:00;16:00;455;456;499;488;-;-
13.01.2020;16:00;17:00;415;451;495;439;-;-
13.01.2020;17:00;18:00;420;448;495;439;-;-
13.01.2020;18:00;19:00;471;434;483;432;-;-
13.01.2020;19:00;20:00;483;432;487;437;-;-
13.01.2020;20:00;21:00;417;381;448;381;-;-
13.01.2020;21:00;22:00;306;368;324;298;-;-
13.01.2020;22:00;23:00;330;382;348;299;-;-
13.01.2020;23:00;00:00;281;376;326;295;-;-
14.01.2020;00:00;01:00;161;340;305;300;-;-
14.01.2020;01:00;02:00;150;344;312;298;-;-
14.01.2020;02:00;03:00;153;337;312;298;-;-
14.01.2020;03:00;04:00;153;335;312;309;-;-
14.01.2020;04:00;05:00;153;357;311;295;-;-
14.01.2020;05:00;06:00;153;361;322;298;-;-
14.01.2020;06:00;07:00;154;356;310;297;-;-
14.01.2020;07:00;08:00;154;361;305;305;-;-
14.01.2020;08:00;09:00;153;354;343;338;-;-
14.01.2020;09:00;10:00;153;343;344;296;-;-
14.01.2020;10:00;11:00;154;345;352;117;-;-
14.01.2020;11:00;12:00;154;334;342;6;-;-
14.01.2020;12:00;13:00;163;392;337;130;-;-
14.01.2020;13:00;14:00;155;362;322;159;-;-
14.01.2020;14:00;15:00;155;404;438;311;-;-
14.01.2020;15:00;16:00;205;425;483;443;-;-
14.01.2020;16:00;17:00;154;366;367;312;-;-
14.01.2020;17:00;18:00;153;408;478;415;-;-
14.01.2020;18:00;19:00;155;375;425;363;-;-
14.01.2020;19:00;20:00;154;361;334;299;-;-
14.01.2020;20:00;21:00;146;342;270;339;-;-
14.01.2020;21:00;22:00;148;343;164;324;-;-
14.01.2020;22:00;23:00;136;333;173;320;-;-
14.01.2020;23:00;00:00;3;343;173;335;-;-
15.01.2020;00:00;01:00;0;334;174;319;-;-
15.01.2020;01:00;02:00;0;322;174;331;-;-
15.01.2020;02:00;03:00;0;319;173;346;-;-
15.01.2020;03:00;04:00;0;328;165;323;-;-
15.01.2020;04:00;05:00;0;324;142;322;-;-
