Datum;Anfang;Ende;Generation_DE West 2 [MW] Originalauflösungen;Generation_DE West 1 [MW] Originalauflösungen
30.01.2017;07:00;08:00;306;279
30.01.2017;08:00;09:00;314;277
30.01.2017;09:00;10:00;313;283
30.01.2017;10:00;11:00;313;281
30.01.2017;11:00;12:00;315;294
30.01.2017;12:00;13:00;314;309
30.01.2017;13:00;14:00;316;312
30.01.2017;14:00;15:00;312;308
30.01.2017;15:00;16:00;316;312
30.01.2017;16:00;17:00;316;315
30.01.2017;17:00;18:00;323;321
30.01.2017;18:00;19:00;310;306
30.01.2017;19:00;20:00;226;214
30.01.2017;20:00;21:00;152;143
30.01.2017;21:00;22:00;76;77
30.01.2017;22:00;23:00;74;73
30.01.2017;23:00;00:00;74;73
31.01.2017;00:00;01:00;71;73
31.01.2017;01:00;02:00;71;72
31.01.2017;02:00;03:00;72;72
31.01.2017;03:00;04:00;71;72
31.01.2017;04:00;05:00;71;72
31.01.2017;05:00;06:00;93;70
31.01.2017;06:00;07:00;225;207
