Date;Start;End;Generation_DE G [MW] Original resolutions;Generation_DE F [MW] Original resolutions;Generation_DE A [MW] Original resolutions;Generation_DE B [MW] Original resolutions;Generation_DE Neurath C [MW] Original resolutions;Generation_DE Neurath D [MW] Original resolutions;Generation_DE Neurath E [MW] Original resolutions
06.01.2021;01:00;02:00;711;725;0;295;-;539;485
06.01.2021;02:00;03:00;710;516;0;295;-;604;485
06.01.2021;03:00;04:00;710;489;0;296;-;604;484
06.01.2021;04:00;05:00;731;488;0;298;-;603;488
06.01.2021;05:00;06:00;736;486;0;301;-;605;612
06.01.2021;06:00;07:00;821;493;0;301;-;604;625
06.01.2021;07:00;08:00;848;750;0;301;-;604;621
06.01.2021;08:00;09:00;1.021;931;0;300;-;605;627
06.01.2021;09:00;10:00;1.037;1.019;0;296;-;606;625
06.01.2021;10:00;11:00;1.022;1.024;0;296;-;605;625
06.01.2021;11:00;12:00;1.038;1.028;0;297;-;606;626
06.01.2021;12:00;13:00;1.031;1.028;0;298;-;605;627
06.01.2021;13:00;14:00;1.035;1.026;0;300;-;604;626
06.01.2021;14:00;15:00;1.032;1.028;0;301;-;605;626
06.01.2021;15:00;16:00;1.027;1.027;0;305;-;607;627
06.01.2021;16:00;17:00;1.032;1.027;0;305;-;608;628
06.01.2021;17:00;18:00;1.033;1.029;0;303;-;607;627
06.01.2021;18:00;19:00;1.035;1.030;0;300;-;608;629
06.01.2021;19:00;20:00;1.037;1.029;0;301;-;608;629
06.01.2021;20:00;21:00;1.029;1.030;0;300;-;608;629
06.01.2021;21:00;22:00;1.033;1.030;0;301;-;609;629
06.01.2021;22:00;23:00;1.037;1.028;0;301;-;607;628
06.01.2021;23:00;00:00;1.037;1.029;0;300;-;607;628
07.01.2021;00:00;01:00;1.033;1.028;0;300;-;607;628
07.01.2021;01:00;02:00;900;1.014;0;297;-;610;631
07.01.2021;02:00;03:00;744;784;0;299;-;607;627
07.01.2021;03:00;04:00;743;778;0;299;-;606;627
07.01.2021;04:00;05:00;731;777;0;299;-;608;627
07.01.2021;05:00;06:00;776;778;0;303;-;606;627
07.01.2021;06:00;07:00;981;781;0;305;-;606;627
07.01.2021;07:00;08:00;1.031;864;0;306;-;606;627
07.01.2021;08:00;09:00;1.031;1.030;0;303;-;607;627
07.01.2021;09:00;10:00;1.035;1.025;0;302;-;607;626
07.01.2021;10:00;11:00;1.035;1.029;0;299;-;608;628
07.01.2021;11:00;12:00;1.033;1.027;0;299;-;619;629
07.01.2021;12:00;13:00;1.032;1.027;0;298;-;611;626
07.01.2021;13:00;14:00;1.031;1.028;0;302;-;612;628
07.01.2021;14:00;15:00;1.029;1.029;0;305;-;609;626
07.01.2021;15:00;16:00;1.038;1.030;0;305;-;612;628
07.01.2021;16:00;17:00;1.029;1.029;0;306;-;609;624
07.01.2021;17:00;18:00;1.035;1.035;0;306;-;613;628
07.01.2021;18:00;19:00;1.038;1.029;0;306;-;612;629
07.01.2021;19:00;20:00;1.035;1.033;0;300;-;612;628
07.01.2021;20:00;21:00;1.035;1.033;0;300;-;614;629
07.01.2021;21:00;22:00;1.037;1.034;0;301;-;613;629
07.01.2021;22:00;23:00;1.035;1.039;0;301;-;614;629
07.01.2021;23:00;00:00;1.036;1.036;0;300;-;612;628
08.01.2021;00:00;01:00;1.035;1.029;0;296;-;611;628
08.01.2021;01:00;02:00;1.036;1.029;0;295;-;613;628
08.01.2021;02:00;03:00;1.034;1.032;0;297;-;611;627
08.01.2021;03:00;04:00;864;1.030;0;300;-;613;628
08.01.2021;04:00;05:00;741;1.033;0;300;-;611;628
08.01.2021;05:00;06:00;741;1.029;0;298;-;611;626
08.01.2021;06:00;07:00;987;1.029;0;298;-;612;628
08.01.2021;07:00;08:00;1.029;1.031;0;298;-;611;627
08.01.2021;08:00;09:00;1.032;1.034;0;300;-;612;627
08.01.2021;09:00;10:00;1.035;1.031;0;299;-;610;626
08.01.2021;10:00;11:00;1.033;1.032;0;300;-;611;626
08.01.2021;11:00;12:00;1.034;1.032;0;299;-;611;627
08.01.2021;12:00;13:00;1.037;1.031;0;300;-;611;627
08.01.2021;13:00;14:00;1.032;1.034;0;300;-;610;626
08.01.2021;14:00;15:00;1.035;1.024;0;298;-;610;626
08.01.2021;15:00;16:00;1.035;1.029;0;298;-;610;627
08.01.2021;16:00;17:00;1.034;1.029;0;288;-;611;627
08.01.2021;17:00;18:00;1.033;1.033;0;289;-;612;628
08.01.2021;18:00;19:00;1.039;1.033;0;288;-;612;628
08.01.2021;19:00;20:00;1.037;1.034;0;289;-;614;617
08.01.2021;20:00;21:00;1.039;1.039;0;290;-;616;328
08.01.2021;21:00;22:00;1.033;1.035;0;289;-;613;0
08.01.2021;22:00;23:00;1.038;1.037;0;289;-;612;0
08.01.2021;23:00;00:00;1.036;1.028;0;290;-;610;0
09.01.2021;00:00;01:00;1.030;1.017;0;298;-;610;0
09.01.2021;01:00;02:00;1.028;961;0;298;-;609;0
09.01.2021;02:00;03:00;1.030;927;0;298;-;611;0
09.01.2021;03:00;04:00;1.031;840;0;298;-;607;0
09.01.2021;04:00;05:00;1.030;859;0;292;-;594;0
09.01.2021;05:00;06:00;1.033;973;0;290;-;592;0
09.01.2021;06:00;07:00;1.031;948;0;289;-;604;0
09.01.2021;07:00;08:00;1.035;1.029;0;291;-;609;0
09.01.2021;08:00;09:00;1.033;1.033;24;297;-;609;0
09.01.2021;09:00;10:00;1.028;1.030;187;299;-;605;0
09.01.2021;10:00;11:00;1.033;1.029;234;300;-;606;0
09.01.2021;11:00;12:00;1.023;1.026;286;298;-;610;0
09.01.2021;12:00;13:00;1.030;1.024;292;294;-;610;0
09.01.2021;13:00;14:00;1.025;1.026;293;295;-;611;0
09.01.2021;14:00;15:00;1.033;1.027;296;296;-;612;0
09.01.2021;15:00;16:00;1.029;1.030;296;297;-;610;0
09.01.2021;16:00;17:00;1.029;1.028;296;299;-;609;0
09.01.2021;17:00;18:00;1.031;1.031;296;300;-;613;0
09.01.2021;18:00;19:00;1.034;1.030;296;300;-;612;0
09.01.2021;19:00;20:00;1.033;1.033;296;300;-;612;0
09.01.2021;20:00;21:00;1.044;1.030;296;298;-;613;0
09.01.2021;21:00;22:00;1.044;1.032;295;294;-;585;0
09.01.2021;22:00;23:00;1.047;1.036;295;295;-;117;0
09.01.2021;23:00;00:00;1.045;1.030;255;294;-;0;0
10.01.2021;00:00;01:00;1.042;1.031;225;294;-;0;0
10.01.2021;01:00;02:00;1.043;1.029;226;294;-;0;0
10.01.2021;02:00;03:00;1.041;1.013;229;294;-;0;0
10.01.2021;03:00;04:00;1.044;1.020;231;294;-;0;0
10.01.2021;04:00;05:00;1.040;1.030;224;290;-;0;0
10.01.2021;05:00;06:00;1.046;1.028;29;293;-;0;0
10.01.2021;06:00;07:00;1.042;1.025;0;292;-;0;0
10.01.2021;07:00;08:00;1.042;1.029;0;297;-;0;0
10.01.2021;08:00;09:00;1.042;1.027;0;298;-;0;0
10.01.2021;09:00;10:00;1.044;1.026;0;296;-;0;0
10.01.2021;10:00;11:00;1.039;1.020;0;290;-;0;0
10.01.2021;11:00;12:00;1.045;1.025;0;295;-;0;0
10.01.2021;12:00;13:00;1.042;1.025;0;297;-;0;0
10.01.2021;13:00;14:00;1.043;1.030;0;296;-;0;0
10.01.2021;14:00;15:00;1.038;1.028;0;295;-;0;57
10.01.2021;15:00;16:00;1.040;1.026;0;297;-;0;374
10.01.2021;16:00;17:00;1.040;1.030;0;300;-;0;572
10.01.2021;17:00;18:00;1.001;1.031;0;302;-;0;627
10.01.2021;18:00;19:00;813;1.031;0;303;-;0;544
10.01.2021;19:00;20:00;811;1.024;0;301;-;0;405
10.01.2021;20:00;21:00;810;1.030;0;296;-;0;398
10.01.2021;21:00;22:00;810;1.036;0;295;-;0;324
10.01.2021;22:00;23:00;810;1.029;0;292;-;0;326
10.01.2021;23:00;00:00;811;1.018;0;187;-;0;432
11.01.2021;00:00;01:00;997;999;0;145;-;0;411
11.01.2021;01:00;02:00;1.048;1.002;0;171;-;0;510
11.01.2021;02:00;03:00;1.051;1.003;0;143;-;0;426
11.01.2021;03:00;04:00;1.048;1.000;0;145;-;0;396
11.01.2021;04:00;05:00;1.050;1.006;0;144;-;0;396
11.01.2021;05:00;06:00;1.046;1.011;75;144;-;0;484
11.01.2021;06:00;07:00;1.047;1.018;196;227;-;0;626
11.01.2021;07:00;08:00;1.045;1.018;256;297;-;0;623
11.01.2021;08:00;09:00;1.041;1.027;280;292;-;0;624
11.01.2021;09:00;10:00;1.038;1.029;297;298;-;0;625
11.01.2021;10:00;11:00;1.025;1.030;295;297;-;0;623
11.01.2021;11:00;12:00;1.043;1.020;294;292;-;0;623
11.01.2021;12:00;13:00;1.043;1.022;293;292;-;133;620
11.01.2021;13:00;14:00;1.040;1.019;293;293;-;290;625
11.01.2021;14:00;15:00;1.039;1.025;294;293;-;289;624
11.01.2021;15:00;16:00;1.031;1.024;293;296;-;291;623
11.01.2021;16:00;17:00;1.034;1.029;294;295;-;428;624
11.01.2021;17:00;18:00;1.037;1.032;294;297;-;463;624
11.01.2021;18:00;19:00;1.033;1.028;294;297;-;463;625
11.01.2021;19:00;20:00;1.038;1.032;275;270;-;456;625
11.01.2021;20:00;21:00;1.037;1.032;195;173;-;294;561
11.01.2021;21:00;22:00;1.038;1.038;146;137;-;29;296
11.01.2021;22:00;23:00;1.020;942;145;136;-;0;267
11.01.2021;23:00;00:00;847;585;145;137;-;0;271
12.01.2021;00:00;01:00;670;476;146;137;-;0;268
12.01.2021;01:00;02:00;515;476;145;137;-;0;269
12.01.2021;02:00;03:00;482;475;145;136;-;0;268
12.01.2021;03:00;04:00;485;477;145;137;-;0;267
12.01.2021;04:00;05:00;686;659;143;135;-;0;265
12.01.2021;05:00;06:00;733;691;162;154;-;173;298
12.01.2021;06:00;07:00;739;695;280;276;-;364;519
12.01.2021;07:00;08:00;983;696;293;299;-;563;418
12.01.2021;08:00;09:00;1.030;819;288;297;-;619;423
12.01.2021;09:00;10:00;1.032;995;293;296;-;618;583
12.01.2021;10:00;11:00;1.038;1.022;293;294;-;611;622
12.01.2021;11:00;12:00;1.034;1.025;293;293;-;607;621
12.01.2021;12:00;13:00;1.033;1.023;293;293;-;605;621
12.01.2021;13:00;14:00;1.036;1.025;292;294;-;604;621
12.01.2021;14:00;15:00;1.034;1.024;292;294;-;605;621
12.01.2021;15:00;16:00;1.036;1.024;298;296;-;605;623
12.01.2021;16:00;17:00;1.032;1.025;297;293;-;604;622
12.01.2021;17:00;18:00;1.035;1.027;298;294;-;606;622
12.01.2021;18:00;19:00;1.039;1.032;298;295;-;608;625
12.01.2021;19:00;20:00;1.037;1.031;298;294;-;607;623
12.01.2021;20:00;21:00;1.036;1.031;294;294;-;606;624
12.01.2021;21:00;22:00;1.036;1.029;294;294;-;607;623
12.01.2021;22:00;23:00;1.041;1.032;255;251;-;597;616
12.01.2021;23:00;00:00;1.039;1.030;146;135;-;476;493
13.01.2021;00:00;01:00;1.039;1.031;147;136;-;318;451
13.01.2021;01:00;02:00;1.037;1.026;145;136;-;264;264
13.01.2021;02:00;03:00;1.035;1.028;145;135;-;270;268
13.01.2021;03:00;04:00;1.037;1.025;144;134;-;267;268
13.01.2021;04:00;05:00;1.036;1.028;144;135;-;269;271
13.01.2021;05:00;06:00;1.035;1.028;153;148;-;283;457
13.01.2021;06:00;07:00;1.048;1.026;264;264;-;531;617
13.01.2021;07:00;08:00;1.052;1.028;297;296;-;605;621
13.01.2021;08:00;09:00;1.032;1.028;299;297;-;607;622
13.01.2021;09:00;10:00;1.031;1.028;298;296;-;606;622
13.01.2021;10:00;11:00;1.031;1.026;297;296;-;603;621
13.01.2021;11:00;12:00;1.031;1.029;293;260;-;560;623
13.01.2021;12:00;13:00;1.032;1.025;295;230;-;395;623
13.01.2021;13:00;14:00;1.028;1.030;293;229;-;307;622
13.01.2021;14:00;15:00;1.026;1.031;248;160;-;269;624
13.01.2021;15:00;16:00;1.020;1.026;247;141;-;269;624
13.01.2021;16:00;17:00;1.023;1.027;248;149;-;316;623
13.01.2021;17:00;18:00;1.024;1.025;275;214;-;554;621
13.01.2021;18:00;19:00;1.024;1.031;156;157;-;474;588
13.01.2021;19:00;20:00;1.032;1.032;148;144;-;435;562
13.01.2021;20:00;21:00;1.032;1.035;147;142;-;319;481
13.01.2021;21:00;22:00;1.032;1.031;146;141;-;270;421
13.01.2021;22:00;23:00;1.031;1.034;147;141;-;339;394
13.01.2021;23:00;00:00;1.033;1.039;146;141;-;267;283
14.01.2021;00:00;01:00;919;899;146;141;-;270;269
14.01.2021;01:00;02:00;913;882;145;141;-;269;269
14.01.2021;02:00;03:00;914;852;146;141;-;269;271
14.01.2021;03:00;04:00;969;928;145;141;-;269;267
14.01.2021;04:00;05:00;1.030;1.023;145;141;-;270;292
14.01.2021;05:00;06:00;1.027;1.031;146;143;-;288;399
14.01.2021;06:00;07:00;1.033;1.025;223;227;-;504;535
14.01.2021;07:00;08:00;1.028;1.028;293;292;-;564;602
14.01.2021;08:00;09:00;1.035;1.027;293;298;-;608;624
14.01.2021;09:00;10:00;1.033;1.029;296;300;-;607;625
14.01.2021;10:00;11:00;1.031;1.027;296;300;-;606;623
14.01.2021;11:00;12:00;1.035;1.027;294;300;-;607;624
14.01.2021;12:00;13:00;1.030;1.028;294;299;-;606;624
14.01.2021;13:00;14:00;1.031;1.030;294;294;-;605;623
14.01.2021;14:00;15:00;1.030;1.027;294;295;-;607;624
14.01.2021;15:00;16:00;1.034;1.028;294;294;-;606;624
14.01.2021;16:00;17:00;1.042;1.030;294;295;-;606;624
14.01.2021;17:00;18:00;1.038;1.030;295;299;-;606;624
14.01.2021;18:00;19:00;1.045;1.031;297;300;-;608;626
14.01.2021;19:00;20:00;1.041;1.030;296;301;-;610;626
14.01.2021;20:00;21:00;1.041;1.031;295;300;-;608;627
14.01.2021;21:00;22:00;1.048;1.034;266;298;-;610;612
14.01.2021;22:00;23:00;1.041;1.030;156;297;-;609;414
14.01.2021;23:00;00:00;1.044;1.028;154;297;-;610;614
15.01.2021;00:00;01:00;1.051;1.030;155;301;-;621;624
15.01.2021;01:00;02:00;1.056;1.028;154;300;-;622;623
15.01.2021;02:00;03:00;1.050;1.031;154;282;-;623;623
15.01.2021;03:00;04:00;1.052;1.029;155;269;-;622;623
15.01.2021;04:00;05:00;1.055;1.029;154;298;-;622;623
15.01.2021;05:00;06:00;1.052;1.027;155;301;-;621;623
15.01.2021;06:00;07:00;1.053;1.031;247;301;-;623;623
15.01.2021;07:00;08:00;1.046;1.027;290;300;-;622;623
15.01.2021;08:00;09:00;1.048;1.029;294;300;-;621;624
15.01.2021;09:00;10:00;1.052;1.028;283;300;-;622;622
15.01.2021;10:00;11:00;1.050;1.026;283;301;-;621;623
15.01.2021;11:00;12:00;1.053;1.028;282;300;-;621;623
15.01.2021;12:00;13:00;1.052;1.030;281;302;-;623;624
15.01.2021;13:00;14:00;1.052;1.026;291;302;-;622;622
15.01.2021;14:00;15:00;1.049;1.030;293;301;-;621;623
15.01.2021;15:00;16:00;1.050;1.029;293;300;-;622;624
15.01.2021;16:00;17:00;1.047;1.026;294;301;-;623;622
15.01.2021;17:00;18:00;1.046;1.029;293;301;-;621;622
15.01.2021;18:00;19:00;1.048;1.032;294;302;-;622;624
15.01.2021;19:00;20:00;1.049;1.028;294;301;-;624;625
15.01.2021;20:00;21:00;1.048;1.032;294;300;-;622;624
15.01.2021;21:00;22:00;1.052;1.032;265;298;-;624;626
15.01.2021;22:00;23:00;1.052;1.032;155;300;-;623;624
15.01.2021;23:00;00:00;1.049;1.032;155;299;-;623;624
16.01.2021;00:00;01:00;1.046;1.026;155;298;-;622;623
16.01.2021;01:00;02:00;1.050;1.029;154;301;-;623;577
16.01.2021;02:00;03:00;1.048;1.031;154;300;-;615;602
16.01.2021;03:00;04:00;1.046;1.028;154;299;-;618;620
16.01.2021;04:00;05:00;1.048;1.028;154;299;-;613;614
16.01.2021;05:00;06:00;1.049;1.030;155;300;-;623;467
16.01.2021;06:00;07:00;1.047;1.027;247;300;-;620;437
16.01.2021;07:00;08:00;1.050;1.029;294;299;-;621;436
16.01.2021;08:00;09:00;1.047;1.034;294;298;-;621;440
16.01.2021;09:00;10:00;1.041;1.029;295;299;-;621;600
16.01.2021;10:00;11:00;1.049;1.028;296;299;-;620;624
16.01.2021;11:00;12:00;1.045;1.026;295;298;-;621;625
16.01.2021;12:00;13:00;1.047;1.028;294;297;-;620;623
16.01.2021;13:00;14:00;1.044;1.027;297;301;-;619;623
16.01.2021;14:00;15:00;1.045;1.029;297;301;-;619;622
16.01.2021;15:00;16:00;1.045;1.028;297;300;-;618;622
16.01.2021;16:00;17:00;1.044;1.029;298;299;-;623;625
16.01.2021;17:00;18:00;1.047;1.027;297;299;-;617;621
16.01.2021;18:00;19:00;1.044;1.030;298;299;-;622;625
16.01.2021;19:00;20:00;1.044;1.030;297;300;-;621;596
16.01.2021;20:00;21:00;1.051;1.031;297;300;-;622;459
16.01.2021;21:00;22:00;1.047;1.033;213;302;-;624;443
16.01.2021;22:00;23:00;1.048;1.032;0;300;-;623;350
16.01.2021;23:00;00:00;1.049;1.035;0;300;-;622;400
17.01.2021;00:00;01:00;1.047;1.027;0;300;-;622;357
17.01.2021;01:00;02:00;1.045;1.027;0;299;-;622;357
17.01.2021;02:00;03:00;1.047;1.008;0;298;-;569;357
17.01.2021;03:00;04:00;1.044;822;0;300;-;424;356
17.01.2021;04:00;05:00;1.048;785;0;300;-;420;363
17.01.2021;05:00;06:00;1.048;786;0;300;-;421;402
17.01.2021;06:00;07:00;1.046;634;0;299;-;423;426
17.01.2021;07:00;08:00;1.044;703;0;299;-;420;572
17.01.2021;08:00;09:00;1.043;712;0;301;-;421;623
17.01.2021;09:00;10:00;1.045;710;0;300;-;419;622
17.01.2021;10:00;11:00;1.045;709;0;299;-;426;627
17.01.2021;11:00;12:00;1.026;709;0;299;-;592;620
17.01.2021;12:00;13:00;1.047;702;0;300;-;619;623
17.01.2021;13:00;14:00;1.042;704;0;299;-;619;622
17.01.2021;14:00;15:00;1.043;668;0;300;-;619;625
17.01.2021;15:00;16:00;1.044;516;0;299;-;618;623
17.01.2021;16:00;17:00;1.041;663;0;299;-;618;622
17.01.2021;17:00;18:00;1.043;763;0;300;-;619;623
17.01.2021;18:00;19:00;1.047;768;0;300;-;620;624
17.01.2021;19:00;20:00;1.045;767;0;300;-;619;624
17.01.2021;20:00;21:00;1.045;763;87;300;-;621;625
17.01.2021;21:00;22:00;1.048;693;255;300;-;620;623
17.01.2021;22:00;23:00;1.049;711;296;300;-;623;626
17.01.2021;23:00;00:00;1.046;714;298;301;-;620;624
18.01.2021;00:00;01:00;1.048;734;295;299;-;621;623
18.01.2021;01:00;02:00;1.051;743;295;299;-;622;623
18.01.2021;02:00;03:00;1.056;805;291;300;-;621;623
18.01.2021;03:00;04:00;1.051;929;292;299;-;621;622
18.01.2021;04:00;05:00;1.057;928;294;299;-;621;623
18.01.2021;05:00;06:00;1.052;929;294;301;-;622;623
18.01.2021;06:00;07:00;1.053;978;295;299;-;622;623
18.01.2021;07:00;08:00;1.051;980;294;300;-;622;623
18.01.2021;08:00;09:00;1.050;1.026;294;299;-;622;623
18.01.2021;09:00;10:00;1.053;1.024;295;300;-;618;624
18.01.2021;10:00;11:00;1.051;1.029;294;299;-;618;621
18.01.2021;11:00;12:00;1.048;1.028;296;299;-;618;621
18.01.2021;12:00;13:00;1.050;1.026;296;299;-;619;622
18.01.2021;13:00;14:00;1.051;1.027;295;299;-;620;623
18.01.2021;14:00;15:00;1.054;1.026;294;299;-;617;620
18.01.2021;15:00;16:00;1.054;1.030;294;297;-;619;624
18.01.2021;16:00;17:00;1.055;1.030;295;300;-;618;621
18.01.2021;17:00;18:00;1.053;1.027;295;300;-;619;623
18.01.2021;18:00;19:00;1.057;1.032;295;299;-;619;623
18.01.2021;19:00;20:00;1.058;1.030;295;302;-;619;623
18.01.2021;20:00;21:00;1.052;1.029;295;300;-;620;623
18.01.2021;21:00;22:00;1.056;1.030;295;301;-;621;625
