Datum;Anfang;Ende;Generation_DE Heizkraftwerk Wedel Block 2 [MW] Originalauflösungen;Generation_DE Heizkraftwerk Wedel Block 1 [MW] Originalauflösungen;Generation_DE GTKW Wedel [MW] Originalauflösungen
12.01.2023;13:00;14:00;45;51;-
12.01.2023;14:00;15:00;53;54;-
12.01.2023;15:00;16:00;54;56;-
12.01.2023;16:00;17:00;49;56;-
12.01.2023;17:00;18:00;48;52;-
12.01.2023;18:00;19:00;47;52;-
12.01.2023;19:00;20:00;46;53;-
12.01.2023;20:00;21:00;46;54;-
12.01.2023;21:00;22:00;46;53;-
12.01.2023;22:00;23:00;48;53;-
12.01.2023;23:00;00:00;43;51;-
13.01.2023;00:00;01:00;38;52;-
13.01.2023;01:00;02:00;37;51;-
13.01.2023;02:00;03:00;37;50;-
13.01.2023;03:00;04:00;37;51;-
13.01.2023;04:00;05:00;37;51;-
13.01.2023;05:00;06:00;42;50;-
13.01.2023;06:00;07:00;47;50;-
13.01.2023;07:00;08:00;42;49;-
13.01.2023;08:00;09:00;42;51;-
13.01.2023;09:00;10:00;43;54;-
13.01.2023;10:00;11:00;43;49;-
13.01.2023;11:00;12:00;51;47;-
13.01.2023;12:00;13:00;45;54;-
13.01.2023;13:00;14:00;43;54;-
13.01.2023;14:00;15:00;43;55;-
13.01.2023;15:00;16:00;43;56;-
13.01.2023;16:00;17:00;46;55;-
13.01.2023;17:00;18:00;45;55;-
13.01.2023;18:00;19:00;45;55;-
13.01.2023;19:00;20:00;47;54;-
13.01.2023;20:00;21:00;46;54;-
13.01.2023;21:00;22:00;47;54;-
13.01.2023;22:00;23:00;51;57;-
13.01.2023;23:00;00:00;45;54;-
14.01.2023;00:00;01:00;43;54;-
14.01.2023;01:00;02:00;45;50;-
14.01.2023;02:00;03:00;46;50;-
14.01.2023;03:00;04:00;46;50;-
14.01.2023;04:00;05:00;46;50;-
14.01.2023;05:00;06:00;46;50;-
14.01.2023;06:00;07:00;43;51;-
14.01.2023;07:00;08:00;42;53;-
14.01.2023;08:00;09:00;42;52;-
14.01.2023;09:00;10:00;42;51;-
14.01.2023;10:00;11:00;43;51;-
14.01.2023;11:00;12:00;43;51;-
14.01.2023;12:00;13:00;43;53;-
14.01.2023;13:00;14:00;43;53;-
14.01.2023;14:00;15:00;45;53;-
14.01.2023;15:00;16:00;44;53;-
14.01.2023;16:00;17:00;44;53;-
14.01.2023;17:00;18:00;45;55;-
14.01.2023;18:00;19:00;44;57;-
14.01.2023;19:00;20:00;55;54;-
14.01.2023;20:00;21:00;47;1;-
14.01.2023;21:00;22:00;33;0;-
14.01.2023;22:00;23:00;33;0;-
14.01.2023;23:00;00:00;33;0;-
15.01.2023;00:00;01:00;33;0;-
15.01.2023;01:00;02:00;33;0;-
15.01.2023;02:00;03:00;34;0;-
15.01.2023;03:00;04:00;34;0;-
15.01.2023;04:00;05:00;34;0;-
15.01.2023;05:00;06:00;35;0;-
15.01.2023;06:00;07:00;32;0;-
15.01.2023;07:00;08:00;32;0;-
15.01.2023;08:00;09:00;33;0;-
15.01.2023;09:00;10:00;34;0;-
15.01.2023;10:00;11:00;37;0;-
15.01.2023;11:00;12:00;36;0;-
15.01.2023;12:00;13:00;34;0;-
15.01.2023;13:00;14:00;34;0;-
15.01.2023;14:00;15:00;36;0;-
15.01.2023;15:00;16:00;36;0;-
15.01.2023;16:00;17:00;36;0;-
15.01.2023;17:00;18:00;36;0;-
15.01.2023;18:00;19:00;36;0;-
15.01.2023;19:00;20:00;34;0;-
15.01.2023;20:00;21:00;34;0;-
15.01.2023;21:00;22:00;34;0;-
15.01.2023;22:00;23:00;47;1;-
15.01.2023;23:00;00:00;65;25;-
16.01.2023;00:00;01:00;61;45;-
16.01.2023;01:00;02:00;59;46;-
16.01.2023;02:00;03:00;60;46;-
16.01.2023;03:00;04:00;59;46;-
16.01.2023;04:00;05:00;60;53;-
16.01.2023;05:00;06:00;62;47;-
16.01.2023;06:00;07:00;76;62;-
16.01.2023;07:00;08:00;92;99;-
16.01.2023;08:00;09:00;92;103;-
16.01.2023;09:00;10:00;84;93;-
16.01.2023;10:00;11:00;52;49;-
16.01.2023;11:00;12:00;52;55;-
16.01.2023;12:00;13:00;54;52;-
16.01.2023;13:00;14:00;54;52;-
16.01.2023;14:00;15:00;50;56;-
16.01.2023;15:00;16:00;50;63;-
16.01.2023;16:00;17:00;50;63;-
16.01.2023;17:00;18:00;49;64;-
16.01.2023;18:00;19:00;50;64;-
16.01.2023;19:00;20:00;51;60;-
16.01.2023;20:00;21:00;50;57;-
16.01.2023;21:00;22:00;51;60;-
16.01.2023;22:00;23:00;51;59;-
16.01.2023;23:00;00:00;51;56;-
17.01.2023;00:00;01:00;52;58;-
17.01.2023;01:00;02:00;54;60;-
17.01.2023;02:00;03:00;54;59;-
17.01.2023;03:00;04:00;53;59;-
17.01.2023;04:00;05:00;53;57;-
17.01.2023;05:00;06:00;52;59;-
17.01.2023;06:00;07:00;62;66;-
17.01.2023;07:00;08:00;96;91;-
17.01.2023;08:00;09:00;97;93;-
17.01.2023;09:00;10:00;96;94;-
17.01.2023;10:00;11:00;79;92;-
17.01.2023;11:00;12:00;52;94;-
17.01.2023;12:00;13:00;51;94;-
17.01.2023;13:00;14:00;54;93;-
17.01.2023;14:00;15:00;92;92;-
17.01.2023;15:00;16:00;95;93;-
17.01.2023;16:00;17:00;96;95;-
17.01.2023;17:00;18:00;96;92;-
17.01.2023;18:00;19:00;95;93;-
17.01.2023;19:00;20:00;93;91;-
17.01.2023;20:00;21:00;94;93;-
17.01.2023;21:00;22:00;95;93;-
17.01.2023;22:00;23:00;93;91;-
17.01.2023;23:00;00:00;91;93;-
18.01.2023;00:00;01:00;92;92;-
18.01.2023;01:00;02:00;91;90;-
18.01.2023;02:00;03:00;91;91;-
18.01.2023;03:00;04:00;93;90;-
18.01.2023;04:00;05:00;93;90;-
18.01.2023;05:00;06:00;91;90;-
18.01.2023;06:00;07:00;93;89;-
18.01.2023;07:00;08:00;36;86;-
18.01.2023;08:00;09:00;0;80;-
18.01.2023;09:00;10:00;0;79;-
18.01.2023;10:00;11:00;0;81;-
