Datum;Anfang;Ende;Generation_DE HKW Reuter West Dampfturbine D [MW] Originalauflösungen;Generation_DE HKW Reuter West Dampfturbine E [MW] Originalauflösungen
11.04.2023;03:00;04:00;119;0
11.04.2023;04:00;05:00;120;0
11.04.2023;05:00;06:00;118;0
11.04.2023;06:00;07:00;120;0
11.04.2023;07:00;08:00;119;0
11.04.2023;08:00;09:00;118;0
11.04.2023;09:00;10:00;118;0
11.04.2023;10:00;11:00;119;0
11.04.2023;11:00;12:00;117;0
11.04.2023;12:00;13:00;118;0
11.04.2023;13:00;14:00;116;0
11.04.2023;14:00;15:00;115;0
11.04.2023;15:00;16:00;113;0
11.04.2023;16:00;17:00;117;0
11.04.2023;17:00;18:00;117;0
11.04.2023;18:00;19:00;118;0
11.04.2023;19:00;20:00;117;0
11.04.2023;20:00;21:00;118;0
11.04.2023;21:00;22:00;116;0
11.04.2023;22:00;23:00;118;0
11.04.2023;23:00;00:00;117;0
12.04.2023;00:00;01:00;118;0
12.04.2023;01:00;02:00;118;0
12.04.2023;02:00;03:00;118;0
12.04.2023;03:00;04:00;117;0
12.04.2023;04:00;05:00;119;0
12.04.2023;05:00;06:00;118;0
12.04.2023;06:00;07:00;117;0
12.04.2023;07:00;08:00;117;0
12.04.2023;08:00;09:00;115;0
12.04.2023;09:00;10:00;112;0
12.04.2023;10:00;11:00;102;0
12.04.2023;11:00;12:00;90;0
12.04.2023;12:00;13:00;76;0
12.04.2023;13:00;14:00;48;0
12.04.2023;14:00;15:00;40;0
12.04.2023;15:00;16:00;41;0
12.04.2023;16:00;17:00;68;0
12.04.2023;17:00;18:00;117;0
12.04.2023;18:00;19:00;118;0
12.04.2023;19:00;20:00;117;0
12.04.2023;20:00;21:00;116;0
12.04.2023;21:00;22:00;117;0
12.04.2023;22:00;23:00;117;0
12.04.2023;23:00;00:00;118;0
13.04.2023;00:00;01:00;116;0
13.04.2023;01:00;02:00;117;0
13.04.2023;02:00;03:00;117;0
13.04.2023;03:00;04:00;117;0
13.04.2023;04:00;05:00;117;0
13.04.2023;05:00;06:00;116;0
13.04.2023;06:00;07:00;117;0
13.04.2023;07:00;08:00;117;0
13.04.2023;08:00;09:00;117;0
13.04.2023;09:00;10:00;100;0
13.04.2023;10:00;11:00;28;0
13.04.2023;11:00;12:00;19;0
13.04.2023;12:00;13:00;19;0
13.04.2023;13:00;14:00;19;0
