Datum;Anfang;Ende;Generation_DE Heizkraftwerk West Block 1 [MW] Originalauflösungen;Generation_DE Heizkraftwerk West Block 2 [MW] Originalauflösungen
09.01.2023;22:00;23:00;52;50
09.01.2023;23:00;00:00;51;50
10.01.2023;00:00;01:00;70;63
10.01.2023;01:00;02:00;71;70
10.01.2023;02:00;03:00;74;73
10.01.2023;03:00;04:00;77;74
10.01.2023;04:00;05:00;75;73
10.01.2023;05:00;06:00;58;64
10.01.2023;06:00;07:00;64;66
10.01.2023;07:00;08:00;82;66
10.01.2023;08:00;09:00;86;65
10.01.2023;09:00;10:00;88;65
10.01.2023;10:00;11:00;89;57
10.01.2023;11:00;12:00;89;61
10.01.2023;12:00;13:00;88;61
10.01.2023;13:00;14:00;86;59
10.01.2023;14:00;15:00;75;55
10.01.2023;15:00;16:00;75;57
10.01.2023;16:00;17:00;75;56
10.01.2023;17:00;18:00;55;56
10.01.2023;18:00;19:00;52;55
10.01.2023;19:00;20:00;56;61
10.01.2023;20:00;21:00;56;61
10.01.2023;21:00;22:00;56;61
10.01.2023;22:00;23:00;56;60
10.01.2023;23:00;00:00;56;55
11.01.2023;00:00;01:00;70;71
11.01.2023;01:00;02:00;68;69
11.01.2023;02:00;03:00;55;55
11.01.2023;03:00;04:00;50;49
11.01.2023;04:00;05:00;51;51
11.01.2023;05:00;06:00;50;54
11.01.2023;06:00;07:00;59;58
11.01.2023;07:00;08:00;66;62
11.01.2023;08:00;09:00;65;62
11.01.2023;09:00;10:00;66;62
11.01.2023;10:00;11:00;66;62
11.01.2023;11:00;12:00;65;62
11.01.2023;12:00;13:00;66;62
11.01.2023;13:00;14:00;63;62
11.01.2023;14:00;15:00;51;56
11.01.2023;15:00;16:00;39;56
11.01.2023;16:00;17:00;40;56
11.01.2023;17:00;18:00;38;40
11.01.2023;18:00;19:00;37;38
11.01.2023;19:00;20:00;37;39
11.01.2023;20:00;21:00;37;40
11.01.2023;21:00;22:00;38;39
11.01.2023;22:00;23:00;40;39
11.01.2023;23:00;00:00;40;39
12.01.2023;00:00;01:00;41;39
12.01.2023;01:00;02:00;40;39
12.01.2023;02:00;03:00;38;38
12.01.2023;03:00;04:00;38;38
12.01.2023;04:00;05:00;38;38
12.01.2023;05:00;06:00;53;38
12.01.2023;06:00;07:00;66;39
12.01.2023;07:00;08:00;64;38
12.01.2023;08:00;09:00;61;38
12.01.2023;09:00;10:00;60;38
12.01.2023;10:00;11:00;56;38
12.01.2023;11:00;12:00;62;38
12.01.2023;12:00;13:00;82;68
12.01.2023;13:00;14:00;77;69
12.01.2023;14:00;15:00;71;69
12.01.2023;15:00;16:00;76;67
12.01.2023;16:00;17:00;60;59
12.01.2023;17:00;18:00;60;59
12.01.2023;18:00;19:00;56;57
12.01.2023;19:00;20:00;55;57
12.01.2023;20:00;21:00;54;57
12.01.2023;21:00;22:00;54;57
12.01.2023;22:00;23:00;40;53
12.01.2023;23:00;00:00;38;38
13.01.2023;00:00;01:00;39;39
13.01.2023;01:00;02:00;39;39
13.01.2023;02:00;03:00;39;38
13.01.2023;03:00;04:00;39;39
13.01.2023;04:00;05:00;39;39
13.01.2023;05:00;06:00;38;39
13.01.2023;06:00;07:00;42;40
13.01.2023;07:00;08:00;55;40
13.01.2023;08:00;09:00;56;56
13.01.2023;09:00;10:00;60;62
13.01.2023;10:00;11:00;55;41
13.01.2023;11:00;12:00;68;37
13.01.2023;12:00;13:00;56;38
13.01.2023;13:00;14:00;56;38
13.01.2023;14:00;15:00;55;38
13.01.2023;15:00;16:00;60;42
13.01.2023;16:00;17:00;69;51
13.01.2023;17:00;18:00;61;57
13.01.2023;18:00;19:00;55;56
13.01.2023;19:00;20:00;60;62
13.01.2023;20:00;21:00;60;58
13.01.2023;21:00;22:00;65;63
13.01.2023;22:00;23:00;56;61
13.01.2023;23:00;00:00;42;60
14.01.2023;00:00;01:00;39;61
14.01.2023;01:00;02:00;39;61
14.01.2023;02:00;03:00;39;62
14.01.2023;03:00;04:00;40;61
14.01.2023;04:00;05:00;40;61
14.01.2023;05:00;06:00;39;60
14.01.2023;06:00;07:00;40;51
14.01.2023;07:00;08:00;39;67
14.01.2023;08:00;09:00;39;75
14.01.2023;09:00;10:00;39;66
14.01.2023;10:00;11:00;39;53
14.01.2023;11:00;12:00;39;60
14.01.2023;12:00;13:00;40;61
14.01.2023;13:00;14:00;38;61
14.01.2023;14:00;15:00;39;61
14.01.2023;15:00;16:00;39;65
14.01.2023;16:00;17:00;40;66
14.01.2023;17:00;18:00;37;61
14.01.2023;18:00;19:00;38;61
14.01.2023;19:00;20:00;37;61
14.01.2023;20:00;21:00;38;57
14.01.2023;21:00;22:00;38;41
14.01.2023;22:00;23:00;38;35
14.01.2023;23:00;00:00;37;36
15.01.2023;00:00;01:00;37;37
15.01.2023;01:00;02:00;38;36
15.01.2023;02:00;03:00;37;36
15.01.2023;03:00;04:00;37;36
15.01.2023;04:00;05:00;38;36
15.01.2023;05:00;06:00;37;39
15.01.2023;06:00;07:00;37;40
15.01.2023;07:00;08:00;37;52
15.01.2023;08:00;09:00;38;51
15.01.2023;09:00;10:00;37;51
15.01.2023;10:00;11:00;37;51
15.01.2023;11:00;12:00;38;51
15.01.2023;12:00;13:00;38;52
15.01.2023;13:00;14:00;37;56
15.01.2023;14:00;15:00;38;56
15.01.2023;15:00;16:00;37;56
15.01.2023;16:00;17:00;37;57
15.01.2023;17:00;18:00;42;61
15.01.2023;18:00;19:00;70;66
15.01.2023;19:00;20:00;70;66
15.01.2023;20:00;21:00;70;65
15.01.2023;21:00;22:00;63;65
15.01.2023;22:00;23:00;56;61
15.01.2023;23:00;00:00;55;61
16.01.2023;00:00;01:00;43;34
16.01.2023;01:00;02:00;44;38
16.01.2023;02:00;03:00;44;38
16.01.2023;03:00;04:00;44;39
16.01.2023;04:00;05:00;43;58
16.01.2023;05:00;06:00;58;67
16.01.2023;06:00;07:00;77;71
16.01.2023;07:00;08:00;82;76
16.01.2023;08:00;09:00;102;102
16.01.2023;09:00;10:00;107;104
16.01.2023;10:00;11:00;103;105
16.01.2023;11:00;12:00;118;120
16.01.2023;12:00;13:00;116;116
16.01.2023;13:00;14:00;110;111
16.01.2023;14:00;15:00;101;93
16.01.2023;15:00;16:00;107;103
16.01.2023;16:00;17:00;101;109
16.01.2023;17:00;18:00;108;111
16.01.2023;18:00;19:00;106;100
16.01.2023;19:00;20:00;107;105
16.01.2023;20:00;21:00;101;102
16.01.2023;21:00;22:00;70;79
16.01.2023;22:00;23:00;69;61
16.01.2023;23:00;00:00;61;61
17.01.2023;00:00;01:00;40;40
17.01.2023;01:00;02:00;40;40
17.01.2023;02:00;03:00;40;41
17.01.2023;03:00;04:00;40;41
17.01.2023;04:00;05:00;41;41
17.01.2023;05:00;06:00;41;40
17.01.2023;06:00;07:00;53;40
17.01.2023;07:00;08:00;61;40
17.01.2023;08:00;09:00;59;49
17.01.2023;09:00;10:00;60;62
17.01.2023;10:00;11:00;60;60
17.01.2023;11:00;12:00;61;62
17.01.2023;12:00;13:00;60;61
17.01.2023;13:00;14:00;60;61
17.01.2023;14:00;15:00;78;79
17.01.2023;15:00;16:00;116;116
17.01.2023;16:00;17:00;105;105
17.01.2023;17:00;18:00;99;102
17.01.2023;18:00;19:00;96;104
17.01.2023;19:00;20:00;93;103
17.01.2023;20:00;21:00;70;80
17.01.2023;21:00;22:00;69;79
17.01.2023;22:00;23:00;69;79
17.01.2023;23:00;00:00;69;80
18.01.2023;00:00;01:00;69;80
18.01.2023;01:00;02:00;0;0
18.01.2023;02:00;03:00;0;0
18.01.2023;03:00;04:00;0;0
18.01.2023;04:00;05:00;0;0
18.01.2023;05:00;06:00;0;0
18.01.2023;06:00;07:00;0;0
18.01.2023;07:00;08:00;0;0
18.01.2023;08:00;09:00;79;81
18.01.2023;09:00;10:00;95;95
18.01.2023;10:00;11:00;95;100
18.01.2023;11:00;12:00;75;79
18.01.2023;12:00;13:00;67;79
18.01.2023;13:00;14:00;73;75
18.01.2023;14:00;15:00;68;72
18.01.2023;15:00;16:00;70;118
18.01.2023;16:00;17:00;70;115
18.01.2023;17:00;18:00;67;103
18.01.2023;18:00;19:00;75;99
18.01.2023;19:00;20:00;94;99
18.01.2023;20:00;21:00;96;99
18.01.2023;21:00;22:00;95;98
18.01.2023;22:00;23:00;86;89
18.01.2023;23:00;00:00;88;88
19.01.2023;00:00;01:00;86;84
19.01.2023;01:00;02:00;82;84
19.01.2023;02:00;03:00;80;81
19.01.2023;03:00;04:00;69;88
19.01.2023;04:00;05:00;69;88
19.01.2023;05:00;06:00;71;93
19.01.2023;06:00;07:00;78;97
19.01.2023;07:00;08:00;96;98
19.01.2023;08:00;09:00;115;115
19.01.2023;09:00;10:00;88;87
19.01.2023;10:00;11:00;69;80
19.01.2023;11:00;12:00;66;84
19.01.2023;12:00;13:00;66;85
19.01.2023;13:00;14:00;66;86
19.01.2023;14:00;15:00;104;112
19.01.2023;15:00;16:00;112;114
19.01.2023;16:00;17:00;115;120
19.01.2023;17:00;18:00;118;101
19.01.2023;18:00;19:00;119;93
19.01.2023;19:00;20:00;116;107
19.01.2023;20:00;21:00;115;111
19.01.2023;21:00;22:00;115;111
19.01.2023;22:00;23:00;109;111
19.01.2023;23:00;00:00;72;91
20.01.2023;00:00;01:00;59;63
20.01.2023;01:00;02:00;58;57
20.01.2023;02:00;03:00;56;58
20.01.2023;03:00;04:00;55;58
20.01.2023;04:00;05:00;57;62
20.01.2023;05:00;06:00;57;64
20.01.2023;06:00;07:00;93;101
20.01.2023;07:00;08:00;107;110
20.01.2023;08:00;09:00;110;110
20.01.2023;09:00;10:00;110;111
20.01.2023;10:00;11:00;102;107
20.01.2023;11:00;12:00;99;101
20.01.2023;12:00;13:00;97;94
20.01.2023;13:00;14:00;93;98
20.01.2023;14:00;15:00;88;93
20.01.2023;15:00;16:00;91;87
20.01.2023;16:00;17:00;93;94
20.01.2023;17:00;18:00;93;94
20.01.2023;18:00;19:00;105;96
20.01.2023;19:00;20:00;111;90
20.01.2023;20:00;21:00;114;85
20.01.2023;21:00;22:00;106;81
20.01.2023;22:00;23:00;111;79
20.01.2023;23:00;00:00;92;61
21.01.2023;00:00;01:00;91;62
21.01.2023;01:00;02:00;95;62
21.01.2023;02:00;03:00;103;61
21.01.2023;03:00;04:00;105;60
21.01.2023;04:00;05:00;109;60
21.01.2023;05:00;06:00;109;62
21.01.2023;06:00;07:00;91;67
21.01.2023;07:00;08:00;93;70
21.01.2023;08:00;09:00;89;69
21.01.2023;09:00;10:00;82;64
21.01.2023;10:00;11:00;51;61
21.01.2023;11:00;12:00;49;59
21.01.2023;12:00;13:00;36;57
21.01.2023;13:00;14:00;34;42
21.01.2023;14:00;15:00;54;34
21.01.2023;15:00;16:00;62;35
21.01.2023;16:00;17:00;64;35
21.01.2023;17:00;18:00;35;35
21.01.2023;18:00;19:00;33;34
21.01.2023;19:00;20:00;33;35
21.01.2023;20:00;21:00;34;35
21.01.2023;21:00;22:00;34;34
21.01.2023;22:00;23:00;34;36
21.01.2023;23:00;00:00;34;34
22.01.2023;00:00;01:00;34;34
22.01.2023;01:00;02:00;34;35
22.01.2023;02:00;03:00;35;35
22.01.2023;03:00;04:00;34;35
22.01.2023;04:00;05:00;34;35
22.01.2023;05:00;06:00;35;38
22.01.2023;06:00;07:00;34;38
22.01.2023;07:00;08:00;34;38
22.01.2023;08:00;09:00;34;38
22.01.2023;09:00;10:00;34;38
22.01.2023;10:00;11:00;34;38
22.01.2023;11:00;12:00;34;38
22.01.2023;12:00;13:00;34;38
22.01.2023;13:00;14:00;34;38
22.01.2023;14:00;15:00;34;39
22.01.2023;15:00;16:00;34;38
22.01.2023;16:00;17:00;34;39
22.01.2023;17:00;18:00;36;40
22.01.2023;18:00;19:00;64;65
22.01.2023;19:00;20:00;66;65
22.01.2023;20:00;21:00;64;65
22.01.2023;21:00;22:00;65;64
22.01.2023;22:00;23:00;65;65
22.01.2023;23:00;00:00;64;66
23.01.2023;00:00;01:00;68;67
23.01.2023;01:00;02:00;70;71
23.01.2023;02:00;03:00;70;68
23.01.2023;03:00;04:00;70;69
23.01.2023;04:00;05:00;0;0
23.01.2023;05:00;06:00;0;0
23.01.2023;06:00;07:00;0;0
23.01.2023;07:00;08:00;0;0
23.01.2023;08:00;09:00;46;57
23.01.2023;09:00;10:00;92;113
23.01.2023;10:00;11:00;93;113
23.01.2023;11:00;12:00;93;113
23.01.2023;12:00;13:00;92;113
23.01.2023;13:00;14:00;85;115
23.01.2023;14:00;15:00;86;116
23.01.2023;15:00;16:00;89;119
23.01.2023;16:00;17:00;93;119
23.01.2023;17:00;18:00;102;104
23.01.2023;18:00;19:00;96;98
23.01.2023;19:00;20:00;98;98
23.01.2023;20:00;21:00;98;96
23.01.2023;21:00;22:00;100;98
23.01.2023;22:00;23:00;105;103
23.01.2023;23:00;00:00;106;102
24.01.2023;00:00;01:00;78;85
24.01.2023;01:00;02:00;67;81
24.01.2023;02:00;03:00;66;68
24.01.2023;03:00;04:00;65;67
24.01.2023;04:00;05:00;68;64
24.01.2023;05:00;06:00;82;104
24.01.2023;06:00;07:00;88;105
24.01.2023;07:00;08:00;100;102
24.01.2023;08:00;09:00;95;98
24.01.2023;09:00;10:00;101;106
24.01.2023;10:00;11:00;90;95
24.01.2023;11:00;12:00;103;105
24.01.2023;12:00;13:00;102;102
24.01.2023;13:00;14:00;101;102
24.01.2023;14:00;15:00;98;102
24.01.2023;15:00;16:00;95;100
24.01.2023;16:00;17:00;63;85
24.01.2023;17:00;18:00;67;99
24.01.2023;18:00;19:00;74;112
24.01.2023;19:00;20:00;65;90
24.01.2023;20:00;21:00;58;64
24.01.2023;21:00;22:00;58;61
24.01.2023;22:00;23:00;59;62
24.01.2023;23:00;00:00;60;67
25.01.2023;00:00;01:00;67;71
25.01.2023;01:00;02:00;65;74
25.01.2023;02:00;03:00;68;71
25.01.2023;03:00;04:00;70;71
25.01.2023;04:00;05:00;70;68
25.01.2023;05:00;06:00;77;69
25.01.2023;06:00;07:00;92;81
25.01.2023;07:00;08:00;92;84
25.01.2023;08:00;09:00;101;97
25.01.2023;09:00;10:00;107;87
25.01.2023;10:00;11:00;100;85
25.01.2023;11:00;12:00;100;90
25.01.2023;12:00;13:00;104;92
25.01.2023;13:00;14:00;102;96
25.01.2023;14:00;15:00;88;103
25.01.2023;15:00;16:00;109;117
25.01.2023;16:00;17:00;98;109
25.01.2023;17:00;18:00;107;90
25.01.2023;18:00;19:00;103;103
