Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE E [MW] Originalauflösungen;Generation_DE Weisweiler G VGT [MW] Originalauflösungen;Generation_DE Weisweiler H VGT [MW] Originalauflösungen;Generation_DE Weisweiler F [MW] Originalauflösungen;Generation_DE Weisweiler G [MW] Originalauflösungen;Generation_DE Weisweiler H [MW] Originalauflösungen
07.01.2017;18:00;19:00;-;-;320;0;0;321;658;662
07.01.2017;19:00;20:00;-;-;317;0;0;325;661;663
07.01.2017;20:00;21:00;-;-;318;0;0;323;656;665
07.01.2017;21:00;22:00;-;-;319;0;0;320;659;661
07.01.2017;22:00;23:00;-;-;319;0;0;320;659;663
07.01.2017;23:00;00:00;-;-;318;0;0;325;660;663
08.01.2017;00:00;01:00;-;-;319;0;0;321;661;662
08.01.2017;01:00;02:00;-;-;318;0;0;322;662;663
08.01.2017;02:00;03:00;-;-;318;0;0;319;662;660
08.01.2017;03:00;04:00;-;-;319;0;0;326;663;662
08.01.2017;04:00;05:00;-;-;321;0;0;323;665;662
08.01.2017;05:00;06:00;-;-;318;0;0;319;665;663
08.01.2017;06:00;07:00;-;-;318;0;0;323;663;661
08.01.2017;07:00;08:00;-;-;320;0;0;325;665;659
08.01.2017;08:00;09:00;-;-;321;0;0;322;665;659
08.01.2017;09:00;10:00;-;-;321;0;0;324;664;659
08.01.2017;10:00;11:00;-;-;320;0;0;323;665;661
08.01.2017;11:00;12:00;-;-;319;0;0;322;665;662
08.01.2017;12:00;13:00;-;-;321;0;0;324;665;661
08.01.2017;13:00;14:00;-;-;321;0;0;323;667;659
08.01.2017;14:00;15:00;-;-;320;0;0;324;665;659
08.01.2017;15:00;16:00;-;-;319;0;0;321;666;661
08.01.2017;16:00;17:00;-;-;319;0;0;323;666;660
08.01.2017;17:00;18:00;-;-;321;0;0;321;667;659
08.01.2017;18:00;19:00;-;-;319;0;0;321;662;661
08.01.2017;19:00;20:00;-;-;321;0;0;326;662;658
08.01.2017;20:00;21:00;-;-;321;0;0;321;664;660
08.01.2017;21:00;22:00;-;-;319;0;0;323;663;656
08.01.2017;22:00;23:00;-;-;319;0;0;321;663;657
08.01.2017;23:00;00:00;-;-;319;0;0;324;667;660
09.01.2017;00:00;01:00;-;-;319;0;0;323;669;660
09.01.2017;01:00;02:00;-;-;320;0;0;321;664;661
09.01.2017;02:00;03:00;-;-;318;0;0;322;662;659
09.01.2017;03:00;04:00;-;-;321;0;0;324;665;659
09.01.2017;04:00;05:00;-;-;321;0;0;321;665;656
09.01.2017;05:00;06:00;-;-;321;0;0;324;665;660
09.01.2017;06:00;07:00;-;-;321;0;0;322;663;658
09.01.2017;07:00;08:00;-;-;321;0;0;322;661;659
09.01.2017;08:00;09:00;-;-;322;0;0;324;662;662
09.01.2017;09:00;10:00;-;-;320;0;0;323;662;659
09.01.2017;10:00;11:00;-;-;318;0;0;322;659;657
09.01.2017;11:00;12:00;-;-;316;0;0;321;660;656
09.01.2017;12:00;13:00;-;-;311;0;0;324;660;656
09.01.2017;13:00;14:00;-;-;311;0;0;321;663;656
09.01.2017;14:00;15:00;-;-;317;0;0;321;659;655
09.01.2017;15:00;16:00;-;-;319;0;0;324;659;655
09.01.2017;16:00;17:00;-;-;317;0;0;323;661;655
09.01.2017;17:00;18:00;-;-;316;0;0;320;662;654
09.01.2017;18:00;19:00;-;-;320;0;0;326;664;658
09.01.2017;19:00;20:00;-;-;322;0;0;319;669;660
09.01.2017;20:00;21:00;-;-;321;0;0;324;661;660
09.01.2017;21:00;22:00;-;-;317;0;0;324;663;660
09.01.2017;22:00;23:00;-;-;315;0;0;322;664;658
09.01.2017;23:00;00:00;-;-;318;0;0;324;663;659
10.01.2017;00:00;01:00;-;-;313;0;0;323;667;661
10.01.2017;01:00;02:00;-;-;312;0;0;321;661;657
10.01.2017;02:00;03:00;-;-;307;0;0;319;665;661
10.01.2017;03:00;04:00;-;-;307;0;0;324;585;574
10.01.2017;04:00;05:00;-;-;317;0;0;325;553;558
10.01.2017;05:00;06:00;-;-;320;0;0;319;556;558
10.01.2017;06:00;07:00;-;-;318;0;0;323;555;558
10.01.2017;07:00;08:00;-;-;317;0;0;323;554;558
10.01.2017;08:00;09:00;-;-;320;0;0;324;642;636
10.01.2017;09:00;10:00;-;-;320;0;0;323;665;661
10.01.2017;10:00;11:00;-;-;320;0;0;324;662;658
10.01.2017;11:00;12:00;-;-;320;0;0;325;664;660
10.01.2017;12:00;13:00;-;-;320;0;0;320;666;662
10.01.2017;13:00;14:00;-;-;319;0;0;318;663;658
10.01.2017;14:00;15:00;-;-;318;0;0;324;667;658
10.01.2017;15:00;16:00;-;-;319;0;0;323;666;657
10.01.2017;16:00;17:00;-;-;322;0;0;324;664;659
10.01.2017;17:00;18:00;-;-;321;0;0;317;661;661
10.01.2017;18:00;19:00;-;-;318;0;0;324;663;663
10.01.2017;19:00;20:00;-;-;317;0;0;324;664;663
10.01.2017;20:00;21:00;-;-;319;0;0;324;662;659
10.01.2017;21:00;22:00;-;-;320;0;0;322;664;658
10.01.2017;22:00;23:00;-;-;319;0;0;324;667;663
10.01.2017;23:00;00:00;-;-;322;0;0;324;666;659
11.01.2017;00:00;01:00;-;-;320;0;0;321;665;658
11.01.2017;01:00;02:00;-;-;320;0;0;324;668;660
11.01.2017;02:00;03:00;-;-;319;0;0;322;668;659
11.01.2017;03:00;04:00;-;-;318;0;0;325;668;658
11.01.2017;04:00;05:00;-;-;323;0;0;322;667;618
11.01.2017;05:00;06:00;-;-;318;0;0;322;662;511
11.01.2017;06:00;07:00;-;-;313;0;0;326;657;510
11.01.2017;07:00;08:00;-;-;316;0;0;323;655;510
11.01.2017;08:00;09:00;-;-;316;0;0;326;660;627
11.01.2017;09:00;10:00;-;-;314;0;0;324;662;658
11.01.2017;10:00;11:00;-;-;314;0;0;323;665;660
11.01.2017;11:00;12:00;-;-;317;0;0;327;664;656
11.01.2017;12:00;13:00;-;-;316;0;0;322;664;654
11.01.2017;13:00;14:00;-;-;313;0;0;325;661;653
11.01.2017;14:00;15:00;-;-;311;0;0;322;662;657
11.01.2017;15:00;16:00;-;-;314;0;0;324;661;660
11.01.2017;16:00;17:00;-;-;313;0;0;326;662;658
11.01.2017;17:00;18:00;-;-;316;0;0;323;664;658
11.01.2017;18:00;19:00;-;-;313;0;0;326;663;660
11.01.2017;19:00;20:00;-;-;314;0;0;324;663;661
11.01.2017;20:00;21:00;-;-;310;0;0;323;657;652
11.01.2017;21:00;22:00;-;-;310;0;0;324;655;651
11.01.2017;22:00;23:00;-;-;315;0;0;325;654;651
11.01.2017;23:00;00:00;-;-;313;0;0;324;658;654
12.01.2017;00:00;01:00;-;-;309;0;0;318;640;637
12.01.2017;01:00;02:00;-;-;254;0;0;259;334;499
12.01.2017;02:00;03:00;-;-;311;0;0;316;300;500
12.01.2017;03:00;04:00;-;-;314;0;0;324;300;500
12.01.2017;04:00;05:00;-;-;312;0;0;324;418;581
12.01.2017;05:00;06:00;-;-;313;0;0;323;654;650
12.01.2017;06:00;07:00;-;-;313;0;0;325;653;650
12.01.2017;07:00;08:00;-;-;322;0;0;321;655;648
12.01.2017;08:00;09:00;-;-;319;0;0;325;659;659
12.01.2017;09:00;10:00;-;-;320;0;0;325;663;663
12.01.2017;10:00;11:00;-;-;324;0;0;325;665;660
12.01.2017;11:00;12:00;-;-;321;0;0;323;665;660
12.01.2017;12:00;13:00;-;-;320;0;0;324;661;658
12.01.2017;13:00;14:00;-;-;321;0;0;322;663;659
12.01.2017;14:00;15:00;-;-;320;0;0;322;658;656
12.01.2017;15:00;16:00;-;-;319;0;0;326;660;652
12.01.2017;16:00;17:00;-;-;322;0;0;321;662;649
12.01.2017;17:00;18:00;-;-;322;0;0;324;666;653
12.01.2017;18:00;19:00;-;-;321;0;0;323;668;662
12.01.2017;19:00;20:00;-;-;319;0;0;321;665;653
12.01.2017;20:00;21:00;-;-;319;0;0;324;663;662
12.01.2017;21:00;22:00;-;-;320;0;0;322;662;659
12.01.2017;22:00;23:00;-;-;322;0;0;320;663;658
12.01.2017;23:00;00:00;-;-;320;0;0;322;657;653
13.01.2017;00:00;01:00;-;-;321;0;0;323;658;654
13.01.2017;01:00;02:00;-;-;321;0;0;321;658;654
13.01.2017;02:00;03:00;-;-;319;0;0;321;657;654
13.01.2017;03:00;04:00;-;-;320;0;0;323;657;653
13.01.2017;04:00;05:00;-;-;320;0;0;322;655;653
13.01.2017;05:00;06:00;-;-;318;0;0;320;660;656
