Date;Start;End;Generation_DE D [MW] Original resolutions;Generation_DE C [MW] Original resolutions;Generation_DE E [MW] Original resolutions;Generation_DE Weisweiler G VGT [MW] Original resolutions;Generation_DE Weisweiler H VGT [MW] Original resolutions;Generation_DE Weisweiler F [MW] Original resolutions;Generation_DE Weisweiler G [MW] Original resolutions;Generation_DE Weisweiler H [MW] Original resolutions
15.01.2016;10:00;11:00;-;-;327;0;0;318;663;656
15.01.2016;11:00;12:00;-;-;322;0;0;317;666;657
15.01.2016;12:00;13:00;-;-;324;0;0;317;667;656
15.01.2016;13:00;14:00;-;-;326;0;0;318;666;658
15.01.2016;14:00;15:00;-;-;322;0;0;319;666;652
15.01.2016;15:00;16:00;-;-;326;0;0;318;666;653
15.01.2016;16:00;17:00;-;-;325;0;0;317;665;655
15.01.2016;17:00;18:00;-;-;323;0;0;318;669;655
15.01.2016;18:00;19:00;-;-;326;0;0;318;666;656
15.01.2016;19:00;20:00;-;-;325;0;0;318;668;653
15.01.2016;20:00;21:00;-;-;323;0;0;318;669;657
15.01.2016;21:00;22:00;-;-;322;0;0;319;667;653
15.01.2016;22:00;23:00;-;-;325;0;0;319;667;655
15.01.2016;23:00;00:00;-;-;325;0;0;318;668;658
16.01.2016;00:00;01:00;-;-;323;0;0;318;669;658
16.01.2016;01:00;02:00;-;-;323;0;0;318;669;656
16.01.2016;02:00;03:00;-;-;326;0;0;319;668;659
16.01.2016;03:00;04:00;-;-;326;0;0;318;667;659
16.01.2016;04:00;05:00;-;-;324;0;0;319;668;653
16.01.2016;05:00;06:00;-;-;323;0;0;319;657;655
16.01.2016;06:00;07:00;-;-;325;0;0;319;661;656
16.01.2016;07:00;08:00;-;-;326;0;0;318;660;652
16.01.2016;08:00;09:00;-;-;325;0;0;317;662;656
16.01.2016;09:00;10:00;-;-;325;0;0;318;661;654
16.01.2016;10:00;11:00;-;-;323;0;0;318;643;655
16.01.2016;11:00;12:00;-;-;325;0;0;318;664;655
16.01.2016;12:00;13:00;-;-;325;0;0;318;667;656
16.01.2016;13:00;14:00;-;-;322;0;0;318;669;656
16.01.2016;14:00;15:00;-;-;326;0;0;318;669;653
16.01.2016;15:00;16:00;-;-;324;0;0;319;668;653
16.01.2016;16:00;17:00;-;-;325;0;0;319;667;652
16.01.2016;17:00;18:00;-;-;326;0;0;318;667;654
16.01.2016;18:00;19:00;-;-;323;0;0;318;667;655
16.01.2016;19:00;20:00;-;-;323;0;0;318;670;656
16.01.2016;20:00;21:00;-;-;325;0;0;318;668;657
