Date;Start;End;Generation_DE Kraftwerk Jänschwalde Block A [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block B [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block C [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block D [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block E [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block F [MW] Original resolutions
11.01.2021;18:00;19:00;409;392;431;390;-;-
11.01.2021;19:00;20:00;365;392;385;384;-;-
11.01.2021;20:00;21:00;319;381;340;339;-;-
11.01.2021;21:00;22:00;309;351;300;321;-;-
11.01.2021;22:00;23:00;333;365;202;349;-;-
11.01.2021;23:00;00:00;206;352;180;335;-;-
12.01.2021;00:00;01:00;168;340;166;303;-;-
12.01.2021;01:00;02:00;168;338;165;296;-;-
12.01.2021;02:00;03:00;170;336;163;297;-;-
12.01.2021;03:00;04:00;169;335;164;300;-;-
12.01.2021;04:00;05:00;180;348;165;322;-;-
12.01.2021;05:00;06:00;361;346;178;321;-;-
12.01.2021;06:00;07:00;389;408;249;444;-;-
12.01.2021;07:00;08:00;450;411;423;478;-;-
12.01.2021;08:00;09:00;425;391;389;376;-;-
12.01.2021;09:00;10:00;379;376;334;331;-;-
12.01.2021;10:00;11:00;386;364;334;334;-;-
12.01.2021;11:00;12:00;452;420;465;425;-;-
12.01.2021;12:00;13:00;473;400;482;443;-;-
12.01.2021;13:00;14:00;458;397;467;445;-;-
12.01.2021;14:00;15:00;461;396;474;449;-;-
12.01.2021;15:00;16:00;479;402;477;429;-;-
12.01.2021;16:00;17:00;483;403;481;433;-;-
12.01.2021;17:00;18:00;488;399;480;435;-;-
12.01.2021;18:00;19:00;488;395;481;442;-;-
12.01.2021;19:00;20:00;485;388;480;444;-;-
12.01.2021;20:00;21:00;445;376;455;454;-;-
12.01.2021;21:00;22:00;400;375;422;421;-;-
12.01.2021;22:00;23:00;362;368;380;378;-;-
12.01.2021;23:00;00:00;306;343;308;310;-;-
13.01.2021;00:00;01:00;301;339;299;303;-;-
