Date;Start;End;Generation_DE PSW Markersbach PSS B [MW] Original resolutions;Generation_DE PSW Markersbach PSS A [MW] Original resolutions;Generation_DE PSW Markersbach PSS C [MW] Original resolutions;Generation_DE PSW Markersbach PSS D [MW] Original resolutions;Generation_DE PSW Markersbach PSS E [MW] Original resolutions;Generation_DE PSW Markersbach PSS F [MW] Original resolutions
06.01.2016;11:00;12:00;0;0;0;0;126;0
06.01.2016;12:00;13:00;0;0;0;63;0;0
06.01.2016;13:00;14:00;0;0;0;49;0;0
06.01.2016;14:00;15:00;71;0;0;17;0;0
06.01.2016;15:00;16:00;103;0;0;0;0;0
06.01.2016;16:00;17:00;5;0;0;31;0;0
06.01.2016;17:00;18:00;110;0;0;111;102;0
06.01.2016;18:00;19:00;107;0;0;108;107;0
06.01.2016;19:00;20:00;100;0;0;101;100;0
06.01.2016;20:00;21:00;1;1;0;0;1;0
06.01.2016;21:00;22:00;0;79;0;0;0;0
06.01.2016;22:00;23:00;0;40;0;0;0;0
06.01.2016;23:00;00:00;0;0;0;0;0;0
07.01.2016;00:00;01:00;0;0;0;0;0;0
07.01.2016;01:00;02:00;0;0;0;0;0;0
07.01.2016;02:00;03:00;0;0;0;0;0;0
07.01.2016;03:00;04:00;0;0;0;0;0;0
07.01.2016;04:00;05:00;0;0;0;0;0;0
07.01.2016;05:00;06:00;0;0;0;0;0;0
07.01.2016;06:00;07:00;0;73;0;63;0;0
07.01.2016;07:00;08:00;0;0;0;2;0;0
07.01.2016;08:00;09:00;0;105;0;0;0;0
07.01.2016;09:00;10:00;0;103;0;0;0;0
07.01.2016;10:00;11:00;0;104;0;0;0;0
07.01.2016;11:00;12:00;0;86;0;50;0;0
07.01.2016;12:00;13:00;0;38;0;130;0;0
07.01.2016;13:00;14:00;0;25;0;114;0;0
07.01.2016;14:00;15:00;0;6;0;121;0;0
07.01.2016;15:00;16:00;0;19;0;40;0;0
07.01.2016;16:00;17:00;42;0;0;0;0;0
07.01.2016;17:00;18:00;49;0;0;72;0;0
07.01.2016;18:00;19:00;29;0;0;60;0;0
07.01.2016;19:00;20:00;43;0;0;0;0;0
07.01.2016;20:00;21:00;1;0;0;0;0;0
07.01.2016;21:00;22:00;7;0;0;0;0;0
07.01.2016;22:00;23:00;17;0;0;0;0;0
07.01.2016;23:00;00:00;19;0;0;0;0;0
08.01.2016;00:00;01:00;0;0;0;0;0;0
08.01.2016;01:00;02:00;0;0;0;0;0;0
08.01.2016;02:00;03:00;0;0;0;0;0;0
08.01.2016;03:00;04:00;0;0;0;0;0;0
08.01.2016;04:00;05:00;0;0;0;0;0;0
08.01.2016;05:00;06:00;0;0;0;0;0;0
08.01.2016;06:00;07:00;90;0;0;0;0;0
08.01.2016;07:00;08:00;0;0;0;0;0;0
08.01.2016;08:00;09:00;9;0;0;0;0;0
08.01.2016;09:00;10:00;48;0;0;0;0;0
08.01.2016;10:00;11:00;24;0;0;0;0;0
08.01.2016;11:00;12:00;0;0;0;0;0;0
08.01.2016;12:00;13:00;0;0;0;0;0;0
08.01.2016;13:00;14:00;93;0;0;0;0;0
08.01.2016;14:00;15:00;52;0;0;21;0;0
08.01.2016;15:00;16:00;2;0;0;101;0;0
08.01.2016;16:00;17:00;0;0;0;2;0;0
08.01.2016;17:00;18:00;0;0;0;0;0;0
08.01.2016;18:00;19:00;138;0;0;0;0;0
08.01.2016;19:00;20:00;155;0;0;0;0;0
08.01.2016;20:00;21:00;100;0;0;0;0;0
08.01.2016;21:00;22:00;1;0;0;1;0;0
08.01.2016;22:00;23:00;101;0;0;102;0;0
08.01.2016;23:00;00:00;144;0;49;145;0;0
09.01.2016;00:00;01:00;1;0;1;1;0;0
09.01.2016;01:00;02:00;0;0;0;0;0;0
09.01.2016;02:00;03:00;1;0;0;0;0;0
09.01.2016;03:00;04:00;130;0;0;0;0;0
09.01.2016;04:00;05:00;141;0;0;0;0;0
09.01.2016;05:00;06:00;124;0;0;123;0;0
09.01.2016;06:00;07:00;0;0;0;63;0;0
09.01.2016;07:00;08:00;0;0;0;0;0;0
