Datum;Anfang;Ende;Generation_DE Vianden M6 [MW] Originalauflösungen;Generation_DE Vianden M7 [MW] Originalauflösungen;Generation_DE Vianden M8 [MW] Originalauflösungen;Generation_DE Vianden M9 [MW] Originalauflösungen;Generation_DE Vianden M1 [MW] Originalauflösungen;Generation_DE Vianden M2 [MW] Originalauflösungen;Generation_DE Vianden M3 [MW] Originalauflösungen;Generation_DE Vianden M4 [MW] Originalauflösungen;Generation_DE Vianden M10 [MW] Originalauflösungen;Generation_DE Vianden M5 [MW] Originalauflösungen;Generation_DE Vianden M11 [MW] Originalauflösungen
05.01.2023;04:00;05:00;0;0;0;0;0;2;0;0;0;0;0
05.01.2023;05:00;06:00;0;0;0;0;0;15;0;0;0;0;1
05.01.2023;06:00;07:00;0;0;0;0;0;72;0;0;0;0;1
05.01.2023;07:00;08:00;0;0;0;0;0;33;0;0;0;0;1
05.01.2023;08:00;09:00;0;0;0;0;0;31;0;0;0;0;1
05.01.2023;09:00;10:00;43;0;0;0;23;32;0;70;0;16;1
05.01.2023;10:00;11:00;84;0;0;0;10;10;0;46;0;44;1
05.01.2023;11:00;12:00;64;0;0;0;38;45;0;65;0;63;1
05.01.2023;12:00;13:00;16;0;0;0;10;52;0;90;0;15;1
05.01.2023;13:00;14:00;23;0;0;0;24;53;0;90;0;22;1
05.01.2023;14:00;15:00;0;0;0;0;39;36;0;11;0;1;1
05.01.2023;15:00;16:00;0;0;0;0;0;12;0;0;0;0;1
05.01.2023;16:00;17:00;0;0;0;0;0;0;0;0;0;0;1
05.01.2023;17:00;18:00;0;80;0;0;88;81;0;86;47;82;154
05.01.2023;18:00;19:00;66;73;71;0;81;83;81;81;139;77;163
05.01.2023;19:00;20:00;55;66;73;0;72;70;72;73;104;72;169
05.01.2023;20:00;21:00;0;19;19;0;38;58;22;38;0;37;53
05.01.2023;21:00;22:00;0;0;0;0;0;20;0;48;0;0;1
05.01.2023;22:00;23:00;0;0;0;0;0;56;0;40;0;0;1
05.01.2023;23:00;00:00;0;0;0;0;0;34;0;0;0;0;1
06.01.2023;00:00;01:00;0;0;0;0;11;48;0;21;0;0;1
06.01.2023;01:00;02:00;0;0;0;0;0;28;0;0;0;62;1
06.01.2023;02:00;03:00;0;0;0;0;0;35;0;0;0;0;0
06.01.2023;03:00;04:00;0;0;0;0;0;33;0;0;0;0;0
06.01.2023;04:00;05:00;0;0;0;0;0;3;0;0;0;0;0
06.01.2023;05:00;06:00;0;0;0;0;4;0;0;0;0;0;0
06.01.2023;06:00;07:00;0;0;0;0;0;18;4;0;0;0;1
06.01.2023;07:00;08:00;0;0;0;0;0;23;31;0;0;0;1
06.01.2023;08:00;09:00;0;0;0;0;0;17;21;0;0;0;1
06.01.2023;09:00;10:00;0;0;0;0;0;16;20;0;0;0;1
06.01.2023;10:00;11:00;0;0;0;0;0;23;26;0;0;0;1
06.01.2023;11:00;12:00;0;0;0;0;0;22;17;0;0;0;1
06.01.2023;12:00;13:00;0;0;0;0;0;9;64;0;0;0;1
06.01.2023;13:00;14:00;0;0;0;0;0;10;82;0;0;0;0
06.01.2023;14:00;15:00;0;0;0;0;0;10;83;0;0;0;1
06.01.2023;15:00;16:00;0;0;0;0;0;10;72;0;0;0;1
06.01.2023;16:00;17:00;1;1;0;0;0;11;9;0;0;1;10
06.01.2023;17:00;18:00;59;93;9;9;9;10;15;13;57;14;172
06.01.2023;18:00;19:00;63;51;6;6;10;16;11;17;0;17;102
06.01.2023;19:00;20:00;29;0;0;0;10;20;26;25;0;43;1
06.01.2023;20:00;21:00;6;0;0;0;10;19;7;6;0;6;1
06.01.2023;21:00;22:00;0;0;0;0;21;24;30;28;0;0;1
06.01.2023;22:00;23:00;0;0;0;0;0;26;0;0;0;0;1
06.01.2023;23:00;00:00;0;0;0;0;0;35;0;0;0;0;1
07.01.2023;00:00;01:00;0;0;0;0;0;21;0;0;0;0;1
07.01.2023;01:00;02:00;0;0;0;0;37;33;41;0;0;0;1
07.01.2023;02:00;03:00;0;0;0;0;0;35;0;0;0;0;0
07.01.2023;03:00;04:00;0;0;0;0;0;11;0;0;0;0;0
07.01.2023;04:00;05:00;0;0;0;0;0;0;0;0;0;0;0
07.01.2023;05:00;06:00;0;0;0;0;0;0;0;0;0;0;1
07.01.2023;06:00;07:00;0;0;0;0;0;3;0;0;0;0;1
07.01.2023;07:00;08:00;0;0;0;0;0;22;0;0;0;0;1
07.01.2023;08:00;09:00;0;0;0;0;0;25;80;68;0;0;1
07.01.2023;09:00;10:00;0;0;0;0;0;22;18;6;0;0;1
07.01.2023;10:00;11:00;0;0;0;0;59;20;71;58;0;0;1
07.01.2023;11:00;12:00;0;0;0;0;0;20;12;0;0;0;1
07.01.2023;12:00;13:00;0;0;0;0;0;20;11;0;0;0;1
07.01.2023;13:00;14:00;0;0;0;0;0;56;56;0;0;0;1
07.01.2023;14:00;15:00;0;0;0;0;0;60;22;0;0;0;1
07.01.2023;15:00;16:00;0;0;0;0;1;60;41;1;0;0;1
07.01.2023;16:00;17:00;50;27;27;26;62;88;42;54;0;50;1
07.01.2023;17:00;18:00;45;47;47;38;71;90;73;69;0;52;1
07.01.2023;18:00;19:00;14;6;6;5;97;90;101;83;0;14;1
07.01.2023;19:00;20:00;0;0;0;0;6;7;6;6;0;0;1
07.01.2023;20:00;21:00;0;0;0;0;0;0;0;0;0;0;1
07.01.2023;21:00;22:00;0;0;0;0;0;0;0;0;0;0;1
07.01.2023;22:00;23:00;0;0;0;0;0;0;0;17;0;0;1
07.01.2023;23:00;00:00;0;0;0;0;0;0;0;0;0;0;1
08.01.2023;00:00;01:00;0;0;0;0;0;0;0;4;0;0;0
08.01.2023;01:00;02:00;0;0;0;0;0;0;0;0;0;0;0
08.01.2023;02:00;03:00;0;0;0;0;0;0;0;0;0;0;0
08.01.2023;03:00;04:00;0;0;0;0;0;0;0;0;0;0;0
08.01.2023;04:00;05:00;0;0;0;0;0;0;0;0;0;0;0
08.01.2023;05:00;06:00;0;0;0;0;0;0;0;0;0;0;0
08.01.2023;06:00;07:00;0;0;0;0;0;0;0;29;0;0;0
08.01.2023;07:00;08:00;0;0;0;0;0;19;30;21;0;0;1
08.01.2023;08:00;09:00;0;0;0;0;0;22;24;20;0;0;1
08.01.2023;09:00;10:00;0;0;0;0;0;10;12;20;0;0;1
08.01.2023;10:00;11:00;0;0;0;0;0;10;12;20;0;0;1
08.01.2023;11:00;12:00;0;0;0;0;0;56;49;20;0;0;1
08.01.2023;12:00;13:00;0;0;0;0;0;21;25;5;0;0;1
08.01.2023;13:00;14:00;0;0;0;0;0;20;31;0;0;0;0
08.01.2023;14:00;15:00;0;0;0;0;0;20;28;0;0;0;1
08.01.2023;15:00;16:00;0;0;0;0;63;20;48;47;0;0;1
08.01.2023;16:00;17:00;20;21;21;21;58;42;57;50;0;20;1
08.01.2023;17:00;18:00;66;56;56;54;83;59;61;75;0;67;1
08.01.2023;18:00;19:00;99;99;90;87;99;59;61;100;0;99;1
08.01.2023;19:00;20:00;95;79;79;77;95;61;63;97;0;95;1
08.01.2023;20:00;21:00;90;82;50;49;90;92;94;92;84;90;94
08.01.2023;21:00;22:00;18;8;0;0;70;71;72;71;0;69;1
08.01.2023;22:00;23:00;0;0;0;0;26;26;12;11;0;11;1
08.01.2023;23:00;00:00;0;0;0;0;0;0;0;0;0;0;0
09.01.2023;00:00;01:00;0;0;0;0;8;0;0;9;0;0;0
09.01.2023;01:00;02:00;0;0;0;0;0;0;0;8;0;0;0
09.01.2023;02:00;03:00;0;0;0;0;0;0;0;0;0;0;0
09.01.2023;03:00;04:00;0;0;0;0;0;0;0;11;0;0;0
09.01.2023;04:00;05:00;0;0;0;0;0;0;0;1;0;0;0
09.01.2023;05:00;06:00;0;0;0;0;0;0;0;0;0;0;0
09.01.2023;06:00;07:00;0;0;0;0;0;0;0;0;0;0;1
09.01.2023;07:00;08:00;0;0;0;0;0;0;0;0;0;0;1
09.01.2023;08:00;09:00;0;0;0;0;32;24;0;0;0;0;1
09.01.2023;09:00;10:00;0;0;0;0;24;0;0;0;0;0;1
09.01.2023;10:00;11:00;0;0;0;0;60;43;0;49;0;0;1
09.01.2023;11:00;12:00;0;0;0;0;10;0;0;0;0;0;1
09.01.2023;12:00;13:00;0;0;0;0;35;0;0;0;0;0;1
09.01.2023;13:00;14:00;0;0;0;0;44;0;0;0;0;0;1
09.01.2023;14:00;15:00;0;0;0;0;57;0;8;11;0;0;1
09.01.2023;15:00;16:00;36;36;10;10;40;39;61;59;0;36;1
09.01.2023;16:00;17:00;73;73;75;74;63;64;78;75;153;73;95
09.01.2023;17:00;18:00;85;85;87;74;72;75;78;75;159;73;161
09.01.2023;18:00;19:00;75;75;36;34;57;58;78;75;134;73;136
09.01.2023;19:00;20:00;40;38;0;0;36;36;61;51;62;41;63
09.01.2023;20:00;21:00;0;0;0;0;21;21;0;0;0;0;1
09.01.2023;21:00;22:00;0;0;0;0;0;0;0;0;0;0;1
09.01.2023;22:00;23:00;0;0;0;0;9;0;0;0;0;0;1
09.01.2023;23:00;00:00;0;0;0;0;10;0;0;0;0;0;1
10.01.2023;00:00;01:00;0;0;0;0;10;0;0;0;0;0;1
10.01.2023;01:00;02:00;0;0;0;0;10;0;0;0;0;0;0
10.01.2023;02:00;03:00;0;0;0;0;10;0;0;0;0;0;0
10.01.2023;03:00;04:00;0;0;0;0;11;0;0;0;0;0;0
10.01.2023;04:00;05:00;0;0;0;0;5;0;0;0;0;0;0
10.01.2023;05:00;06:00;0;0;0;0;24;24;0;0;0;0;1
10.01.2023;06:00;07:00;0;1;1;0;41;39;0;1;0;1;1
10.01.2023;07:00;08:00;0;45;44;0;46;75;0;71;123;48;5
10.01.2023;08:00;09:00;0;45;76;0;45;78;73;71;145;45;140
10.01.2023;09:00;10:00;0;20;80;0;20;19;2;19;8;19;11
10.01.2023;10:00;11:00;0;16;29;0;0;0;0;0;0;17;1
