Datum;Anfang;Ende;Generation_DE Boxberg Block N [MW] Originalauflösungen;Generation_DE Boxberg Block R [MW] Originalauflösungen;Generation_DE Boxberg Block P [MW] Originalauflösungen;Generation_DE Boxberg Block Q [MW] Originalauflösungen
10.01.2023;19:00;20:00;508;525;0;823
10.01.2023;20:00;21:00;508;526;0;826
10.01.2023;21:00;22:00;459;534;0;729
10.01.2023;22:00;23:00;394;461;0;614
10.01.2023;23:00;00:00;378;278;0;506
11.01.2023;00:00;01:00;377;272;0;492
11.01.2023;01:00;02:00;373;270;0;401
11.01.2023;02:00;03:00;372;281;0;396
11.01.2023;03:00;04:00;371;270;0;401
11.01.2023;04:00;05:00;372;279;0;395
11.01.2023;05:00;06:00;371;274;0;398
11.01.2023;06:00;07:00;417;412;0;533
11.01.2023;07:00;08:00;503;528;0;610
11.01.2023;08:00;09:00;511;528;0;829
11.01.2023;09:00;10:00;510;545;0;831
11.01.2023;10:00;11:00;510;528;0;829
11.01.2023;11:00;12:00;507;545;0;831
11.01.2023;12:00;13:00;511;541;0;832
11.01.2023;13:00;14:00;506;528;0;824
11.01.2023;14:00;15:00;512;515;0;832
11.01.2023;15:00;16:00;504;521;0;832
11.01.2023;16:00;17:00;496;525;0;830
11.01.2023;17:00;18:00;503;504;0;824
11.01.2023;18:00;19:00;504;508;0;819
11.01.2023;19:00;20:00;503;501;0;811
11.01.2023;20:00;21:00;448;504;0;814
11.01.2023;21:00;22:00;454;528;0;690
11.01.2023;22:00;23:00;428;459;0;684
11.01.2023;23:00;00:00;407;308;0;512
12.01.2023;00:00;01:00;377;260;0;509
12.01.2023;01:00;02:00;374;267;0;506
12.01.2023;02:00;03:00;376;278;0;503
12.01.2023;03:00;04:00;376;270;0;502
12.01.2023;04:00;05:00;376;276;0;507
12.01.2023;05:00;06:00;376;297;0;506
12.01.2023;06:00;07:00;374;371;0;504
12.01.2023;07:00;08:00;400;326;0;506
12.01.2023;08:00;09:00;438;331;0;507
12.01.2023;09:00;10:00;439;332;0;507
12.01.2023;10:00;11:00;400;331;0;505
12.01.2023;11:00;12:00;401;325;0;507
12.01.2023;12:00;13:00;402;304;0;506
12.01.2023;13:00;14:00;400;304;0;507
12.01.2023;14:00;15:00;403;425;0;506
12.01.2023;15:00;16:00;405;507;0;519
12.01.2023;16:00;17:00;412;500;0;536
12.01.2023;17:00;18:00;418;535;0;608
12.01.2023;18:00;19:00;406;506;0;522
12.01.2023;19:00;20:00;406;442;0;540
12.01.2023;20:00;21:00;410;430;0;507
12.01.2023;21:00;22:00;390;354;0;508
12.01.2023;22:00;23:00;374;298;0;389
12.01.2023;23:00;00:00;372;276;0;0
13.01.2023;00:00;01:00;377;281;0;0
13.01.2023;01:00;02:00;377;381;0;0
13.01.2023;02:00;03:00;375;299;0;0
13.01.2023;03:00;04:00;374;290;0;0
13.01.2023;04:00;05:00;374;293;0;0
13.01.2023;05:00;06:00;376;291;0;0
13.01.2023;06:00;07:00;377;324;0;0
13.01.2023;07:00;08:00;383;404;0;0
13.01.2023;08:00;09:00;392;547;0;0
13.01.2023;09:00;10:00;464;566;0;0
13.01.2023;10:00;11:00;504;551;0;0
13.01.2023;11:00;12:00;500;562;0;0
13.01.2023;12:00;13:00;395;540;0;0
13.01.2023;13:00;14:00;378;550;0;0
13.01.2023;14:00;15:00;385;500;0;0
13.01.2023;15:00;16:00;383;304;0;0
13.01.2023;16:00;17:00;386;286;0;0
13.01.2023;17:00;18:00;409;331;0;0
13.01.2023;18:00;19:00;406;281;0;0
13.01.2023;19:00;20:00;436;329;0;0
13.01.2023;20:00;21:00;380;280;0;0
13.01.2023;21:00;22:00;378;310;0;0
13.01.2023;22:00;23:00;386;346;0;0
13.01.2023;23:00;00:00;386;333;0;0
14.01.2023;00:00;01:00;378;306;0;0
14.01.2023;01:00;02:00;380;306;0;0
14.01.2023;02:00;03:00;377;296;0;0
14.01.2023;03:00;04:00;378;280;0;0
14.01.2023;04:00;05:00;378;302;0;0
14.01.2023;05:00;06:00;377;323;0;0
14.01.2023;06:00;07:00;380;346;0;0
14.01.2023;07:00;08:00;378;324;0;0
14.01.2023;08:00;09:00;379;311;0;0
14.01.2023;09:00;10:00;380;318;0;0
14.01.2023;10:00;11:00;377;312;0;0
14.01.2023;11:00;12:00;379;322;0;0
14.01.2023;12:00;13:00;377;327;0;0
14.01.2023;13:00;14:00;378;310;0;0
14.01.2023;14:00;15:00;379;314;0;0
14.01.2023;15:00;16:00;377;312;0;0
14.01.2023;16:00;17:00;382;315;0;0
14.01.2023;17:00;18:00;405;323;0;0
14.01.2023;18:00;19:00;403;328;0;0
14.01.2023;19:00;20:00;404;321;0;0
14.01.2023;20:00;21:00;388;318;0;0
14.01.2023;21:00;22:00;383;316;0;0
14.01.2023;22:00;23:00;384;313;0;0
14.01.2023;23:00;00:00;385;309;0;0
15.01.2023;00:00;01:00;378;313;0;0
15.01.2023;01:00;02:00;376;311;0;0
15.01.2023;02:00;03:00;378;314;0;0
15.01.2023;03:00;04:00;374;317;0;0
15.01.2023;04:00;05:00;378;321;0;0
15.01.2023;05:00;06:00;375;335;0;0
15.01.2023;06:00;07:00;376;335;0;0
15.01.2023;07:00;08:00;379;336;0;0
15.01.2023;08:00;09:00;376;335;0;0
15.01.2023;09:00;10:00;379;335;0;0
15.01.2023;10:00;11:00;375;335;0;0
15.01.2023;11:00;12:00;378;335;0;0
15.01.2023;12:00;13:00;381;335;0;0
15.01.2023;13:00;14:00;381;335;0;0
15.01.2023;14:00;15:00;378;335;0;0
15.01.2023;15:00;16:00;380;335;0;0
15.01.2023;16:00;17:00;381;335;0;0
15.01.2023;17:00;18:00;383;335;0;0
15.01.2023;18:00;19:00;382;335;0;0
15.01.2023;19:00;20:00;404;344;0;0
15.01.2023;20:00;21:00;410;344;0;0
15.01.2023;21:00;22:00;405;334;0;0
15.01.2023;22:00;23:00;406;341;0;0
15.01.2023;23:00;00:00;405;340;0;0
16.01.2023;00:00;01:00;382;333;0;267
16.01.2023;01:00;02:00;378;335;0;392
16.01.2023;02:00;03:00;377;356;0;500
16.01.2023;03:00;04:00;378;344;0;510
16.01.2023;04:00;05:00;378;442;0;528
16.01.2023;05:00;06:00;408;534;0;664
16.01.2023;06:00;07:00;481;552;0;813
16.01.2023;07:00;08:00;490;548;0;830
16.01.2023;08:00;09:00;495;542;0;832
16.01.2023;09:00;10:00;487;544;0;831
16.01.2023;10:00;11:00;483;547;0;828
16.01.2023;11:00;12:00;491;545;0;824
16.01.2023;12:00;13:00;496;557;0;825
16.01.2023;13:00;14:00;493;559;0;827
16.01.2023;14:00;15:00;496;552;0;828
16.01.2023;15:00;16:00;496;548;0;826
16.01.2023;16:00;17:00;493;532;0;828
16.01.2023;17:00;18:00;493;519;0;815
16.01.2023;18:00;19:00;452;455;0;754
16.01.2023;19:00;20:00;439;370;0;645
16.01.2023;20:00;21:00;432;451;0;687
16.01.2023;21:00;22:00;438;439;7;709
16.01.2023;22:00;23:00;428;534;92;797
16.01.2023;23:00;00:00;412;525;166;728
17.01.2023;00:00;01:00;435;517;179;577
17.01.2023;01:00;02:00;440;525;175;580
17.01.2023;02:00;03:00;423;517;159;543
17.01.2023;03:00;04:00;432;427;172;562
17.01.2023;04:00;05:00;452;334;180;592
17.01.2023;05:00;06:00;452;428;172;576
17.01.2023;06:00;07:00;436;517;153;566
17.01.2023;07:00;08:00;448;510;292;592
17.01.2023;08:00;09:00;442;487;362;626
17.01.2023;09:00;10:00;455;525;362;681
17.01.2023;10:00;11:00;440;390;371;613
17.01.2023;11:00;12:00;428;386;378;610
17.01.2023;12:00;13:00;443;342;410;591
17.01.2023;13:00;14:00;444;360;429;594
17.01.2023;14:00;15:00;445;485;425;633
17.01.2023;15:00;16:00;447;503;414;700
17.01.2023;16:00;17:00;482;559;414;828
17.01.2023;17:00;18:00;507;552;474;815
17.01.2023;18:00;19:00;447;360;414;687
17.01.2023;19:00;20:00;479;414;408;693
17.01.2023;20:00;21:00;510;524;470;825
17.01.2023;21:00;22:00;513;545;483;829
17.01.2023;22:00;23:00;511;562;487;829
17.01.2023;23:00;00:00;509;554;477;827
18.01.2023;00:00;01:00;510;550;475;828
18.01.2023;01:00;02:00;509;551;477;825
18.01.2023;02:00;03:00;510;551;467;821
18.01.2023;03:00;04:00;513;542;471;827
18.01.2023;04:00;05:00;512;551;474;823
18.01.2023;05:00;06:00;510;574;475;818
18.01.2023;06:00;07:00;511;574;479;828
18.01.2023;07:00;08:00;510;575;473;837
18.01.2023;08:00;09:00;511;575;489;835
18.01.2023;09:00;10:00;512;576;479;835
18.01.2023;10:00;11:00;512;575;476;833
18.01.2023;11:00;12:00;508;575;476;835
18.01.2023;12:00;13:00;505;571;468;835
18.01.2023;13:00;14:00;506;574;475;835
18.01.2023;14:00;15:00;508;563;475;835
18.01.2023;15:00;16:00;509;554;479;838
18.01.2023;16:00;17:00;510;549;471;837
18.01.2023;17:00;18:00;511;541;477;837
18.01.2023;18:00;19:00;511;546;479;836
18.01.2023;19:00;20:00;511;539;472;836
18.01.2023;20:00;21:00;511;530;469;836
18.01.2023;21:00;22:00;512;531;470;833
18.01.2023;22:00;23:00;506;545;468;830
18.01.2023;23:00;00:00;502;502;458;814
19.01.2023;00:00;01:00;443;387;409;715
19.01.2023;01:00;02:00;436;386;402;718
19.01.2023;02:00;03:00;443;393;410;721
19.01.2023;03:00;04:00;441;395;414;746
19.01.2023;04:00;05:00;406;381;400;802
19.01.2023;05:00;06:00;405;417;409;790
19.01.2023;06:00;07:00;405;438;411;812
19.01.2023;07:00;08:00;406;429;421;824
19.01.2023;08:00;09:00;496;567;471;832
19.01.2023;09:00;10:00;509;563;470;830
19.01.2023;10:00;11:00;509;577;474;831
19.01.2023;11:00;12:00;509;571;474;832
19.01.2023;12:00;13:00;511;577;475;830
19.01.2023;13:00;14:00;508;556;443;827
19.01.2023;14:00;15:00;450;446;417;713
19.01.2023;15:00;16:00;481;548;437;800
19.01.2023;16:00;17:00;506;542;478;832
19.01.2023;17:00;18:00;506;538;476;832
19.01.2023;18:00;19:00;511;542;475;836
19.01.2023;19:00;20:00;509;541;474;834
19.01.2023;20:00;21:00;486;545;416;836
19.01.2023;21:00;22:00;457;510;451;819
19.01.2023;22:00;23:00;408;540;412;716
19.01.2023;23:00;00:00;449;518;418;715
20.01.2023;00:00;01:00;503;547;475;825
20.01.2023;01:00;02:00;508;541;476;838
20.01.2023;02:00;03:00;506;544;481;836
20.01.2023;03:00;04:00;502;535;478;835
20.01.2023;04:00;05:00;507;539;490;839
20.01.2023;05:00;06:00;510;580;496;839
20.01.2023;06:00;07:00;509;599;492;836
20.01.2023;07:00;08:00;507;598;495;834
20.01.2023;08:00;09:00;507;596;493;839
20.01.2023;09:00;10:00;472;589;494;840
20.01.2023;10:00;11:00;489;589;492;840
20.01.2023;11:00;12:00;510;588;494;839
20.01.2023;12:00;13:00;511;597;494;836
20.01.2023;13:00;14:00;508;586;496;835
20.01.2023;14:00;15:00;504;563;491;832
20.01.2023;15:00;16:00;506;556;492;835
20.01.2023;16:00;17:00;507;557;491;834
20.01.2023;17:00;18:00;509;556;489;839
20.01.2023;18:00;19:00;511;567;492;840
20.01.2023;19:00;20:00;513;567;494;842
20.01.2023;20:00;21:00;510;560;492;842
20.01.2023;21:00;22:00;505;553;493;838
20.01.2023;22:00;23:00;510;554;494;840
20.01.2023;23:00;00:00;496;551;495;838
21.01.2023;00:00;01:00;464;460;495;814
21.01.2023;01:00;02:00;408;506;495;814
21.01.2023;02:00;03:00;402;510;496;697
21.01.2023;03:00;04:00;392;512;496;714
21.01.2023;04:00;05:00;395;505;493;602
21.01.2023;05:00;06:00;396;529;494;607
21.01.2023;06:00;07:00;396;529;492;607
21.01.2023;07:00;08:00;398;541;489;636
21.01.2023;08:00;09:00;396;536;490;727
21.01.2023;09:00;10:00;398;533;491;726
21.01.2023;10:00;11:00;426;477;490;661
21.01.2023;11:00;12:00;398;456;490;617
21.01.2023;12:00;13:00;394;371;495;589
21.01.2023;13:00;14:00;396;385;497;590
21.01.2023;14:00;15:00;395;399;497;587
21.01.2023;15:00;16:00;394;388;495;586
21.01.2023;16:00;17:00;389;356;496;607
21.01.2023;17:00;18:00;389;353;491;607
21.01.2023;18:00;19:00;426;311;495;612
21.01.2023;19:00;20:00;434;310;485;610
21.01.2023;20:00;21:00;398;311;485;590
21.01.2023;21:00;22:00;402;322;392;594
21.01.2023;22:00;23:00;399;320;392;509
21.01.2023;23:00;00:00;399;324;390;514
22.01.2023;00:00;01:00;434;402;430;570
22.01.2023;01:00;02:00;431;365;427;569
22.01.2023;02:00;03:00;435;365;431;570
22.01.2023;03:00;04:00;434;366;428;569
22.01.2023;04:00;05:00;434;369;429;547
22.01.2023;05:00;06:00;434;378;429;547
22.01.2023;06:00;07:00;435;381;429;547
22.01.2023;07:00;08:00;435;452;429;571
22.01.2023;08:00;09:00;496;577;424;699
22.01.2023;09:00;10:00;504;577;428;826
22.01.2023;10:00;11:00;507;577;429;830
22.01.2023;11:00;12:00;506;579;432;829
22.01.2023;12:00;13:00;508;581;445;831
22.01.2023;13:00;14:00;447;581;442;826
22.01.2023;14:00;15:00;447;577;443;802
22.01.2023;15:00;16:00;449;584;428;807
22.01.2023;16:00;17:00;446;584;390;833
22.01.2023;17:00;18:00;496;584;394;833
22.01.2023;18:00;19:00;452;582;391;828
22.01.2023;19:00;20:00;450;578;393;830
22.01.2023;20:00;21:00;500;579;431;834
22.01.2023;21:00;22:00;507;585;436;836
22.01.2023;22:00;23:00;509;588;454;833
22.01.2023;23:00;00:00;501;586;437;822
23.01.2023;00:00;01:00;456;586;454;781
23.01.2023;01:00;02:00;473;585;455;831
23.01.2023;02:00;03:00;490;585;455;833
23.01.2023;03:00;04:00;507;584;494;836
23.01.2023;04:00;05:00;504;584;495;832
23.01.2023;05:00;06:00;506;582;497;833
23.01.2023;06:00;07:00;507;559;494;831
23.01.2023;07:00;08:00;508;558;480;831
23.01.2023;08:00;09:00;507;557;495;834
23.01.2023;09:00;10:00;509;555;492;835
23.01.2023;10:00;11:00;507;555;495;842
23.01.2023;11:00;12:00;507;559;497;841
23.01.2023;12:00;13:00;509;554;496;840
23.01.2023;13:00;14:00;508;558;497;842
23.01.2023;14:00;15:00;506;546;496;843
23.01.2023;15:00;16:00;506;535;497;841
23.01.2023;16:00;17:00;507;540;495;841
23.01.2023;17:00;18:00;509;535;495;837
23.01.2023;18:00;19:00;509;532;497;841
23.01.2023;19:00;20:00;508;532;497;839
23.01.2023;20:00;21:00;509;536;497;842
23.01.2023;21:00;22:00;507;540;496;840
23.01.2023;22:00;23:00;509;536;495;842
23.01.2023;23:00;00:00;506;539;498;841
24.01.2023;00:00;01:00;506;547;496;841
24.01.2023;01:00;02:00;508;541;497;840
24.01.2023;02:00;03:00;508;529;496;841
24.01.2023;03:00;04:00;508;527;495;840
24.01.2023;04:00;05:00;507;526;496;842
24.01.2023;05:00;06:00;507;560;495;840
24.01.2023;06:00;07:00;508;550;492;838
24.01.2023;07:00;08:00;508;554;493;837
24.01.2023;08:00;09:00;506;554;491;841
24.01.2023;09:00;10:00;508;571;492;840
24.01.2023;10:00;11:00;494;560;93;836
24.01.2023;11:00;12:00;492;541;3;830
